Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.211,1077.0,23.53,1729.0,42.81,0.0,0.0,0.0,1.211,455.49,false
1,3.143,1043.0,14.21,3182.0,99.97,0.002,713.0,0.94,3.145,1118.75,false
2,3.227,1098.0,12.0,3178.0,100.0,0.0,0.0,0.0,3.227,1156.19,false
3,3.225,1169.0,11.52,3178.0,100.0,0.0,0.0,0.0,3.225,1155.42,false
4,3.223,1192.0,11.93,3179.0,100.0,0.0,0.0,0.0,3.223,1170.12,false
5,3.221,1167.0,12.07,3178.0,100.0,0.0,0.0,0.0,3.221,1159.53,false
6,3.217,1141.0,11.77,3178.0,100.0,0.0,0.0,0.0,3.217,1159.72,false
7,3.218,1168.0,11.14,3179.0,100.0,0.0,0.0,0.0,3.218,1159.4,false
8,3.205,1126.0,7.47,3179.0,100.0,0.0,0.0,0.0,3.205,1162.75,false
9,3.224,1154.0,12.31,3179.0,100.0,0.001,713.0,0.53,3.225,1160.81,false
10,3.232,1159.0,12.08,3178.0,100.0,0.0,0.0,0.0,3.232,1157.55,false
11,3.234,1168.0,12.3,3178.0,100.0,0.0,0.0,0.0,3.234,1168.11,false
12,3.223,1129.0,11.95,3178.0,100.0,0.0,0.0,0.0,3.223,1157.4,false
13,3.223,1185.0,11.58,3179.0,100.0,0.0,0.0,0.0,3.223,1159.51,false
14,3.22,1151.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.22,1159.62,false
15,3.237,1141.0,12.22,3178.0,99.99,0.0,0.0,0.0,3.237,1163.29,false
16,3.493,1185.0,14.0,3173.0,100.0,0.0,0.0,0.0,3.493,1156.21,false
17,3.23,1137.0,11.94,3178.0,100.0,0.0,0.0,0.0,3.23,1158.5,false
18,3.236,1163.0,11.59,3178.0,100.0,0.0,0.0,0.0,3.236,1156.34,false
19,3.231,1157.0,11.77,3178.0,100.0,0.0,0.0,0.0,3.231,1169.28,false
20,3.231,1170.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.231,1158.0,false
21,3.232,1150.0,11.74,3179.0,100.0,0.0,0.0,0.0,3.232,1156.39,false
22,3.241,1132.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.241,1165.11,false
23,3.232,1151.0,11.62,3178.0,100.0,0.0,0.0,0.0,3.232,1162.27,false
24,3.245,1148.0,20.52,3178.0,100.0,0.0,0.0,0.0,3.245,1159.72,false
25,3.245,1151.0,12.63,3179.0,100.0,0.0,0.0,0.0,3.245,1154.56,false
26,3.244,1144.0,12.05,3178.0,100.0,0.0,0.0,0.0,3.244,1165.55,false
27,3.219,1111.0,6.29,3179.0,100.0,0.0,0.0,0.0,3.219,1159.25,false
