Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.215,1097.0,31.78,1647.0,42.58,0.0,0.0,0.0,1.215,459.13,false
1,3.14,1061.0,12.8,3182.0,99.96,0.003,714.0,0.41,3.143,1113.15,false
2,3.218,1136.0,11.62,3178.0,100.0,0.0,0.0,0.0,3.218,1155.98,false
3,3.22,1175.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.22,1157.88,false
4,3.222,1157.0,13.24,3179.0,100.0,0.0,715.0,0.51,3.222,1169.72,false
5,3.214,1133.0,11.75,3179.0,100.0,0.0,0.0,0.0,3.214,1157.49,false
6,3.214,1126.0,11.87,3178.0,100.0,0.0,0.0,0.0,3.214,1159.63,false
7,3.221,1158.0,12.06,3178.0,100.0,0.0,0.0,0.0,3.221,1158.39,false
8,3.242,1143.0,13.32,3178.0,100.0,0.001,712.0,0.32,3.243,1166.01,false
9,3.229,1124.0,12.51,3178.0,100.0,0.0,715.0,0.41,3.229,1156.75,false
10,3.24,1121.0,12.01,3178.0,100.0,0.0,0.0,0.0,3.24,1163.57,false
11,3.223,1123.0,11.96,3178.0,100.0,0.0,0.0,0.0,3.223,1159.34,false
12,3.223,1148.0,11.97,3178.0,100.0,0.0,0.0,0.0,3.223,1161.7,false
13,3.239,1135.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.239,1153.21,false
14,3.221,1109.0,8.84,3179.0,100.0,0.0,0.0,0.0,3.221,1166.65,false
15,3.225,1138.0,8.92,3179.0,100.0,0.0,0.0,0.0,3.225,1158.53,false
16,3.23,1167.0,12.77,3179.0,100.0,0.0,0.0,0.0,3.23,1159.06,false
17,3.223,1158.0,11.87,3179.0,100.0,0.0,0.0,0.0,3.223,1158.64,false
18,3.243,1166.0,12.57,3179.0,100.0,0.0,0.0,0.0,3.243,1156.18,false
19,3.227,1176.0,11.94,3178.0,100.0,0.0,0.0,0.0,3.227,1168.2,false
20,3.229,1170.0,11.75,3179.0,100.0,0.0,0.0,0.0,3.229,1157.63,false
21,3.225,1164.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.225,1159.42,false
22,3.228,1161.0,11.88,3179.0,100.0,0.0,0.0,0.0,3.228,1156.62,false
23,3.237,1168.0,11.89,3178.0,100.0,0.0,0.0,0.0,3.237,1156.92,false
24,3.235,1161.0,11.69,3178.0,100.0,0.0,0.0,0.0,3.235,1168.88,false
25,3.229,1175.0,11.68,3179.0,100.0,0.0,0.0,0.0,3.229,1156.22,false
26,3.231,1160.0,11.79,3179.0,100.0,0.0,0.0,0.0,3.231,1157.98,false
27,3.269,1160.0,25.33,3178.0,100.0,0.0,0.0,0.0,3.269,1165.31,false
28,3.235,1161.0,11.78,3179.0,100.0,0.0,0.0,0.0,3.235,1157.34,false
29,3.227,1147.0,11.83,3179.0,100.0,0.0,0.0,0.0,3.227,1160.58,false
30,3.23,1152.0,11.83,3179.0,100.0,0.0,0.0,0.0,3.23,1155.88,false
31,3.233,1169.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.233,1157.76,false
32,3.244,1164.0,11.6,3178.0,100.0,0.0,0.0,0.0,3.244,1167.46,false
33,3.229,1098.0,6.2,3179.0,100.0,0.0,0.0,0.0,3.229,1155.23,false
34,3.244,1134.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.244,1154.3,false
35,3.233,1132.0,12.19,3179.0,100.0,0.0,0.0,0.0,3.233,1166.22,false
36,3.236,1122.0,11.8,3178.0,100.0,0.0,0.0,0.0,3.236,1158.07,false
37,3.242,1141.0,11.84,3178.0,100.0,0.0,0.0,0.0,3.242,1156.51,false
38,3.264,1164.0,12.42,3178.0,100.0,0.0,0.0,0.0,3.264,1162.99,false
39,3.252,1156.0,12.3,3178.0,100.0,0.0,0.0,0.0,3.252,1153.01,false
40,3.238,1142.0,11.61,3179.0,100.0,0.0,0.0,0.0,3.238,1165.83,false
41,3.24,1157.0,12.12,3178.0,100.0,0.0,0.0,0.0,3.24,1160.63,false
42,3.251,1137.0,12.01,3178.0,100.0,0.0,0.0,0.0,3.251,1156.66,false
43,3.25,1149.0,11.61,3179.0,100.0,0.0,0.0,0.0,3.25,1154.11,false
44,3.241,1168.0,11.85,3178.0,100.0,0.0,0.0,0.0,3.241,1169.8,false
45,3.238,1152.0,11.76,3179.0,100.0,0.0,0.0,0.0,3.238,1157.67,false
46,3.258,1143.0,19.09,3179.0,100.0,0.0,0.0,0.0,3.258,1155.53,false
47,3.238,1163.0,12.94,3178.0,100.0,0.0,712.0,0.32,3.238,1162.36,false
48,3.248,1198.0,11.65,3179.0,100.0,0.0,0.0,0.0,3.248,1155.59,false
49,3.233,1163.0,11.97,3179.0,100.0,0.0,0.0,0.0,3.233,1162.07,false
50,3.24,1152.0,11.63,3179.0,100.0,0.0,0.0,0.0,3.24,1157.55,false
51,3.25,1131.0,10.14,3178.0,100.0,0.0,0.0,0.0,3.25,1165.45,false
52,3.233,1100.0,8.06,3179.0,100.0,0.0,0.0,0.0,3.233,1157.46,false
53,3.239,1158.0,11.62,3179.0,100.0,0.0,0.0,0.0,3.239,1159.07,false
54,3.234,1148.0,11.85,3179.0,100.0,0.0,0.0,0.0,3.234,1161.71,false
55,3.243,1137.0,11.8,3179.0,100.0,0.0,0.0,0.0,3.243,1160.14,false
56,3.253,1131.0,25.68,3179.0,100.0,0.0,0.0,0.0,3.253,1157.69,false
57,3.249,1134.0,12.05,3178.0,100.0,0.0,0.0,0.0,3.249,1156.01,false
58,3.249,1150.0,11.75,3178.0,100.0,0.0,0.0,0.0,3.249,1160.74,false
59,3.245,1128.0,11.48,3179.0,100.0,0.0,0.0,0.0,3.245,1157.15,false
60,3.241,1147.0,11.47,3179.0,100.0,0.0,0.0,0.0,3.241,1159.8,false
61,3.232,1140.0,11.93,3179.0,100.0,0.0,0.0,0.0,3.232,1159.18,false
62,3.246,1124.0,11.91,3179.0,100.0,0.0,0.0,0.0,3.246,1161.84,false
63,3.235,1149.0,12.55,3178.0,100.0,0.001,716.0,0.71,3.236,1161.8,false
64,3.242,1149.0,11.78,3179.0,100.0,0.0,0.0,0.0,3.242,1157.55,false
65,3.247,1157.0,11.76,3179.0,100.0,0.0,0.0,0.0,3.247,1160.25,false
66,3.249,1117.0,11.64,3179.0,100.0,0.0,0.0,0.0,3.249,1160.31,false
67,3.248,1158.0,12.13,3178.0,100.0,0.0,0.0,0.0,3.248,1159.74,false
68,3.248,1162.0,11.64,3179.0,100.0,0.0,0.0,0.0,3.248,1156.94,false
69,3.246,1118.0,11.55,3179.0,100.0,0.0,0.0,0.0,3.246,1159.14,false
70,3.423,1155.0,94.6,3179.0,100.0,0.0,0.0,0.0,3.423,1156.3,false
71,3.466,1197.0,100.0,3179.0,100.0,0.0,0.0,0.0,3.466,1161.79,false
72,3.465,1182.0,100.0,3179.0,100.0,0.0,0.0,0.0,3.465,1164.25,false
73,3.465,1188.0,100.0,3179.0,100.0,0.0,0.0,0.0,3.465,1156.99,false
