Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.247,1105.0,29.83,1758.0,44.28,0.0,0.0,0.0,1.247,473.31,false
1,3.138,1056.0,12.93,3182.0,99.97,0.001,714.0,0.41,3.139,1113.1,false
2,3.216,1118.0,11.8,3178.0,100.0,0.0,0.0,0.0,3.216,1163.56,false
3,3.201,1155.0,12.13,3178.0,100.0,0.0,0.0,0.0,3.201,1157.26,false
4,3.21,1154.0,12.64,3178.0,100.0,0.0,0.0,0.0,3.21,1165.66,false
5,3.199,1142.0,12.61,3179.0,100.0,0.0,0.0,0.0,3.199,1153.4,false
6,3.205,1137.0,11.55,3178.0,100.0,0.0,0.0,0.0,3.205,1166.51,false
7,3.231,1148.0,16.5,3178.0,100.0,0.0,0.0,0.0,3.231,1159.48,false
8,3.234,1172.0,23.41,3178.0,100.0,0.0,0.0,0.0,3.234,1162.8,false
9,3.208,1144.0,13.04,3178.0,100.0,0.001,712.0,0.31,3.209,1156.32,false
10,3.213,1135.0,13.15,3179.0,100.0,0.0,0.0,0.0,3.213,1162.69,false
11,3.209,1139.0,10.78,3179.0,100.0,0.0,0.0,0.0,3.209,1153.14,false
12,3.192,1114.0,7.74,3178.0,100.0,0.0,0.0,0.0,3.192,1166.58,false
13,3.214,1131.0,11.75,3178.0,100.0,0.0,0.0,0.0,3.214,1162.16,false
14,3.226,1136.0,12.0,3178.0,100.0,0.0,0.0,0.0,3.226,1160.7,false
15,3.218,1174.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.218,1152.42,false
16,3.21,1156.0,12.02,3179.0,100.0,0.0,0.0,0.0,3.21,1164.78,false
17,3.215,1149.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.215,1162.65,false
18,3.221,1182.0,11.98,3178.0,100.0,0.0,0.0,0.0,3.221,1153.96,false
19,3.224,1145.0,12.37,3178.0,100.0,0.0,0.0,0.0,3.224,1162.12,false
20,3.215,1142.0,12.1,3178.0,100.0,0.0,0.0,0.0,3.215,1165.66,false
21,3.221,1137.0,11.96,3178.0,100.0,0.0,0.0,0.0,3.221,1164.87,false
22,3.225,1120.0,12.29,3178.0,100.0,0.0,0.0,0.0,3.225,1159.34,false
23,3.227,1135.0,12.44,3178.0,100.0,0.0,0.0,0.0,3.227,1152.66,false
24,3.23,1149.0,11.98,3178.0,100.0,0.0,0.0,0.0,3.23,1168.39,false
25,3.224,1148.0,11.75,3178.0,100.0,0.0,0.0,0.0,3.224,1153.85,false
26,3.215,1135.0,11.95,3178.0,100.0,0.0,0.0,0.0,3.215,1165.86,false
27,3.224,1161.0,11.9,3179.0,100.0,0.0,0.0,0.0,3.224,1162.74,false
28,3.223,1121.0,12.11,3178.0,100.0,0.0,0.0,0.0,3.223,1154.89,false
29,3.248,1166.0,11.87,3178.0,100.0,0.0,0.0,0.0,3.248,1170.33,false
30,3.201,1083.0,6.63,3178.0,100.0,0.0,0.0,0.0,3.201,1152.77,false
31,3.223,1169.0,11.29,3178.0,100.0,0.0,0.0,0.0,3.223,1166.75,false
32,3.227,1149.0,11.99,3178.0,100.0,0.0,0.0,0.0,3.227,1164.59,false
33,3.232,1135.0,12.31,3178.0,100.0,0.0,0.0,0.0,3.232,1161.32,false
34,3.229,1164.0,12.29,3178.0,100.0,0.0,0.0,0.0,3.229,1162.61,false
35,3.234,1157.0,11.96,3178.0,100.0,0.0,0.0,0.0,3.234,1162.45,false
36,3.227,1143.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.227,1160.94,false
37,3.221,1158.0,11.83,3179.0,100.0,0.0,0.0,0.0,3.221,1153.9,false
38,3.251,1164.0,22.88,3179.0,100.0,0.0,0.0,0.0,3.251,1161.78,false
39,3.233,1136.0,12.46,3178.0,100.0,0.0,0.0,0.0,3.233,1162.76,false
40,3.223,1144.0,11.83,3179.0,100.0,0.0,0.0,0.0,3.223,1153.9,false
41,3.222,1148.0,11.98,3179.0,100.0,0.0,0.0,0.0,3.222,1165.18,false
42,3.215,1166.0,12.55,3179.0,100.0,0.0,0.0,0.0,3.215,1159.84,false
43,3.224,1173.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.224,1159.55,false
