Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
65,3.251,1118.0,12.41,3179.0,100.0,0.0,0.0,0.0,3.251,1161.3,false
66,3.255,1142.0,12.12,3179.0,100.0,0.0,0.0,0.0,3.255,1158.96,false
67,3.257,1124.0,12.57,3179.0,100.0,0.0,0.0,0.0,3.257,1157.72,false
68,3.251,1129.0,12.33,3179.0,100.0,0.0,0.0,0.0,3.251,1157.26,false
69,3.236,1095.0,7.79,3179.0,100.0,0.0,0.0,0.0,3.236,1165.11,false
70,3.236,1131.0,10.25,3179.0,100.0,0.0,0.0,0.0,3.236,1151.04,false
71,3.245,1133.0,12.74,3179.0,100.0,0.0,0.0,0.0,3.245,1160.13,false
72,3.246,1122.0,12.68,3179.0,100.0,0.0,0.0,0.0,3.246,1164.52,false
73,3.234,1122.0,12.35,3179.0,100.0,0.0,0.0,0.0,3.234,1152.63,false
74,3.24,1110.0,12.48,3179.0,100.0,0.0,0.0,0.0,3.24,1162.71,false
75,3.246,1095.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.246,1160.3,false
76,3.276,1121.0,23.02,3179.0,100.0,0.0,0.0,0.0,3.276,1162.32,false
77,3.263,1109.0,13.05,3178.0,100.0,0.0,0.0,0.0,3.263,1159.5,false
78,3.247,1113.0,12.42,3179.0,100.0,0.0,0.0,0.0,3.247,1161.83,false
79,3.233,1126.0,12.08,3179.0,100.0,0.0,0.0,0.0,3.233,1152.27,false
80,3.243,1090.0,12.32,3179.0,100.0,0.0,0.0,0.0,3.243,1162.09,false
81,3.247,1110.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.247,1160.51,false
82,3.243,1121.0,13.4,3178.0,100.0,0.0,714.0,0.41,3.243,1158.94,false
83,3.245,1115.0,12.38,3179.0,100.0,0.0,0.0,0.0,3.245,1151.8,false
84,3.247,1137.0,12.43,3179.0,100.0,0.0,0.0,0.0,3.247,1163.14,false
85,3.249,1129.0,11.86,3179.0,100.0,0.0,0.0,0.0,3.249,1161.4,false
86,3.246,1106.0,12.22,3179.0,100.0,0.0,0.0,0.0,3.246,1158.03,false
87,3.239,1115.0,11.11,3179.0,100.0,0.0,0.0,0.0,3.239,1154.13,false
88,3.231,1093.0,7.43,3179.0,100.0,0.0,0.0,0.0,3.231,1164.69,false
89,3.249,1115.0,12.29,3179.0,100.0,0.0,0.0,0.0,3.249,1152.12,false
90,3.234,1124.0,12.27,3179.0,100.0,0.0,0.0,0.0,3.234,1165.66,false
91,3.243,1124.0,11.9,3179.0,100.0,0.0,0.0,0.0,3.243,1152.0,false
92,3.254,1136.0,12.78,3178.0,100.0,0.0,0.0,0.0,3.254,1161.43,false
93,3.252,1112.0,12.13,3178.0,100.0,0.0,0.0,0.0,3.252,1162.69,false
94,3.257,1116.0,12.6,3179.0,100.0,0.0,0.0,0.0,3.257,1162.58,false
95,3.517,1150.0,14.74,3173.0,100.0,0.0,0.0,0.0,3.517,1150.65,false
96,3.255,1134.0,12.04,3179.0,100.0,0.0,0.0,0.0,3.255,1160.62,false
97,3.251,1118.0,12.46,3179.0,100.0,0.0,0.0,0.0,3.251,1163.25,false
98,3.249,1127.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.249,1152.45,false
99,3.242,1130.0,12.16,3179.0,100.0,0.0,0.0,0.0,3.242,1164.76,false
100,3.25,1121.0,12.02,3179.0,100.0,0.0,0.0,0.0,3.25,1151.84,false
101,3.248,1121.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.248,1161.59,false
102,3.258,1107.0,12.51,3179.0,100.0,0.0,0.0,0.0,3.258,1158.11,false
103,3.254,1138.0,12.29,3179.0,100.0,0.0,0.0,0.0,3.254,1161.6,false
104,3.252,1120.0,13.13,3179.0,100.0,0.0,0.0,0.0,3.252,1162.17,false
105,3.252,1101.0,12.25,3179.0,100.0,0.0,0.0,0.0,3.252,1160.84,false
