Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.233,1095.0,23.4,1707.0,43.38,0.0,0.0,0.0,1.233,469.16,false
1,3.141,1068.0,13.08,3182.0,99.96,0.002,712.0,0.32,3.143,1109.49,false
2,3.202,1104.0,11.91,3178.0,100.0,0.0,0.0,0.0,3.202,1160.65,false
3,3.202,1173.0,10.98,3179.0,100.0,0.0,0.0,0.0,3.202,1163.68,false
4,3.21,1107.0,7.54,3179.0,100.0,0.0,0.0,0.0,3.21,1161.03,false
5,3.261,1161.0,24.68,3178.0,100.0,0.0,0.0,0.0,3.261,1163.18,false
6,3.209,1136.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.209,1158.97,false
7,3.208,1139.0,11.62,3179.0,100.0,0.0,0.0,0.0,3.208,1151.87,false
8,3.209,1140.0,11.75,3179.0,100.0,0.0,0.0,0.0,3.209,1162.19,false
9,3.211,1141.0,12.74,3179.0,100.0,0.0,712.0,0.31,3.211,1163.34,false
10,3.222,1137.0,12.01,3179.0,100.0,0.0,0.0,0.0,3.222,1157.67,false
11,3.221,1150.0,12.95,3179.0,100.0,0.002,714.0,0.63,3.223,1162.21,false
12,3.226,1171.0,12.79,3179.0,100.0,0.0,0.0,0.0,3.226,1157.02,false
13,3.22,1145.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.22,1160.4,false
14,3.217,1148.0,11.83,3179.0,100.0,0.0,0.0,0.0,3.217,1160.45,false
15,3.227,1156.0,12.28,3179.0,100.0,0.0,0.0,0.0,3.227,1158.91,false
16,3.237,1131.0,11.98,3178.0,100.0,0.0,0.0,0.0,3.237,1156.3,false
17,3.223,1136.0,11.7,3178.0,100.0,0.0,0.0,0.0,3.223,1167.23,false
18,3.223,1146.0,11.86,3179.0,99.99,0.0,0.0,0.0,3.223,1150.55,false
19,3.212,1145.0,12.12,3179.0,100.0,0.0,0.0,0.0,3.212,1162.07,false
20,3.23,1135.0,12.19,3179.0,99.99,0.0,0.0,0.0,3.23,1158.26,false
21,3.242,1124.0,11.93,3178.0,100.0,0.0,0.0,0.0,3.242,1166.0,false
22,3.221,1147.0,12.46,3178.0,100.0,0.0,0.0,0.0,3.221,1162.66,false
23,3.208,1126.0,7.04,3179.0,100.0,0.0,0.0,0.0,3.208,1157.31,false
24,3.229,1142.0,11.93,3179.0,100.0,0.0,0.0,0.0,3.229,1160.96,false
25,3.237,1146.0,12.12,3179.0,100.0,0.0,0.0,0.0,3.237,1158.68,false
26,3.244,1125.0,12.96,3178.0,100.0,0.0,714.0,0.41,3.244,1157.52,false
27,3.236,1132.0,11.87,3179.0,100.0,0.0,0.0,0.0,3.236,1156.01,false
28,3.24,1139.0,12.7,3179.0,100.0,0.0,710.0,0.21,3.24,1166.61,false
29,3.24,1150.0,11.67,3179.0,100.0,0.0,0.0,0.0,3.24,1160.4,false
30,3.238,1121.0,12.17,3179.0,100.0,0.0,0.0,0.0,3.238,1154.99,false
31,3.244,1139.0,11.8,3178.0,100.0,0.0,0.0,0.0,3.244,1155.53,false
32,3.238,1144.0,11.64,3178.0,100.0,0.0,0.0,0.0,3.238,1168.84,false
33,3.235,1174.0,11.61,3179.0,100.0,0.0,0.0,0.0,3.235,1156.44,false
34,3.249,1132.0,25.83,3179.0,100.0,0.0,0.0,0.0,3.249,1157.09,false
35,3.25,1131.0,12.2,3178.0,100.0,0.0,0.0,0.0,3.25,1167.94,false
36,3.235,1173.0,11.72,3179.0,100.0,0.0,0.0,0.0,3.235,1159.86,false
37,3.23,1120.0,11.93,3179.0,100.0,0.0,0.0,0.0,3.23,1156.82,false
38,3.238,1192.0,12.06,3179.0,100.0,0.0,0.0,0.0,3.238,1160.19,false
39,3.25,1142.0,11.64,3178.0,100.0,0.0,0.0,0.0,3.25,1154.12,false
40,3.247,1158.0,12.11,3179.0,100.0,0.0,0.0,0.0,3.247,1165.46,false
41,3.217,1108.0,6.44,3179.0,100.0,0.0,0.0,0.0,3.217,1163.79,false
42,3.24,1152.0,11.27,3178.0,100.0,0.0,0.0,0.0,3.24,1157.1,false
43,3.238,1139.0,11.61,3179.0,100.0,0.0,0.0,0.0,3.238,1156.97,false
44,3.238,1132.0,11.73,3178.0,100.0,0.0,0.0,0.0,3.238,1159.31,false
45,3.237,1153.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.237,1160.15,false
46,3.23,1147.0,11.56,3179.0,100.0,0.0,0.0,0.0,3.23,1160.25,false
47,3.235,1135.0,11.95,3179.0,100.0,0.0,0.0,0.0,3.235,1160.13,false
48,3.237,1159.0,11.58,3179.0,100.0,0.0,0.0,0.0,3.237,1160.38,false
49,3.233,1147.0,11.74,3179.0,100.0,0.0,0.0,0.0,3.233,1159.17,false
50,3.235,1146.0,12.04,3179.0,100.0,0.0,0.0,0.0,3.235,1159.93,false
51,3.236,1150.0,11.63,3179.0,100.0,0.0,0.0,0.0,3.236,1159.61,false
52,3.232,1146.0,11.69,3179.0,100.0,0.0,0.0,0.0,3.232,1160.96,false
53,3.228,1152.0,11.78,3179.0,100.0,0.0,0.0,0.0,3.228,1158.52,false
54,3.233,1160.0,11.56,3179.0,100.0,0.0,0.0,0.0,3.233,1157.35,false
55,3.249,1138.0,12.45,3178.0,100.0,0.0,0.0,0.0,3.249,1161.49,false
56,3.224,1150.0,11.43,3179.0,100.0,0.0,0.0,0.0,3.224,1150.61,false
57,3.226,1123.0,11.73,3179.0,100.0,0.0,0.0,0.0,3.226,1159.34,false
58,3.247,1143.0,11.64,3179.0,100.0,0.0,0.0,0.0,3.247,1158.95,false
59,3.243,1085.0,9.64,3178.0,100.0,0.0,0.0,0.0,3.243,1164.81,false
60,3.247,1126.0,8.24,3178.0,100.0,0.0,0.0,0.0,3.247,1158.4,false
61,3.253,1132.0,11.83,3178.0,100.0,0.0,0.0,0.0,3.253,1155.54,false
62,3.249,1141.0,11.46,3178.0,100.0,0.0,0.0,0.0,3.249,1167.86,false
63,3.239,1126.0,11.82,3179.0,100.0,0.0,0.0,0.0,3.239,1159.08,false
64,3.341,1179.0,57.52,3179.0,100.0,0.0,0.0,0.0,3.341,1160.19,false
65,3.461,1186.0,100.0,3178.0,100.0,0.0,0.0,0.0,3.461,1160.76,false
