Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.168,1118.0,21.42,1651.0,41.71,0.0,0.0,0.0,1.168,433.54,false
1,3.114,1053.0,12.75,3182.0,99.97,0.0,0.0,0.0,3.114,1124.04,false
2,3.199,1105.0,12.58,3178.0,100.0,0.0,0.0,0.0,3.199,1148.68,false
3,3.203,1153.0,12.09,3178.0,100.0,0.0,0.0,0.0,3.203,1162.42,false
4,3.206,1144.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.206,1162.06,false
5,3.2,1147.0,12.22,3178.0,100.0,0.0,0.0,0.0,3.2,1163.53,false
6,3.233,1146.0,27.66,3178.0,100.0,0.0,714.0,0.41,3.233,1159.51,false
7,3.216,1146.0,14.52,3178.0,100.0,0.002,708.0,0.22,3.218,1159.15,false
8,3.209,1148.0,12.33,3178.0,100.0,0.0,0.0,0.0,3.209,1160.06,false
9,3.201,1144.0,13.62,3179.0,100.0,0.002,712.0,0.63,3.203,1161.16,false
10,3.225,1124.0,12.94,3178.0,100.0,0.0,0.0,0.0,3.225,1161.44,false
11,3.208,1129.0,12.55,3179.0,100.0,0.0,0.0,0.0,3.208,1158.71,false
12,3.211,1139.0,12.3,3178.0,100.0,0.0,0.0,0.0,3.211,1150.72,false
13,3.206,1114.0,12.33,3179.0,100.0,0.0,0.0,0.0,3.206,1168.04,false
14,3.213,1150.0,16.98,3178.0,100.0,0.001,714.0,0.73,3.214,1159.28,false
15,3.214,1140.0,12.3,3179.0,100.0,0.0,0.0,0.0,3.214,1157.2,false
16,3.389,1399.0,41.2,3178.0,100.0,0.0,0.0,0.0,3.389,1160.75,false
17,3.207,1110.0,8.39,3178.0,100.0,0.0,0.0,0.0,3.207,1158.16,false
18,3.24,1198.0,20.7,3178.0,100.0,0.0,0.0,0.0,3.24,1158.55,false
19,3.217,1135.0,12.16,3178.0,100.0,0.0,0.0,0.0,3.217,1160.48,false
20,3.212,1116.0,12.1,3179.0,100.0,0.0,0.0,0.0,3.212,1161.79,false
21,3.214,1123.0,12.46,3179.0,100.0,0.0,0.0,0.0,3.214,1160.59,false
22,3.215,1112.0,12.56,3178.0,100.0,0.0,0.0,0.0,3.215,1159.15,false
23,3.214,1111.0,12.32,3179.0,100.0,0.0,0.0,0.0,3.214,1159.57,false
24,3.213,1138.0,12.0,3179.0,100.0,0.0,0.0,0.0,3.213,1150.33,false
25,3.205,1145.0,12.08,3178.0,100.0,0.0,0.0,0.0,3.205,1164.87,false
26,3.217,1137.0,12.47,3178.0,100.0,0.0,0.0,0.0,3.217,1161.23,false
27,3.221,1137.0,12.34,3179.0,100.0,0.0,0.0,0.0,3.221,1160.58,false
28,3.208,1117.0,12.57,3179.0,100.0,0.0,0.0,0.0,3.208,1157.52,false
29,3.21,1146.0,14.07,3178.0,100.0,0.0,0.0,0.0,3.21,1156.83,false
30,3.216,1113.0,11.87,3178.0,100.0,0.0,0.0,0.0,3.216,1162.32,false
31,3.216,1119.0,12.28,3178.0,100.0,0.0,0.0,0.0,3.216,1158.11,false
32,3.204,1095.0,12.37,3179.0,100.0,0.0,0.0,0.0,3.204,1152.91,false
33,3.215,1100.0,12.77,3178.0,100.0,0.0,0.0,0.0,3.215,1158.98,false
34,3.217,1132.0,12.29,3179.0,100.0,0.0,0.0,0.0,3.217,1161.71,false
35,3.241,1117.0,26.62,3178.0,100.0,0.0,714.0,0.41,3.241,1161.96,false
36,3.2,1089.0,7.88,3178.0,100.0,0.0,0.0,0.0,3.2,1161.6,false
37,3.235,1108.0,13.08,3178.0,100.0,0.0,712.0,0.31,3.235,1159.35,false
38,3.209,1100.0,12.37,3179.0,100.0,0.0,0.0,0.0,3.209,1158.81,false
39,3.211,1131.0,12.0,3178.0,100.0,0.0,0.0,0.0,3.211,1157.61,false
40,3.211,1114.0,12.66,3178.0,100.0,0.0,0.0,0.0,3.211,1161.29,false
41,3.222,1106.0,14.02,3179.0,100.0,0.0,709.0,0.22,3.222,1158.81,false
42,3.213,1140.0,12.41,3179.0,100.0,0.0,0.0,0.0,3.213,1154.25,false
43,3.251,1151.0,14.98,3178.0,100.0,0.001,713.0,0.63,3.252,1162.81,false
44,3.219,1115.0,12.74,3178.0,100.0,0.0,0.0,0.0,3.219,1161.07,false
45,3.211,1086.0,12.38,3179.0,100.0,0.0,0.0,0.0,3.211,1157.25,false
46,3.219,1122.0,12.64,3178.0,100.0,0.0,0.0,0.0,3.219,1153.34,false
47,3.217,1128.0,12.1,3178.0,100.0,0.0,0.0,0.0,3.217,1163.32,false
48,3.218,1132.0,12.15,3179.0,100.0,0.0,0.0,0.0,3.218,1152.13,false
49,3.216,1120.0,12.18,3178.0,100.0,0.0,0.0,0.0,3.216,1164.11,false
50,3.216,1127.0,13.01,3178.0,100.0,0.0,0.0,0.0,3.216,1163.11,false
51,3.223,1105.0,12.36,3178.0,100.0,0.0,0.0,0.0,3.223,1160.36,false
52,3.207,1166.0,13.67,3179.0,100.0,0.0,713.0,0.32,3.207,1158.73,false
53,3.212,1116.0,12.45,3179.0,100.0,0.0,0.0,0.0,3.212,1151.16,false
54,3.219,1133.0,12.28,3178.0,100.0,0.0,0.0,0.0,3.219,1166.41,false
55,3.205,1068.0,9.35,3179.0,100.0,0.0,0.0,0.0,3.205,1150.24,false
56,3.218,1103.0,9.19,3179.0,100.0,0.0,0.0,0.0,3.218,1158.66,false
57,3.22,1128.0,11.98,3179.0,100.0,0.0,0.0,0.0,3.22,1164.04,false
58,3.212,1105.0,12.44,3179.0,100.0,0.0,0.0,0.0,3.212,1161.3,false
59,3.234,1137.0,11.86,3178.0,100.0,0.0,0.0,0.0,3.234,1150.21,false
60,3.205,1098.0,12.5,3179.0,100.0,0.0,0.0,0.0,3.205,1164.61,false
61,3.218,1130.0,12.37,3179.0,100.0,0.0,0.0,0.0,3.218,1160.45,false
62,3.21,1120.0,12.23,3179.0,100.0,0.0,0.0,0.0,3.21,1156.98,false
63,3.207,1114.0,12.34,3179.0,100.0,0.0,0.0,0.0,3.207,1153.9,false
