Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.204,1091.0,21.98,1683.0,42.5,0.0,0.0,0.0,1.204,453.9,false
1,3.137,1067.0,12.04,3182.0,99.96,0.003,714.0,0.41,3.14,1115.08,false
2,3.217,1107.0,11.86,3178.0,100.0,0.0,0.0,0.0,3.217,1156.83,false
3,3.216,1159.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.216,1159.87,false
4,3.228,1184.0,12.18,3179.0,100.0,0.0,0.0,0.0,3.228,1156.53,false
5,3.199,1090.0,7.27,3179.0,100.0,0.0,0.0,0.0,3.199,1161.25,false
6,3.223,1138.0,11.5,3178.0,100.0,0.0,0.0,0.0,3.223,1160.76,false
7,3.232,1147.0,12.53,3178.0,100.0,0.0,0.0,0.0,3.232,1171.41,false
8,3.224,1137.0,11.91,3178.0,100.0,0.0,0.0,0.0,3.224,1158.86,false
9,3.213,1111.0,12.72,3178.0,100.0,0.0,713.0,0.31,3.213,1150.5,false
10,3.226,1135.0,12.09,3178.0,100.0,0.0,0.0,0.0,3.226,1167.92,false
11,3.221,1133.0,12.23,3178.0,100.0,0.0,0.0,0.0,3.221,1161.51,false
12,3.221,1176.0,12.04,3179.0,100.0,0.0,0.0,0.0,3.221,1150.68,false
13,3.24,1142.0,23.01,3178.0,100.0,0.0,0.0,0.0,3.24,1167.97,false
14,3.252,1141.0,13.63,3178.0,100.0,0.0,0.0,0.0,3.252,1154.41,false
15,3.239,1146.0,12.44,3178.0,100.0,0.0,0.0,0.0,3.239,1167.96,false
16,3.234,1121.0,12.5,3178.0,100.0,0.0,0.0,0.0,3.234,1155.96,false
17,3.236,1133.0,12.03,3178.0,100.0,0.0,0.0,0.0,3.236,1167.32,false
18,3.238,1152.0,12.41,3179.0,100.0,0.0,0.0,0.0,3.238,1158.74,false
19,3.239,1145.0,11.94,3178.0,100.0,0.0,0.0,0.0,3.239,1155.65,false
20,3.237,1150.0,12.48,3178.0,100.0,0.0,0.0,0.0,3.237,1166.13,false
21,4.61,1629.0,54.73,3129.0,99.99,0.002,710.0,0.43,4.612,1156.74,false
22,3.721,1275.0,46.18,3118.0,100.0,0.0,0.0,0.0,3.721,1155.52,false
23,3.681,1207.0,44.05,3118.0,99.95,0.0,0.0,0.0,3.681,1160.47,false
24,3.705,1227.0,45.76,3118.0,100.0,0.0,0.0,0.0,3.705,1156.96,false
25,3.726,1252.0,46.11,3118.0,100.0,0.0,0.0,0.0,3.726,1154.16,false
26,3.713,1243.0,46.35,3118.0,100.0,0.0,0.0,0.0,3.713,1153.58,false
27,3.71,1249.0,46.12,3118.0,100.0,0.0,0.0,0.0,3.71,1143.41,false
28,4.168,1386.0,48.14,3105.0,99.82,0.0,0.0,0.0,4.168,1160.4,false
29,3.597,1273.0,22.31,3159.0,100.0,0.0,0.0,0.0,3.597,1164.58,false
30,3.268,1122.0,13.52,3178.0,100.0,0.0,0.0,0.0,3.268,1167.15,false
31,3.25,1142.0,12.79,3178.0,100.0,0.0,0.0,0.0,3.25,1155.68,false
32,3.236,1156.0,12.15,3178.0,100.0,0.0,0.0,0.0,3.236,1161.03,false
33,3.233,1147.0,12.11,3178.0,100.0,0.0,0.0,0.0,3.233,1163.74,false
34,3.233,1144.0,12.15,3178.0,100.0,0.0,0.0,0.0,3.233,1161.87,false
35,3.237,1148.0,12.85,3179.0,100.0,0.0,0.0,0.0,3.237,1162.71,false
36,3.249,1102.0,11.83,3178.0,100.0,0.0,0.0,0.0,3.249,1154.18,false
37,3.242,1147.0,12.31,3178.0,100.0,0.0,0.0,0.0,3.242,1160.9,false
38,3.247,1149.0,11.59,3178.0,100.0,0.0,0.0,0.0,3.247,1166.68,false
39,3.252,1147.0,12.11,3178.0,100.0,0.0,0.0,0.0,3.252,1157.98,false
40,3.235,1119.0,12.85,3178.0,100.0,0.0,0.0,0.0,3.235,1159.88,false
41,3.224,1136.0,10.01,3178.0,100.0,0.0,0.0,0.0,3.224,1163.96,false
42,3.231,1148.0,9.92,3178.0,100.0,0.0,0.0,0.0,3.231,1163.57,false
43,3.274,1123.0,23.71,3178.0,100.0,0.0,0.0,0.0,3.274,1155.74,false
44,3.254,1136.0,12.41,3178.0,100.0,0.0,0.0,0.0,3.254,1166.97,false
45,3.252,1165.0,13.2,3178.0,100.0,0.001,713.0,0.63,3.253,1164.04,false
46,3.239,1131.0,12.13,3178.0,100.0,0.0,0.0,0.0,3.239,1161.55,false
47,3.248,1141.0,12.84,3178.0,100.0,0.0,0.0,0.0,3.248,1160.22,false
48,3.244,1162.0,11.8,3178.0,100.0,0.0,0.0,0.0,3.244,1161.13,false
49,3.237,1156.0,13.43,3179.0,100.0,0.0,716.0,0.61,3.237,1162.71,false
50,3.241,1151.0,12.12,3178.0,100.0,0.0,0.0,0.0,3.241,1162.06,false
51,3.237,1145.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.237,1158.51,false
