Time (s),Power (W),Voltage (V),Amps (A)
0,253.1,240.6,1.112
1,253.4,240.7,1.106
2,258.5,240.7,1.089
3,252.9,240.7,1.089
4,253.0,240.5,1.082
5,253.0,240.4,1.091
6,253.0,240.6,1.084
7,253.1,240.6,1.086
8,253.5,240.5,1.083
9,253.3,240.5,1.084
10,253.3,240.4,1.117
11,253.7,240.5,1.089
12,253.6,240.5,1.088
13,253.5,240.5,1.091
14,253.5,240.3,1.083
15,253.4,240.5,1.087
16,253.2,240.3,1.087
17,253.3,240.4,1.087
18,253.6,240.4,1.09
19,253.5,240.6,1.086
20,253.4,240.6,1.123
21,253.7,240.4,1.092
22,253.8,240.5,1.1
23,253.8,240.4,1.096
24,253.9,240.6,1.087
25,253.8,240.3,1.087
26,253.7,240.5,1.092
27,253.8,240.4,1.104
28,254.2,240.6,1.095
29,254.1,240.4,1.091
30,253.9,240.6,1.114
31,254.1,240.5,1.078
32,253.8,240.6,1.09
33,253.7,240.7,1.09
34,253.6,240.7,1.083
35,253.4,240.6,1.078
36,253.1,240.5,1.077
37,253.1,240.8,1.078
38,253.3,240.6,1.076
39,253.1,240.5,1.085
40,253.0,240.7,1.106
41,253.2,240.5,1.075
42,253.0,240.5,1.082
43,252.8,240.8,1.081
44,252.8,240.6,1.08
45,252.5,240.8,1.081
46,252.5,240.7,1.078
47,252.3,240.6,1.081
48,252.7,240.8,1.075
49,252.4,240.6,1.08
50,252.3,240.6,1.108
51,252.5,240.7,1.082
52,252.5,240.5,1.091
53,252.5,240.7,1.087
54,252.6,240.5,1.084
55,252.4,240.6,1.083
56,252.4,240.7,1.077
57,252.3,240.7,1.084
58,252.7,240.6,1.077
59,252.4,240.6,1.086
60,252.4,240.6,1.099
61,252.5,240.6,1.088
62,252.4,240.6,1.084
63,252.3,240.6,1.087
64,252.4,240.4,1.075
65,252.0,240.4,1.086
66,251.9,240.7,1.079
67,251.9,240.6,1.088
68,259.2,240.7,1.081
69,250.5,240.5,1.088
70,250.6,240.7,1.103
71,251.0,240.5,1.081
72,251.1,240.5,1.078
73,251.1,240.5,1.092
74,251.3,240.5,1.076
75,251.1,240.3,1.089
76,251.1,240.6,1.081
77,251.2,240.5,1.081
78,251.6,240.5,1.079
79,251.5,240.6,1.076
80,251.4,240.5,1.099
81,251.6,240.5,1.08
82,251.6,240.4,1.086
83,251.6,240.4,1.091
84,252.0,240.4,1.077
85,251.9,240.6,1.08
86,251.8,240.5,1.08
87,251.9,240.4,1.081
88,252.1,240.4,1.08
89,252.0,240.6,1.078
90,251.8,240.5,1.095
91,252.1,240.5,1.077
92,251.9,240.3,1.086
93,251.9,240.6,1.089
94,252.0,240.6,1.081
95,252.0,240.5,1.078
96,252.0,240.4,1.078
97,252.1,240.6,1.081
98,252.3,240.3,1.08
99,252.3,240.2,1.079
100,252.0,240.6,1.095
101,252.2,240.5,1.076
102,252.1,240.5,1.077
103,252.0,240.6,1.092
104,252.0,240.5,1.078
105,251.9,240.6,1.077
106,251.7,240.4,1.08
107,251.9,240.4,1.085
108,252.2,240.6,1.083
109,252.0,240.4,1.079
110,251.9,240.5,1.114
111,252.2,240.5,1.08
112,252.1,240.4,1.093
113,252.0,240.3,1.08
114,252.1,240.4,1.097
115,252.2,240.4,1.08
116,252.1,240.2,1.094
117,252.1,240.1,1.082
118,252.3,240.3,1.09
119,252.2,240.3,1.079
120,251.9,240.2,1.11
121,252.2,240.7,1.08
122,252.1,240.3,1.098
123,252.2,240.3,1.08
124,252.3,240.5,1.081
125,252.3,240.5,1.081
126,252.1,240.6,1.078
127,252.2,240.4,1.087
128,252.5,240.6,1.079
129,252.3,240.4,1.085
130,252.4,240.7,1.099
131,252.5,240.6,1.119
