Time (s),Power (W),Voltage (V),Amps (A)
226,252.7,241.8,1.135
227,253.1,241.8,1.079
228,253.0,241.7,1.074
229,252.9,241.6,1.079
230,252.9,241.6,1.079
231,252.9,241.8,1.085
232,252.8,241.5,1.075
233,252.7,241.6,1.079
234,253.0,241.7,1.075
235,253.0,241.6,1.074
236,253.0,241.7,1.119
237,253.2,241.8,1.079
238,253.0,241.6,1.076
239,252.9,241.6,1.076
240,253.0,241.8,1.074
241,252.9,241.7,1.083
242,252.9,241.7,1.079
243,252.8,241.6,1.087
244,253.3,241.5,1.079
245,253.2,241.5,1.073
246,253.1,241.5,1.118
247,253.3,241.5,1.072
248,253.1,241.4,1.078
249,253.0,241.4,1.081
250,253.1,241.5,1.077
251,252.9,241.5,1.085
252,252.8,241.5,1.081
253,252.8,241.5,1.087
254,253.3,241.5,1.084
255,253.8,241.6,1.093
256,253.7,241.5,1.11
257,253.8,241.4,1.081
258,253.8,241.7,1.074
259,253.5,241.5,1.091
260,253.4,241.6,1.082
261,253.2,241.5,1.089
262,253.0,241.6,1.077
263,252.9,241.4,1.09
264,253.1,241.5,1.077
265,252.9,241.7,1.089
266,253.0,241.4,1.111
267,253.3,241.7,1.081
268,253.1,241.5,1.082
269,252.9,241.6,1.093
270,253.1,241.6,1.088
271,253.1,241.6,1.074
272,252.8,241.4,1.091
273,252.9,241.6,1.075
274,253.2,241.3,1.083
275,253.0,241.4,1.08
276,252.9,241.6,1.128
277,253.1,241.4,1.076
278,252.9,241.6,1.086
279,252.6,241.4,1.076
280,252.7,241.5,1.091
281,252.7,241.4,1.073
282,252.6,241.5,1.076
283,252.5,241.6,1.084
284,252.9,241.4,1.077
285,252.9,241.5,1.088
286,252.9,241.3,1.104
287,253.1,241.2,1.078
288,253.0,241.5,1.088
289,253.0,241.3,1.076
290,252.9,241.4,1.09
291,252.9,241.4,1.072
292,252.6,241.5,1.074
293,252.5,241.6,1.087
294,253.0,241.3,1.083
295,252.9,241.5,1.076
296,252.8,241.3,1.115
297,253.1,241.3,1.082
298,252.9,241.5,1.082
299,252.8,241.2,1.088
300,252.8,241.2,1.083
301,252.8,241.4,1.074
302,252.5,241.3,1.088
303,252.5,241.5,1.083
304,252.9,241.4,1.087
305,252.8,241.4,1.078
306,252.7,241.5,1.129
307,253.2,241.4,1.077
308,252.9,241.4,1.095
309,252.7,241.5,1.085
310,252.8,241.6,1.091
311,252.7,241.3,1.078
312,252.5,241.4,1.08
313,252.4,241.4,1.084
314,252.8,241.6,1.076
315,252.8,241.7,1.076
316,252.7,241.6,1.114
317,253.1,241.3,1.076
318,252.9,241.3,1.088
319,253.0,241.5,1.084
320,253.1,241.6,1.084
321,252.9,241.4,1.075
322,252.7,241.4,1.074
323,252.7,241.5,1.083
324,253.1,241.5,1.078
325,252.9,241.7,1.098
326,253.0,241.3,1.106
327,253.3,241.4,1.082
328,253.1,241.5,1.077
329,252.9,241.4,1.095
330,253.0,241.4,1.076
331,253.0,241.3,1.08
332,252.9,241.5,1.076
333,253.0,241.6,1.081
334,253.6,241.4,1.078
335,253.4,241.4,1.082
336,253.3,241.5,1.115
337,253.6,241.4,1.081
338,253.4,241.5,1.078
339,253.2,241.6,1.08
340,253.2,241.5,1.082
341,253.0,241.6,1.077
342,253.0,241.5,1.076
343,252.9,241.6,1.085
344,253.2,241.8,1.079
345,253.1,241.7,1.088
346,253.0,241.5,1.094
347,253.2,241.4,1.098
348,253.7,241.5,1.09
349,253.8,241.6,1.103
350,254.0,241.6,1.085
351,253.9,241.5,1.098
352,253.8,241.6,1.085
353,253.9,241.7,1.086
354,254.4,241.7,1.087
355,254.2,241.6,1.086
356,254.4,241.5,1.111
357,254.7,241.5,1.084
358,254.6,241.5,1.092
359,254.4,241.6,1.081
360,254.4,241.7,1.094
361,254.4,241.6,1.082
362,254.3,241.4,1.093
363,254.4,241.4,1.09
364,254.7,241.7,1.108
365,254.7,241.7,1.09
366,254.6,241.5,1.104
367,254.9,241.7,1.083
368,254.6,241.6,1.083
369,254.4,241.7,1.088
370,254.4,241.8,1.083
371,254.3,241.6,1.084
372,254.1,241.8,1.085
373,254.1,241.7,1.082
374,254.4,241.8,1.084
375,254.3,241.5,1.085
376,254.4,241.6,1.11
377,254.6,241.9,1.083
378,254.4,241.7,1.086
379,254.3,241.9,1.106
380,254.3,241.8,1.085
381,254.3,241.9,1.082
382,254.1,241.7,1.082
383,254.1,241.9,1.089
384,254.5,241.8,1.093
385,254.4,242.0,1.086
386,254.5,241.8,1.097
387,254.7,241.8,1.08
388,254.4,241.9,1.076
389,254.1,241.8,1.077
390,254.0,242.0,1.08
391,253.9,241.8,1.076
392,253.6,241.9,1.072
393,253.5,241.8,1.074
394,253.7,241.9,1.076
395,253.4,241.7,1.079
396,253.4,241.6,1.095
397,253.5,241.9,1.074
398,253.3,241.8,1.075
399,253.0,241.7,1.079
400,253.0,241.9,1.083
401,252.9,241.7,1.092
402,252.9,241.8,1.071
403,252.8,242.0,1.083
404,253.0,242.1,1.075
405,252.8,241.8,1.084
406,252.6,241.8,1.096
407,252.8,242.0,1.082
408,252.7,241.8,1.074
409,252.5,241.8,1.081
410,252.5,241.9,1.083
411,252.4,241.7,1.078
412,252.3,241.8,1.076
413,252.3,242.0,1.082
414,252.7,241.9,1.076
415,252.6,241.7,1.086
416,253.1,241.7,1.106
417,253.4,241.9,1.073
418,253.2,241.8,1.074
419,253.0,242.0,1.083
420,253.1,241.8,1.075
421,253.0,241.7,1.074
422,252.8,241.9,1.079
423,252.9,241.9,1.079
424,253.2,241.8,1.084
425,253.1,241.7,1.072
426,253.0,241.9,1.091
427,253.2,241.7,1.077
428,252.9,241.7,1.077
429,252.8,241.8,1.077
430,252.8,241.9,1.078
431,252.7,241.9,1.081
432,252.6,241.6,1.086
433,252.7,241.9,1.083
434,253.1,241.9,1.081
435,253.0,241.8,1.073
436,252.9,241.8,1.093
437,253.2,241.9,1.07
438,252.9,241.7,1.074
439,252.8,241.8,1.075
440,252.8,241.9,1.087
441,252.8,242.0,1.09
442,252.7,241.7,1.077
443,252.8,241.8,1.091
444,253.1,241.9,1.08
445,253.0,242.0,1.079
446,252.9,241.8,1.108
447,253.2,241.9,1.069
448,252.9,241.9,1.083
449,252.7,241.7,1.071
450,252.7,241.9,1.086
451,252.7,241.9,1.072
452,252.7,241.8,1.075
453,252.7,242.0,1.08
454,252.8,241.8,1.069
455,252.6,241.8,1.073
456,252.5,241.9,1.094
457,252.8,241.7,1.072
458,252.6,241.8,1.074
459,252.4,242.0,1.073
460,252.5,241.8,1.069
461,252.2,241.9,1.073
462,252.2,241.8,1.07
463,252.0,241.9,1.083
464,252.5,241.8,1.077
465,252.3,241.8,1.084
466,252.4,241.8,1.084
467,252.5,241.7,1.081
468,252.5,241.9,1.074
469,252.2,241.8,1.08
470,252.4,241.8,1.072
471,252.1,241.8,1.078
472,252.2,241.7,1.073
473,252.2,241.8,1.089
474,252.5,241.7,1.072
475,252.3,241.6,1.083
476,252.3,241.9,1.096
477,252.6,241.7,1.075
478,252.5,241.8,1.074
479,252.3,241.6,1.077
480,252.5,241.6,1.079
481,253.0,241.8,1.078
482,252.9,241.7,1.072
483,252.8,241.9,1.093
484,253.1,241.7,1.072
485,252.7,241.7,1.081
486,252.6,241.8,1.082
487,252.8,241.8,1.096
488,252.7,241.9,1.071
489,252.5,241.7,1.101
490,252.5,241.7,1.07
491,252.3,241.9,1.078
492,252.2,241.7,1.069
493,252.1,241.7,1.1
494,252.5,241.9,1.075
495,252.3,241.6,1.079
496,252.2,241.9,1.087
497,252.5,241.8,1.073
498,252.4,241.7,1.076
499,252.2,241.6,1.08
