Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
68,3.332,1142.0,5.8,3172.0,100.0,0.0,0.0,0.0,3.332,1226.46
69,3.319,1122.0,5.73,3172.0,100.0,0.0,0.0,0.0,3.319,1233.38
70,3.309,1106.0,5.65,3172.0,100.0,0.0,0.0,0.0,3.309,1230.3
71,3.296,1101.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.296,1224.12
72,3.33,1160.0,5.81,3171.0,100.0,0.0,0.0,0.0,3.33,1236.25
73,3.307,1101.0,5.68,3173.0,100.0,0.0,0.0,0.0,3.307,1223.5
74,3.313,1101.0,5.63,3172.0,100.0,0.0,0.0,0.0,3.313,1233.88
75,3.31,1110.0,6.88,3172.0,100.0,0.0,0.0,0.0,3.31,1230.08
76,3.309,1120.0,7.27,3172.0,100.0,0.0,712.0,0.32,3.309,1239.67
77,3.293,1112.0,5.82,3173.0,100.0,0.0,0.0,0.0,3.293,1230.63
78,3.306,1090.0,5.99,3172.0,100.0,0.0,0.0,0.0,3.306,1233.16
79,3.295,1102.0,5.59,3172.0,100.0,0.0,0.0,0.0,3.295,1230.15
80,3.294,1120.0,5.73,3172.0,100.0,0.0,0.0,0.0,3.294,1227.48
81,3.3,1129.0,5.65,3172.0,100.0,0.0,0.0,0.0,3.3,1232.5
82,3.338,1139.0,6.12,3171.0,100.0,0.0,0.0,0.0,3.338,1239.74
83,3.314,1137.0,5.9,3173.0,100.0,0.0,0.0,0.0,3.314,1224.74
84,3.32,1126.0,5.82,3172.0,100.0,0.0,0.0,0.0,3.32,1229.49
85,3.292,1135.0,6.95,3173.0,100.0,0.0,714.0,0.41,3.292,1233.66
86,3.274,1128.0,5.64,3173.0,100.0,0.0,0.0,0.0,3.274,1225.33
87,3.283,1114.0,6.27,3173.0,100.0,0.0,0.0,0.0,3.283,1227.68
88,3.327,1115.0,6.15,3172.0,99.92,0.0,0.0,0.0,3.327,1232.07
89,3.326,1106.0,5.67,3172.0,100.0,0.0,0.0,0.0,3.326,1226.74
90,3.306,1129.0,5.57,3172.0,100.0,0.0,0.0,0.0,3.306,1231.8
91,3.301,1104.0,5.65,3173.0,100.0,0.0,0.0,0.0,3.301,1229.76
92,3.319,1131.0,6.58,3172.0,100.0,0.0,0.0,0.0,3.319,1241.28
93,3.314,1149.0,5.75,3172.0,100.0,0.0,0.0,0.0,3.314,1235.21
94,3.315,1111.0,5.7,3172.0,100.0,0.0,0.0,0.0,3.315,1239.42
95,3.307,1141.0,5.63,3172.0,100.0,0.0,0.0,0.0,3.307,1228.64
96,3.336,1163.0,9.69,3171.0,100.0,0.0,0.0,0.0,3.336,1243.4
97,3.358,1153.0,6.92,3172.0,100.0,0.0,0.0,0.0,3.358,1229.49
