Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.244,1097.0,27.13,1667.0,42.52,0.0,0.0,0.0,1.244,483.76
1,3.175,1070.0,12.86,3180.0,99.96,0.001,714.0,0.41,3.176,1141.1
2,3.234,1142.0,12.15,3176.0,100.0,0.0,0.0,0.0,3.234,1191.98
3,3.249,1140.0,12.19,3176.0,100.0,0.0,0.0,0.0,3.249,1189.75
4,3.249,1151.0,12.05,3176.0,100.0,0.0,0.0,0.0,3.249,1193.8
5,3.243,1181.0,11.78,3176.0,100.0,0.0,0.0,0.0,3.243,1190.19
6,3.235,1143.0,10.55,3176.0,100.0,0.0,0.0,0.0,3.235,1188.03
7,3.229,1125.0,7.5,3176.0,100.0,0.0,0.0,0.0,3.229,1179.51
8,3.234,1163.0,12.03,3176.0,100.0,0.0,0.0,0.0,3.234,1191.92
9,3.244,1153.0,12.84,3176.0,100.0,0.002,712.0,0.31,3.246,1195.87
10,3.241,1157.0,11.73,3176.0,100.0,0.0,0.0,0.0,3.241,1191.76
11,3.237,1170.0,12.11,3176.0,100.0,0.0,0.0,0.0,3.237,1180.35
12,3.243,1183.0,12.0,3176.0,100.0,0.0,0.0,0.0,3.243,1195.93
13,3.25,1168.0,11.91,3176.0,100.0,0.0,0.0,0.0,3.25,1185.35
14,3.249,1160.0,11.76,3176.0,100.0,0.0,0.0,0.0,3.249,1191.38
15,3.248,1139.0,12.09,3176.0,100.0,0.0,0.0,0.0,3.248,1191.82
16,3.251,1138.0,12.98,3176.0,100.0,0.0,0.0,0.0,3.251,1191.87
17,3.255,1154.0,12.28,3176.0,100.0,0.0,0.0,0.0,3.255,1192.04
18,3.261,1143.0,12.17,3176.0,100.0,0.0,0.0,0.0,3.261,1192.86
19,3.252,1141.0,12.04,3176.0,100.0,0.0,0.0,0.0,3.252,1191.44
20,3.255,1159.0,12.07,3176.0,100.0,0.0,0.0,0.0,3.255,1192.25
21,3.27,1164.0,25.71,3176.0,100.0,0.0,0.0,0.0,3.27,1192.29
22,3.289,1159.0,11.81,3176.0,100.0,0.0,0.0,0.0,3.289,1196.03
23,3.261,1149.0,11.89,3176.0,100.0,0.0,0.0,0.0,3.261,1189.26
24,3.261,1183.0,11.7,3176.0,100.0,0.0,0.0,0.0,3.261,1189.07
25,3.236,1124.0,6.83,3176.0,100.0,0.0,0.0,0.0,3.236,1196.76
26,3.25,1159.0,10.91,3176.0,100.0,0.0,0.0,0.0,3.25,1185.63
27,3.261,1155.0,12.15,3176.0,100.0,0.0,0.0,0.0,3.261,1193.79
28,3.24,1159.0,12.82,3176.0,100.0,0.001,713.0,0.53,3.241,1184.51
29,3.261,1200.0,11.63,3177.0,100.0,0.0,0.0,0.0,3.261,1190.96
30,3.249,1164.0,11.9,3176.0,100.0,0.0,0.0,0.0,3.249,1189.21
31,3.251,1155.0,11.92,3176.0,100.0,0.0,0.0,0.0,3.251,1185.06
32,3.257,1163.0,11.96,3176.0,100.0,0.0,0.0,0.0,3.257,1182.57
33,3.259,1168.0,11.56,3176.0,100.0,0.0,0.0,0.0,3.259,1197.91
34,3.257,1144.0,11.79,3176.0,100.0,0.0,0.0,0.0,3.257,1189.04
35,3.254,1135.0,11.73,3176.0,100.0,0.0,0.0,0.0,3.254,1180.09
36,3.251,1153.0,12.13,3176.0,100.0,0.0,0.0,0.0,3.251,1196.12
37,3.263,1136.0,12.67,3176.0,100.0,0.0,0.0,0.0,3.263,1189.2
38,3.262,1156.0,11.89,3176.0,100.0,0.0,0.0,0.0,3.262,1191.81
39,3.258,1142.0,11.7,3176.0,100.0,0.0,0.0,0.0,3.258,1190.59
40,3.253,1166.0,11.83,3176.0,100.0,0.0,0.0,0.0,3.253,1193.5
41,3.258,1164.0,11.79,3176.0,100.0,0.0,0.0,0.0,3.258,1179.91
42,3.267,1154.0,12.37,3176.0,100.0,0.0,0.0,0.0,3.267,1187.52
43,3.263,1136.0,11.75,3176.0,100.0,0.0,0.0,0.0,3.263,1197.2
44,3.231,1097.0,6.18,3176.0,100.0,0.0,0.0,0.0,3.231,1188.33
45,3.264,1148.0,11.88,3176.0,100.0,0.0,0.0,0.0,3.264,1188.2
46,3.258,1160.0,12.23,3176.0,100.0,0.0,0.0,0.0,3.258,1191.63
47,3.262,1151.0,12.29,3176.0,100.0,0.0,0.0,0.0,3.262,1190.81
48,3.257,1166.0,11.72,3176.0,100.0,0.0,0.0,0.0,3.257,1179.28
49,3.254,1155.0,11.42,3176.0,100.0,0.0,0.0,0.0,3.254,1194.29
50,3.265,1181.0,11.42,3176.0,100.0,0.0,0.0,0.0,3.265,1193.64
51,3.283,1146.0,25.55,3176.0,100.0,0.0,0.0,0.0,3.283,1183.22
52,3.272,1152.0,12.18,3176.0,100.0,0.0,0.0,0.0,3.272,1186.22
53,3.262,1145.0,12.17,3176.0,100.0,0.0,0.0,0.0,3.262,1195.26
54,3.266,1157.0,11.67,3176.0,100.0,0.0,0.0,0.0,3.266,1191.55
55,3.263,1156.0,11.69,3176.0,100.0,0.0,0.0,0.0,3.263,1188.5
56,3.256,1163.0,11.68,3176.0,100.0,0.0,0.0,0.0,3.256,1190.01
57,3.272,1136.0,12.24,3176.0,100.0,0.0,0.0,0.0,3.272,1187.99
