Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.285,1044.0,25.93,1710.0,43.6,0.0,708.0,0.22,1.285,522.99
1,3.25,1031.0,6.34,3172.0,99.98,0.0,0.0,0.0,3.25,1214.17
2,3.282,1106.0,5.78,3171.0,100.0,0.0,0.0,0.0,3.282,1229.14
3,3.288,1131.0,6.01,3171.0,100.0,0.0,0.0,0.0,3.288,1230.46
4,3.299,1164.0,6.03,3171.0,100.0,0.0,0.0,0.0,3.299,1238.82
5,3.308,1142.0,6.8,3171.0,99.76,0.0,0.0,0.0,3.308,1248.3
6,3.304,1097.0,5.77,3171.0,100.0,0.0,0.0,0.0,3.304,1233.4
7,3.291,1111.0,6.44,3170.0,100.0,0.0,0.0,0.0,3.291,1245.66
8,3.298,1152.0,6.1,3170.0,100.0,0.0,0.0,0.0,3.298,1247.59
9,3.315,1123.0,6.74,3169.0,100.0,0.0,712.0,0.32,3.315,1251.2
10,3.318,1129.0,5.94,3170.0,100.0,0.0,0.0,0.0,3.318,1257.11
11,3.3,1133.0,5.93,3171.0,100.0,0.0,0.0,0.0,3.3,1241.01
12,3.301,1139.0,5.67,3170.0,100.0,0.0,0.0,0.0,3.301,1247.2
13,3.296,1128.0,5.79,3171.0,100.0,0.0,0.0,0.0,3.296,1242.57
14,3.335,1144.0,11.49,3170.0,100.0,0.0,0.0,0.0,3.335,1243.82
15,3.318,1138.0,5.9,3170.0,100.0,0.0,0.0,0.0,3.318,1240.65
16,3.31,1127.0,5.89,3170.0,100.0,0.0,0.0,0.0,3.31,1244.33
17,3.301,1134.0,5.75,3171.0,100.0,0.0,0.0,0.0,3.301,1238.91
18,3.311,1144.0,6.21,3171.0,100.0,0.0,0.0,0.0,3.311,1243.5
19,3.329,1128.0,6.46,3170.0,99.92,0.0,0.0,0.0,3.329,1246.56
20,3.311,1122.0,6.03,3170.0,100.0,0.0,0.0,0.0,3.311,1248.04
21,3.3,1140.0,5.94,3171.0,100.0,0.0,0.0,0.0,3.3,1240.96
22,3.298,1154.0,5.66,3170.0,100.0,0.0,0.0,0.0,3.298,1243.43
23,3.307,1139.0,6.25,3170.0,100.0,0.0,0.0,0.0,3.307,1244.65
24,3.304,1126.0,7.78,3170.0,100.0,0.002,715.0,0.51,3.306,1237.59
25,3.295,1134.0,5.92,3170.0,100.0,0.0,0.0,0.0,3.295,1243.62
26,3.296,1107.0,6.35,3170.0,100.0,0.0,0.0,0.0,3.296,1245.57
27,3.294,1125.0,5.63,3170.0,100.0,0.0,0.0,0.0,3.294,1245.49
28,3.283,1097.0,5.7,3171.0,100.0,0.0,0.0,0.0,3.283,1233.66
29,3.321,1120.0,5.81,3170.0,100.0,0.0,0.0,0.0,3.321,1243.62
30,3.31,1134.0,5.75,3170.0,100.0,0.0,0.0,0.0,3.31,1251.37
31,3.304,1135.0,5.71,3171.0,100.0,0.0,0.0,0.0,3.304,1242.91
32,3.293,1163.0,5.86,3170.0,100.0,0.0,0.0,0.0,3.293,1242.76
33,3.308,1113.0,6.64,3171.0,100.0,0.002,715.0,0.41,3.31,1239.97
34,3.322,1143.0,6.58,3170.0,100.0,0.0,0.0,0.0,3.322,1251.79
35,3.3,1132.0,6.03,3171.0,100.0,0.0,0.0,0.0,3.3,1242.08
36,3.28,1127.0,5.91,3172.0,100.0,0.0,0.0,0.0,3.28,1233.59
37,3.326,1137.0,6.14,3171.0,99.92,0.0,0.0,0.0,3.326,1241.15
38,3.305,1145.0,5.64,3171.0,100.0,0.0,0.0,0.0,3.305,1238.18
39,3.313,1102.0,5.86,3171.0,100.0,0.0,0.0,0.0,3.313,1242.13
40,3.308,1137.0,6.07,3170.0,100.0,0.0,0.0,0.0,3.308,1246.6
41,3.308,1123.0,5.97,3170.0,100.0,0.0,0.0,0.0,3.308,1246.01
42,3.314,1133.0,5.97,3171.0,100.0,0.0,0.0,0.0,3.314,1244.43
