Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.18,1062.0,20.0,1707.0,42.14,0.0,709.0,0.22,1.18,463.97
1,3.213,1083.0,15.71,3178.0,99.97,0.0,0.0,0.0,3.213,1149.86
2,3.268,1140.0,5.73,3173.0,100.0,0.0,0.0,0.0,3.268,1220.5
3,3.262,1154.0,5.68,3174.0,100.0,0.0,0.0,0.0,3.262,1209.16
4,3.298,1183.0,21.14,3174.0,99.59,0.0,0.0,0.0,3.298,1212.61
5,3.256,1136.0,5.91,3174.0,100.0,0.0,0.0,0.0,3.256,1211.72
6,3.262,1144.0,5.67,3173.0,100.0,0.0,0.0,0.0,3.262,1216.85
7,3.259,1154.0,5.7,3174.0,100.0,0.0,0.0,0.0,3.259,1208.36
8,3.29,1129.0,11.44,3173.0,100.0,0.0,0.0,0.0,3.29,1223.25
9,3.294,1149.0,6.67,3173.0,100.0,0.0,714.0,0.41,3.294,1215.42
10,3.271,1121.0,5.88,3173.0,100.0,0.0,0.0,0.0,3.271,1212.45
11,3.277,1148.0,5.79,3173.0,100.0,0.0,0.0,0.0,3.277,1223.91
12,3.286,1142.0,6.1,3173.0,100.0,0.0,0.0,0.0,3.286,1224.2
13,3.283,1139.0,6.48,3174.0,100.0,0.0,0.0,0.0,3.283,1215.26
14,3.295,1160.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.295,1217.22
15,3.29,1154.0,5.76,3173.0,100.0,0.0,0.0,0.0,3.29,1217.43
16,3.288,1149.0,5.78,3173.0,100.0,0.0,0.0,0.0,3.288,1227.34
17,3.269,1149.0,5.93,3174.0,100.0,0.0,0.0,0.0,3.269,1212.69
18,3.279,1154.0,6.02,3173.0,100.0,0.0,0.0,0.0,3.279,1217.09
19,3.283,1129.0,6.14,3173.0,100.0,0.0,0.0,0.0,3.283,1216.62
20,3.267,1124.0,5.8,3173.0,100.0,0.0,0.0,0.0,3.267,1212.97
21,3.278,1119.0,5.71,3173.0,100.0,0.0,0.0,0.0,3.278,1226.66
22,3.277,1156.0,5.77,3173.0,100.0,0.0,0.0,0.0,3.277,1219.92
23,3.275,1148.0,5.72,3173.0,100.0,0.0,0.0,0.0,3.275,1212.25
24,3.283,1144.0,6.81,3174.0,100.0,0.0,0.0,0.0,3.283,1219.19
25,3.277,1131.0,5.86,3174.0,100.0,0.0,0.0,0.0,3.277,1212.76
26,3.278,1153.0,5.69,3174.0,100.0,0.0,0.0,0.0,3.278,1213.29
27,3.272,1157.0,6.91,3173.0,100.0,0.001,716.0,0.61,3.273,1225.05
28,3.249,1116.0,5.91,3174.0,100.0,0.0,0.0,0.0,3.249,1210.18
29,3.299,1153.0,8.24,3174.0,99.79,0.0,0.0,0.0,3.299,1211.15
30,3.283,1141.0,5.75,3174.0,100.0,0.0,0.0,0.0,3.283,1204.35
31,3.277,1137.0,5.54,3174.0,100.0,0.0,0.0,0.0,3.277,1219.41
32,3.294,1122.0,6.26,3174.0,100.0,0.0,0.0,0.0,3.294,1201.91
33,3.292,1131.0,6.32,3174.0,99.83,0.0,0.0,0.0,3.292,1220.0
34,3.292,1112.0,5.65,3173.0,100.0,0.0,0.0,0.0,3.292,1217.58
35,3.28,1133.0,6.25,3174.0,100.0,0.0,0.0,0.0,3.28,1206.03
36,3.267,1135.0,5.69,3175.0,100.0,0.0,0.0,0.0,3.267,1202.23
37,3.262,1122.0,5.76,3174.0,100.0,0.0,0.0,0.0,3.262,1209.89
38,3.312,1120.0,10.77,3174.0,100.0,0.0,0.0,0.0,3.312,1215.2
39,3.291,1129.0,7.24,3174.0,100.0,0.0,0.0,0.0,3.291,1210.23
40,3.294,1156.0,6.16,3173.0,100.0,0.0,0.0,0.0,3.294,1218.72
41,3.279,1127.0,5.94,3174.0,100.0,0.0,0.0,0.0,3.279,1211.57
42,3.292,1111.0,5.79,3174.0,100.0,0.0,0.0,0.0,3.292,1201.69
