Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.188,1051.0,14.38,1661.0,42.9,0.0,0.0,0.0,1.188,447.33
1,3.154,1108.0,20.83,3182.0,99.93,0.004,713.0,0.73,3.158,1114.97
2,3.212,1109.0,12.93,3178.0,100.0,0.0,0.0,0.0,3.212,1161.96
3,3.189,1137.0,12.88,3178.0,100.0,0.0,0.0,0.0,3.189,1157.08
4,3.213,1152.0,13.01,3179.0,100.0,0.0,0.0,0.0,3.213,1159.15
5,3.406,1292.0,80.15,3178.0,100.0,0.0,0.0,0.0,3.406,1156.88
6,3.233,1139.0,16.01,3178.0,100.0,0.0,0.0,0.0,3.233,1158.45
7,3.23,1141.0,14.57,3178.0,100.0,0.0,0.0,0.0,3.23,1159.89
8,3.212,1121.0,12.78,3178.0,100.0,0.0,0.0,0.0,3.212,1162.81
9,3.189,1130.0,13.74,3179.0,100.0,0.0,713.0,0.53,3.189,1160.26
10,3.208,1105.0,12.63,3179.0,100.0,0.0,0.0,0.0,3.208,1152.76
11,3.213,1133.0,13.13,3178.0,100.0,0.0,0.0,0.0,3.213,1163.89
12,3.22,1151.0,12.68,3179.0,100.0,0.0,0.0,0.0,3.22,1160.95
13,3.197,1121.0,14.02,3179.0,100.0,0.001,714.0,0.41,3.198,1156.3
14,3.253,1162.0,16.29,3178.0,100.0,0.0,709.0,0.43,3.253,1165.52
15,3.235,1118.0,12.57,3178.0,100.0,0.0,0.0,0.0,3.235,1159.74
16,3.208,1118.0,13.38,3179.0,100.0,0.0,0.0,0.0,3.208,1152.4
17,3.219,1128.0,12.65,3178.0,100.0,0.0,0.0,0.0,3.219,1160.25
18,3.196,1092.0,7.6,3178.0,100.0,0.0,0.0,0.0,3.196,1166.61
19,3.228,1139.0,13.43,3178.0,100.0,0.0,0.0,0.0,3.228,1159.59
20,3.223,1126.0,13.48,3178.0,100.0,0.0,0.0,0.0,3.223,1161.15
21,3.234,1146.0,20.71,3179.0,100.0,0.0,0.0,0.0,3.234,1158.57
22,3.242,1138.0,23.16,3178.0,100.0,0.0,0.0,0.0,3.242,1162.0
23,3.228,1131.0,15.25,3178.0,100.0,0.0,713.0,0.63,3.228,1150.22
24,3.24,1136.0,16.4,3178.0,100.0,0.001,712.0,0.32,3.241,1169.41
25,3.218,1131.0,17.22,3178.0,100.0,0.0,0.0,0.0,3.218,1161.47
26,3.215,1124.0,18.2,3179.0,100.0,0.0,0.0,0.0,3.215,1155.58
27,3.218,1143.0,16.67,3179.0,100.0,0.0,714.0,0.41,3.218,1155.73
28,3.225,1140.0,15.81,3178.0,100.0,0.0,0.0,0.0,3.225,1163.83
