Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.17,1051.0,19.99,1650.0,40.4,0.001,709.0,0.22,1.171,457.29
1,3.146,1013.0,6.6,3180.0,99.96,0.0,709.0,0.22,3.146,1137.25
2,3.244,1070.0,5.93,3175.0,100.0,0.0,0.0,0.0,3.244,1190.94
3,3.243,1132.0,5.82,3175.0,100.0,0.0,0.0,0.0,3.243,1191.98
4,3.228,1137.0,5.77,3176.0,100.0,0.0,0.0,0.0,3.228,1191.6
5,3.221,1099.0,5.77,3175.0,100.0,0.0,0.0,0.0,3.221,1189.96
6,3.22,1118.0,5.62,3176.0,100.0,0.0,0.0,0.0,3.22,1194.6
7,3.243,1116.0,7.07,3175.0,100.0,0.0,0.0,0.0,3.243,1184.56
8,3.235,1120.0,5.82,3175.0,100.0,0.0,0.0,0.0,3.235,1197.0
9,3.222,1111.0,6.72,3175.0,100.0,0.0,714.0,0.41,3.222,1189.79
10,3.224,1133.0,5.93,3176.0,100.0,0.0,0.0,0.0,3.224,1187.34
11,3.231,1101.0,5.79,3175.0,100.0,0.0,0.0,0.0,3.231,1194.15
12,3.399,1206.0,72.81,3171.0,100.0,0.001,711.0,0.75,3.405,1195.38
13,3.273,1111.0,6.22,3175.0,100.0,0.0,0.0,0.0,3.273,1195.28
14,3.272,1130.0,7.59,3175.0,100.0,0.0,709.0,0.22,3.272,1192.03
15,3.272,1132.0,6.83,3175.0,100.0,0.0,714.0,0.41,3.272,1190.06
16,3.232,1099.0,5.71,3176.0,100.0,0.0,0.0,0.0,3.232,1192.41
17,3.233,1112.0,6.15,3175.0,100.0,0.0,0.0,0.0,3.233,1193.01
18,3.236,1124.0,5.86,3175.0,100.0,0.0,0.0,0.0,3.236,1200.34
19,3.233,1155.0,5.84,3175.0,100.0,0.0,0.0,0.0,3.233,1198.84
20,3.228,1122.0,5.69,3175.0,100.0,0.0,0.0,0.0,3.228,1196.12
21,3.221,1138.0,5.74,3176.0,100.0,0.0,0.0,0.0,3.221,1186.02
22,3.235,1111.0,6.21,3175.0,100.0,0.0,0.0,0.0,3.235,1195.58
23,3.239,1117.0,6.29,3175.0,100.0,0.0,0.0,0.0,3.239,1202.01
24,3.24,1127.0,5.78,3175.0,100.0,0.0,0.0,0.0,3.24,1193.07
25,3.243,1156.0,5.82,3175.0,100.0,0.0,0.0,0.0,3.243,1199.27
26,3.247,1108.0,9.67,3176.0,100.0,0.0,0.0,0.0,3.247,1183.04
27,3.293,1110.0,7.42,3175.0,100.0,0.0,0.0,0.0,3.293,1199.86
28,3.27,1102.0,5.93,3175.0,100.0,0.0,0.0,0.0,3.27,1193.7
29,3.397,1186.0,63.59,3171.0,100.0,0.002,712.0,1.16,3.403,1183.35
30,3.264,1102.0,6.41,3175.0,100.0,0.0,709.0,0.22,3.264,1191.28
31,3.284,1099.0,7.06,3175.0,100.0,0.0,712.0,0.32,3.284,1195.58
32,3.284,1097.0,5.9,3176.0,100.0,0.0,0.0,0.0,3.284,1195.5
33,3.27,1138.0,5.74,3175.0,100.0,0.0,0.0,0.0,3.27,1193.95
34,3.256,1093.0,5.8,3175.0,100.0,0.0,0.0,0.0,3.256,1187.87
35,3.24,1108.0,5.84,3175.0,100.0,0.0,0.0,0.0,3.24,1196.28
36,3.245,1104.0,5.6,3175.0,100.0,0.0,0.0,0.0,3.245,1193.89
37,3.257,1160.0,5.99,3175.0,100.0,0.0,0.0,0.0,3.257,1198.61
38,3.253,1117.0,5.81,3175.0,100.0,0.0,0.0,0.0,3.253,1196.47
39,3.254,1125.0,6.05,3176.0,100.0,0.0,0.0,0.0,3.254,1183.13
40,3.263,1129.0,5.92,3175.0,100.0,0.0,0.0,0.0,3.263,1202.17
41,3.255,1096.0,5.58,3176.0,100.0,0.0,0.0,0.0,3.255,1183.6
42,3.275,1124.0,6.41,3176.0,100.0,0.0,0.0,0.0,3.275,1191.51
43,3.263,1115.0,5.58,3176.0,100.0,0.0,0.0,0.0,3.263,1193.05
44,3.26,1116.0,5.59,3176.0,100.0,0.0,0.0,0.0,3.26,1184.66
45,3.25,1095.0,5.7,3176.0,100.0,0.0,0.0,0.0,3.25,1198.74
46,3.266,1123.0,13.1,3175.0,100.0,0.0,712.0,0.32,3.266,1188.89
47,3.252,1071.0,6.16,3175.0,100.0,0.0,0.0,0.0,3.252,1196.95
48,3.238,1139.0,5.78,3176.0,100.0,0.0,0.0,0.0,3.238,1187.73
49,3.235,1126.0,5.79,3176.0,100.0,0.0,0.0,0.0,3.235,1186.39
50,3.238,1110.0,5.72,3175.0,100.0,0.0,0.0,0.0,3.238,1199.06
51,3.223,1079.0,5.59,3176.0,100.0,0.0,0.0,0.0,3.223,1179.88
52,3.269,1115.0,5.9,3176.0,100.0,0.0,0.0,0.0,3.269,1193.82
53,3.258,1099.0,5.48,3176.0,100.0,0.0,0.0,0.0,3.258,1182.84
54,3.241,1101.0,6.52,3176.0,99.65,0.0,0.0,0.0,3.241,1195.05
55,3.27,1125.0,6.22,3177.0,99.81,0.0,0.0,0.0,3.27,1179.08
56,3.282,1128.0,10.24,3176.0,100.0,0.0,0.0,0.0,3.282,1193.42
57,3.271,1118.0,6.28,3175.0,100.0,0.0,0.0,0.0,3.271,1197.39
58,3.263,1105.0,5.62,3175.0,100.0,0.0,0.0,0.0,3.263,1192.04
59,3.264,1115.0,5.68,3176.0,100.0,0.0,0.0,0.0,3.264,1185.54
60,3.259,1126.0,5.72,3175.0,100.0,0.0,0.0,0.0,3.259,1198.04
61,3.267,1152.0,5.92,3175.0,100.0,0.0,0.0,0.0,3.267,1189.85
62,3.287,1097.0,5.94,3175.0,100.0,0.0,0.0,0.0,3.287,1201.05
63,3.265,1136.0,5.66,3175.0,100.0,0.0,0.0,0.0,3.265,1191.27
64,3.255,1147.0,5.63,3175.0,100.0,0.0,0.0,0.0,3.255,1192.55
65,3.26,1157.0,5.7,3175.0,100.0,0.0,0.0,0.0,3.26,1197.69
66,3.247,1106.0,5.88,3176.0,100.0,0.0,0.0,0.0,3.247,1186.39
67,3.264,1124.0,5.72,3176.0,100.0,0.0,0.0,0.0,3.264,1186.73
68,3.251,1123.0,5.66,3176.0,100.0,0.0,0.0,0.0,3.251,1191.63
69,3.266,1096.0,5.61,3174.0,100.0,0.0,0.0,0.0,3.266,1202.25
70,3.252,1097.0,5.68,3176.0,100.0,0.0,0.0,0.0,3.252,1190.39
71,3.259,1074.0,6.37,3176.0,100.0,0.0,0.0,0.0,3.259,1187.47
72,3.272,1086.0,6.0,3175.0,100.0,0.0,0.0,0.0,3.272,1191.5
73,3.273,1133.0,5.63,3175.0,100.0,0.0,0.0,0.0,3.273,1186.49
74,3.266,1135.0,6.88,3176.0,99.74,0.0,0.0,0.0,3.266,1193.6
75,3.23,1100.0,6.63,3176.0,100.0,0.0,714.0,0.41,3.23,1187.67
76,3.259,1122.0,7.08,3176.0,100.0,0.0,0.0,0.0,3.259,1187.64
77,3.262,1107.0,5.98,3175.0,100.0,0.0,0.0,0.0,3.262,1189.52
78,3.264,1116.0,5.51,3175.0,100.0,0.0,0.0,0.0,3.264,1195.57
79,3.256,1104.0,5.65,3175.0,100.0,0.0,0.0,0.0,3.256,1195.67
80,3.248,1081.0,5.67,3175.0,100.0,0.0,0.0,0.0,3.248,1194.41
81,3.25,1096.0,5.86,3176.0,100.0,0.0,0.0,0.0,3.25,1190.26
82,3.266,1136.0,5.65,3175.0,100.0,0.0,0.0,0.0,3.266,1190.39
83,3.253,1072.0,5.81,3175.0,100.0,0.0,0.0,0.0,3.253,1194.76
84,3.257,1102.0,5.66,3175.0,100.0,0.0,0.0,0.0,3.257,1198.31
85,3.253,1104.0,5.73,3175.0,100.0,0.0,0.0,0.0,3.253,1196.97
86,3.296,1146.0,11.48,3176.0,99.82,0.0,0.0,0.0,3.296,1188.18
87,3.293,1113.0,5.88,3176.0,100.0,0.0,0.0,0.0,3.293,1186.64
88,3.309,1107.0,7.49,3175.0,100.0,0.0,0.0,0.0,3.309,1199.33
89,3.288,1101.0,5.8,3175.0,100.0,0.0,0.0,0.0,3.288,1181.22
90,3.262,1119.0,6.1,3175.0,100.0,0.0,0.0,0.0,3.262,1201.86
91,3.336,1099.0,10.85,3173.0,100.0,0.0,0.0,0.0,3.336,1188.17
92,3.287,1131.0,6.73,3175.0,100.0,0.0,712.0,0.32,3.287,1197.94
93,3.267,1114.0,5.57,3176.0,100.0,0.0,0.0,0.0,3.267,1183.37
94,3.263,1158.0,5.81,3176.0,100.0,0.0,0.0,0.0,3.263,1192.09
95,3.258,1087.0,5.54,3176.0,100.0,0.0,0.0,0.0,3.258,1193.77
96,3.276,1097.0,5.76,3175.0,100.0,0.0,0.0,0.0,3.276,1196.18
97,3.548,1138.0,8.23,3170.0,100.0,0.0,0.0,0.0,3.548,1184.36
98,3.289,1095.0,5.69,3176.0,100.0,0.0,0.0,0.0,3.289,1194.16
99,3.282,1105.0,6.22,3175.0,100.0,0.0,0.0,0.0,3.282,1185.14
100,3.267,1124.0,5.78,3176.0,100.0,0.0,0.0,0.0,3.267,1193.61
101,3.269,1129.0,5.89,3175.0,100.0,0.0,0.0,0.0,3.269,1189.03
102,3.269,1142.0,5.92,3176.0,100.0,0.0,0.0,0.0,3.269,1190.23
103,3.276,1141.0,5.57,3176.0,100.0,0.0,0.0,0.0,3.276,1196.84
104,3.274,1120.0,6.34,3175.0,100.0,0.0,0.0,0.0,3.274,1193.9
105,3.27,1096.0,5.82,3175.0,100.0,0.0,0.0,0.0,3.27,1192.89
106,3.281,1115.0,6.13,3175.0,100.0,0.0,0.0,0.0,3.281,1191.36
107,3.262,1133.0,6.72,3175.0,100.0,0.0,0.0,0.0,3.262,1199.82
108,3.311,1124.0,14.94,3175.0,100.0,0.0,0.0,0.0,3.311,1189.15
109,3.287,1111.0,5.71,3176.0,100.0,0.0,0.0,0.0,3.287,1183.0
110,3.286,1109.0,6.43,3175.0,100.0,0.0,0.0,0.0,3.286,1191.95
111,3.297,1097.0,5.83,3175.0,100.0,0.0,0.0,0.0,3.297,1192.54
112,3.266,1109.0,5.89,3176.0,100.0,0.0,0.0,0.0,3.266,1185.89
