Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.295,1103.0,35.59,1722.0,43.05,0.0,0.0,0.0,1.295,502.72
1,3.159,1024.0,7.62,3178.0,99.96,0.002,714.0,0.41,3.161,1163.25
2,3.252,1130.0,11.19,3175.0,100.0,0.0,0.0,0.0,3.252,1201.11
3,3.243,1188.0,12.62,3176.0,99.48,0.0,0.0,0.0,3.243,1192.44
4,3.249,1188.0,12.03,3175.0,100.0,0.0,0.0,0.0,3.249,1196.4
5,3.252,1150.0,12.02,3175.0,100.0,0.0,0.0,0.0,3.252,1196.41
6,3.249,1184.0,11.99,3175.0,100.0,0.0,0.0,0.0,3.249,1194.02
7,3.243,1143.0,11.84,3175.0,100.0,0.0,0.0,0.0,3.243,1197.82
8,3.245,1165.0,11.93,3175.0,100.0,0.0,0.0,0.0,3.245,1200.08
9,3.244,1163.0,14.21,3176.0,100.0,0.0,712.0,0.31,3.244,1188.77
10,3.292,1194.0,23.74,3175.0,100.0,0.0,0.0,0.0,3.292,1204.28
11,3.257,1149.0,12.21,3176.0,100.0,0.0,0.0,0.0,3.257,1198.44
12,3.248,1158.0,11.73,3176.0,100.0,0.0,0.0,0.0,3.248,1191.68
13,3.259,1169.0,11.55,3175.0,100.0,0.0,0.0,0.0,3.259,1200.74
14,3.253,1151.0,11.73,3176.0,100.0,0.0,0.0,0.0,3.253,1193.69
15,3.256,1174.0,11.91,3176.0,100.0,0.0,0.0,0.0,3.256,1190.29
16,3.266,1174.0,13.4,3175.0,100.0,0.001,713.0,0.53,3.267,1203.96
17,3.238,1203.0,11.9,3176.0,100.0,0.0,0.0,0.0,3.238,1193.48
18,3.269,1159.0,11.74,3175.0,100.0,0.0,0.0,0.0,3.269,1191.16
19,3.262,1152.0,10.63,3175.0,100.0,0.0,0.0,0.0,3.262,1203.16
20,3.256,1139.0,7.49,3175.0,100.0,0.0,0.0,0.0,3.256,1196.71
21,3.267,1178.0,11.66,3176.0,100.0,0.0,0.0,0.0,3.267,1195.64
22,3.261,1168.0,11.72,3176.0,100.0,0.0,0.0,0.0,3.261,1198.21
23,3.26,1158.0,11.95,3175.0,100.0,0.0,0.0,0.0,3.26,1196.24
24,3.25,1179.0,12.26,3176.0,100.0,0.0,0.0,0.0,3.25,1190.01
25,3.268,1193.0,11.98,3175.0,100.0,0.0,0.0,0.0,3.268,1194.84
26,3.263,1167.0,11.86,3176.0,100.0,0.0,0.0,0.0,3.263,1194.31
27,3.257,1178.0,11.78,3175.0,100.0,0.0,0.0,0.0,3.257,1197.57
28,3.258,1140.0,12.41,3175.0,100.0,0.0,0.0,0.0,3.258,1200.62
29,3.276,1151.0,11.63,3175.0,100.0,0.0,0.0,0.0,3.276,1200.28
30,3.257,1170.0,12.34,3175.0,100.0,0.0,0.0,0.0,3.257,1196.65
31,3.27,1144.0,11.63,3175.0,100.0,0.0,0.0,0.0,3.27,1200.46
32,3.261,1175.0,11.66,3175.0,100.0,0.0,0.0,0.0,3.261,1194.93
33,3.262,1139.0,11.77,3175.0,100.0,0.0,0.0,0.0,3.262,1196.37
34,3.262,1167.0,11.82,3175.0,100.0,0.0,0.0,0.0,3.262,1193.32
35,3.275,1171.0,12.11,3175.0,100.0,0.0,0.0,0.0,3.275,1197.87
36,3.268,1166.0,11.71,3175.0,100.0,0.0,0.0,0.0,3.268,1199.7
37,3.264,1188.0,11.85,3175.0,100.0,0.0,0.0,0.0,3.264,1196.01
38,3.253,1140.0,8.94,3176.0,100.0,0.0,0.0,0.0,3.253,1192.38
39,3.273,1132.0,22.44,3176.0,100.0,0.0,0.0,0.0,3.273,1189.47
40,3.272,1153.0,12.03,3175.0,100.0,0.0,0.0,0.0,3.272,1199.42
41,3.257,1171.0,11.73,3175.0,100.0,0.0,0.0,0.0,3.257,1190.2
42,3.266,1179.0,11.88,3175.0,100.0,0.0,0.0,0.0,3.266,1201.86
43,3.265,1165.0,11.69,3175.0,100.0,0.0,0.0,0.0,3.265,1195.08
44,3.269,1150.0,11.68,3175.0,100.0,0.0,0.0,0.0,3.269,1199.33
45,3.264,1145.0,11.94,3176.0,100.0,0.0,0.0,0.0,3.264,1184.62
46,3.27,1146.0,11.93,3175.0,100.0,0.0,0.0,0.0,3.27,1201.8
47,3.274,1144.0,11.85,3175.0,100.0,0.0,0.0,0.0,3.274,1197.78
48,3.268,1163.0,11.72,3176.0,100.0,0.0,0.0,0.0,3.268,1187.22
49,3.264,1185.0,11.63,3175.0,100.0,0.0,0.0,0.0,3.264,1202.63
50,3.278,1166.0,12.71,3175.0,100.0,0.0,0.0,0.0,3.278,1201.95
51,3.267,1165.0,11.59,3175.0,100.0,0.0,0.0,0.0,3.267,1195.84
52,3.266,1146.0,11.63,3175.0,100.0,0.0,0.0,0.0,3.266,1197.24
53,3.276,1177.0,11.6,3175.0,100.0,0.0,0.0,0.0,3.276,1197.26
54,3.276,1158.0,11.93,3175.0,100.0,0.0,0.0,0.0,3.276,1197.71
55,3.281,1180.0,12.19,3175.0,100.0,0.0,0.0,0.0,3.281,1196.94
56,3.263,1166.0,11.69,3175.0,100.0,0.0,0.0,0.0,3.263,1195.72
57,3.245,1115.0,6.37,3175.0,100.0,0.0,0.0,0.0,3.245,1197.49
58,3.269,1153.0,10.84,3175.0,100.0,0.0,0.0,0.0,3.269,1202.05
59,3.273,1148.0,12.08,3175.0,100.0,0.0,0.0,0.0,3.273,1194.2
60,3.279,1159.0,11.93,3176.0,100.0,0.0,0.0,0.0,3.279,1193.62
61,3.265,1153.0,11.69,3176.0,100.0,0.0,0.0,0.0,3.265,1197.1
62,3.27,1179.0,11.71,3176.0,100.0,0.0,0.0,0.0,3.27,1189.05
63,3.264,1160.0,12.08,3176.0,99.51,0.0,0.0,0.0,3.264,1194.51
64,3.279,1160.0,11.95,3175.0,100.0,0.0,0.0,0.0,3.279,1201.43
65,3.27,1143.0,12.28,3175.0,100.0,0.0,0.0,0.0,3.27,1190.27
66,3.273,1154.0,12.22,3175.0,100.0,0.0,0.0,0.0,3.273,1201.35
67,3.276,1157.0,11.99,3176.0,100.0,0.0,0.0,0.0,3.276,1185.2
68,3.266,1183.0,11.91,3175.0,100.0,0.0,0.0,0.0,3.266,1198.05
69,3.299,1151.0,25.49,3175.0,100.0,0.0,0.0,0.0,3.299,1194.85
70,3.291,1147.0,11.64,3175.0,100.0,0.0,0.0,0.0,3.291,1203.79
71,3.277,1139.0,11.88,3175.0,100.0,0.0,0.0,0.0,3.277,1199.82
72,3.27,1156.0,11.82,3176.0,100.0,0.0,0.0,0.0,3.27,1189.88
73,3.287,1155.0,11.57,3175.0,100.0,0.0,0.0,0.0,3.287,1194.7
74,3.272,1165.0,11.76,3176.0,100.0,0.0,0.0,0.0,3.272,1194.56
75,3.268,1146.0,11.76,3175.0,100.0,0.0,0.0,0.0,3.268,1198.5
76,3.273,1116.0,7.56,3175.0,100.0,0.001,715.0,0.51,3.274,1198.99
77,3.277,1149.0,11.07,3176.0,100.0,0.0,0.0,0.0,3.277,1193.55
78,3.262,1163.0,11.93,3176.0,100.0,0.0,0.0,0.0,3.262,1192.51
79,3.278,1177.0,12.0,3175.0,100.0,0.0,0.0,0.0,3.278,1203.03
80,3.275,1159.0,11.86,3175.0,100.0,0.0,0.0,0.0,3.275,1197.83
81,3.27,1154.0,11.6,3176.0,100.0,0.0,0.0,0.0,3.27,1190.66
82,3.267,1161.0,11.6,3176.0,100.0,0.0,0.0,0.0,3.267,1189.43
83,3.283,1170.0,12.42,3176.0,100.0,0.0,0.0,0.0,3.283,1198.41
84,3.284,1162.0,11.84,3175.0,100.0,0.0,0.0,0.0,3.284,1200.07
85,3.275,1155.0,11.91,3175.0,100.0,0.0,0.0,0.0,3.275,1192.82
86,3.281,1144.0,11.44,3175.0,100.0,0.0,0.0,0.0,3.281,1202.67
87,3.276,1153.0,11.52,3175.0,100.0,0.0,0.0,0.0,3.276,1200.9
88,3.28,1162.0,13.05,3176.0,100.0,0.0,0.0,0.0,3.28,1194.31
89,3.276,1147.0,11.65,3176.0,100.0,0.0,0.0,0.0,3.276,1183.75
90,3.268,1154.0,11.94,3175.0,100.0,0.0,0.0,0.0,3.268,1197.73
91,3.279,1155.0,11.8,3175.0,100.0,0.0,0.0,0.0,3.279,1200.25
92,3.277,1171.0,11.79,3176.0,100.0,0.0,0.0,0.0,3.277,1195.48
93,3.532,1210.0,13.84,3171.0,100.0,0.0,0.0,0.0,3.532,1182.31
94,3.311,1159.0,16.26,3175.0,100.0,0.0,0.0,0.0,3.311,1202.1
95,3.255,1109.0,6.38,3176.0,100.0,0.0,0.0,0.0,3.255,1193.98
96,3.278,1160.0,11.71,3175.0,100.0,0.0,0.0,0.0,3.278,1199.04
97,3.274,1156.0,11.71,3176.0,100.0,0.0,0.0,0.0,3.274,1187.31
98,3.294,1171.0,25.66,3175.0,100.0,0.0,0.0,0.0,3.294,1200.87
99,3.29,1182.0,11.9,3176.0,100.0,0.0,0.0,0.0,3.29,1190.43
100,3.291,1192.0,12.33,3176.0,100.0,0.0,0.0,0.0,3.291,1197.05
101,3.28,1153.0,11.55,3175.0,100.0,0.0,0.0,0.0,3.28,1202.24
102,3.284,1122.0,11.98,3176.0,100.0,0.0,0.0,0.0,3.284,1191.49
103,3.277,1157.0,11.77,3176.0,100.0,0.0,0.0,0.0,3.277,1193.98
104,3.292,1166.0,11.81,3175.0,100.0,0.0,0.0,0.0,3.292,1202.04
