Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.202,1059.0,20.01,1645.0,40.1,0.002,710.0,0.76,1.204,487.86
1,3.245,1026.0,6.92,3174.0,99.98,0.0,714.0,0.41,3.245,1187.18
2,3.3,1112.0,5.78,3171.0,100.0,0.0,0.0,0.0,3.3,1232.71
3,3.288,1155.0,6.45,3172.0,100.0,0.0,0.0,0.0,3.288,1233.57
4,3.278,1158.0,5.7,3173.0,100.0,0.0,0.0,0.0,3.278,1214.31
5,3.276,1166.0,5.81,3172.0,100.0,0.0,0.0,0.0,3.276,1232.26
6,3.268,1137.0,6.04,3172.0,100.0,0.0,0.0,0.0,3.268,1220.06
7,3.286,1155.0,6.04,3172.0,100.0,0.0,0.0,0.0,3.286,1222.38
8,3.276,1146.0,5.84,3173.0,100.0,0.0,0.0,0.0,3.276,1227.83
9,3.281,1164.0,6.31,3172.0,100.0,0.001,712.0,0.32,3.282,1231.04
10,3.272,1143.0,5.81,3173.0,100.0,0.0,0.0,0.0,3.272,1218.7
11,3.307,1162.0,11.15,3172.0,100.0,0.0,0.0,0.0,3.307,1223.74
12,3.303,1131.0,6.58,3171.0,100.0,0.0,0.0,0.0,3.303,1232.21
13,3.295,1169.0,6.08,3172.0,100.0,0.0,0.0,0.0,3.295,1220.71
14,3.287,1167.0,5.98,3172.0,100.0,0.0,0.0,0.0,3.287,1235.15
15,3.292,1137.0,6.59,3172.0,100.0,0.0,0.0,0.0,3.292,1223.33
16,3.342,1168.0,10.74,3170.0,100.0,0.0,0.0,0.0,3.342,1225.22
17,3.323,1142.0,7.8,3171.0,100.0,0.001,714.0,0.73,3.324,1239.57
18,3.308,1148.0,6.15,3172.0,100.0,0.001,709.0,0.22,3.309,1227.14
19,3.304,1154.0,6.33,3172.0,100.0,0.0,0.0,0.0,3.304,1232.42
