Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.202,1067.0,18.48,1641.0,40.04,0.001,710.0,0.22,1.203,493.29
1,3.252,1021.0,6.78,3173.0,99.96,0.0,709.0,0.22,3.252,1209.62
2,3.29,1094.0,5.88,3170.0,100.0,0.0,0.0,0.0,3.29,1231.71
3,3.325,1186.0,11.0,3170.0,100.0,0.0,0.0,0.0,3.325,1249.84
4,3.317,1159.0,6.0,3170.0,100.0,0.0,0.0,0.0,3.317,1251.92
5,3.302,1166.0,6.54,3170.0,100.0,0.0,0.0,0.0,3.302,1242.23
6,3.291,1163.0,5.97,3170.0,100.0,0.0,0.0,0.0,3.291,1243.68
7,3.312,1137.0,6.02,3170.0,100.0,0.0,0.0,0.0,3.312,1252.09
8,3.307,1155.0,6.38,3170.0,100.0,0.0,0.0,0.0,3.307,1252.22
9,3.296,1148.0,6.8,3171.0,100.0,0.0,714.0,0.41,3.296,1237.26
10,3.293,1151.0,6.11,3171.0,100.0,0.0,0.0,0.0,3.293,1244.77
11,3.29,1117.0,6.1,3171.0,100.0,0.0,0.0,0.0,3.29,1240.8
12,3.295,1151.0,6.43,3171.0,100.0,0.0,0.0,0.0,3.295,1242.27
13,3.299,1143.0,6.11,3170.0,100.0,0.0,0.0,0.0,3.299,1239.93
14,3.327,1143.0,7.35,3171.0,100.0,0.001,712.0,0.32,3.328,1244.53
15,3.318,1144.0,6.12,3171.0,100.0,0.0,0.0,0.0,3.318,1245.14
16,3.306,1139.0,6.58,3170.0,100.0,0.0,0.0,0.0,3.306,1243.58
17,3.297,1154.0,6.04,3171.0,100.0,0.0,0.0,0.0,3.297,1239.62
18,3.305,1142.0,6.28,3170.0,100.0,0.0,0.0,0.0,3.305,1240.76
19,3.313,1160.0,5.98,3170.0,100.0,0.0,0.0,0.0,3.313,1256.84
20,3.323,1178.0,6.02,3169.0,100.0,0.0,0.0,0.0,3.323,1249.3
21,3.308,1167.0,6.08,3170.0,100.0,0.0,0.0,0.0,3.308,1248.68
22,3.298,1157.0,7.44,3171.0,100.0,0.0,715.0,0.51,3.298,1234.45
23,3.303,1146.0,6.12,3170.0,100.0,0.0,0.0,0.0,3.303,1251.09
24,3.304,1133.0,6.21,3170.0,100.0,0.0,0.0,0.0,3.304,1242.6
25,3.302,1163.0,5.81,3170.0,100.0,0.0,0.0,0.0,3.302,1251.41
26,3.309,1158.0,6.62,3170.0,99.54,0.0,0.0,0.0,3.309,1252.87
27,3.318,1149.0,5.97,3170.0,100.0,0.0,0.0,0.0,3.318,1240.3
28,3.324,1130.0,5.98,3170.0,100.0,0.0,0.0,0.0,3.324,1247.36
29,3.321,1134.0,6.66,3170.0,100.0,0.0,0.0,0.0,3.321,1236.98
30,3.305,1161.0,5.85,3170.0,100.0,0.0,0.0,0.0,3.305,1251.71
31,3.311,1142.0,6.52,3171.0,99.54,0.0,0.0,0.0,3.311,1236.24
32,3.307,1127.0,6.37,3171.0,100.0,0.0,0.0,0.0,3.307,1245.2
33,3.344,1117.0,10.56,3171.0,100.0,0.0,0.0,0.0,3.344,1238.3
34,3.313,1149.0,7.01,3170.0,100.0,0.0,0.0,0.0,3.313,1251.81
35,3.323,1130.0,6.34,3170.0,100.0,0.0,0.0,0.0,3.323,1245.7
36,3.307,1152.0,6.34,3171.0,100.0,0.0,0.0,0.0,3.307,1238.32
37,3.312,1109.0,5.9,3170.0,100.0,0.0,0.0,0.0,3.312,1242.19
38,3.312,1129.0,5.86,3170.0,100.0,0.0,0.0,0.0,3.312,1245.58
39,3.309,1159.0,6.42,3170.0,100.0,0.0,0.0,0.0,3.309,1243.77
40,3.295,1123.0,5.94,3171.0,100.0,0.0,0.0,0.0,3.295,1242.65
41,3.298,1159.0,5.83,3170.0,100.0,0.0,0.0,0.0,3.298,1249.39
42,3.307,1116.0,6.15,3171.0,100.0,0.0,0.0,0.0,3.307,1239.76
