Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.217,1046.0,100.0,624.0,1.0,0.0,704.0,0.22,0.217
1,0.225,1082.0,100.0,610.0,1.29,0.0,0.0,0.0,0.225
2,0.212,1062.0,100.0,609.0,1.28,0.001,709.0,0.32,0.213
3,0.209,1055.0,100.0,610.0,1.42,0.0,0.0,0.0,0.209
4,0.207,1054.0,100.0,609.0,1.11,0.0,0.0,0.0,0.207
5,0.204,1054.0,100.0,609.0,1.22,0.0,0.0,0.0,0.204
6,0.207,1053.0,100.0,609.0,1.11,0.0,0.0,0.0,0.207
7,0.203,1057.0,100.0,609.0,1.19,0.0,0.0,0.0,0.203
8,0.208,1057.0,100.0,609.0,1.41,0.0,705.0,0.22,0.208
9,0.211,1060.0,100.0,610.0,1.15,0.001,704.0,0.65,0.212
10,0.218,1078.0,100.0,608.0,1.09,0.0,720.0,0.21,0.218
11,0.27,1056.0,100.0,609.0,1.26,0.0,709.0,0.32,0.27
12,0.208,1056.0,100.0,608.0,1.16,0.0,0.0,0.0,0.208
13,0.205,1051.0,100.0,607.0,1.28,0.0,0.0,0.0,0.205
14,0.209,1057.0,100.0,608.0,1.26,0.0,0.0,0.0,0.209
15,0.211,1057.0,100.0,608.0,1.17,0.0,0.0,0.0,0.211
16,0.208,1055.0,100.0,609.0,1.34,0.0,0.0,0.0,0.208
17,0.2,1046.0,100.0,608.0,1.26,0.0,0.0,0.0,0.2
18,0.171,996.0,100.0,609.0,1.21,0.0,0.0,0.0,0.171
19,0.2,1044.0,100.0,609.0,1.34,0.0,0.0,0.0,0.2
20,0.229,1096.0,100.0,608.0,1.36,0.001,710.0,0.63,0.23
21,0.203,1052.0,100.0,608.0,1.23,0.0,0.0,0.0,0.203
22,0.218,1085.0,100.0,610.0,1.38,0.003,709.0,0.63,0.221
23,0.203,1057.0,100.0,609.0,1.12,0.0,0.0,0.0,0.203
24,0.217,1087.0,100.0,619.0,1.58,0.0,0.0,0.0,0.217
25,0.202,1056.0,100.0,608.0,1.29,0.0,0.0,0.0,0.202
26,0.23,1086.0,100.0,608.0,1.23,0.001,708.0,0.53,0.231
27,0.206,1055.0,100.0,610.0,1.3,0.0,705.0,0.44,0.206
28,0.148,1083.0,100.0,608.0,1.43,0.0,0.0,0.0,0.148
29,0.123,1049.0,100.0,610.0,1.53,0.0,0.0,0.0,0.123
30,0.132,1051.0,100.0,611.0,1.14,0.0,0.0,0.0,0.132
31,0.123,1044.0,100.0,608.0,1.2,0.0,0.0,0.0,0.123
32,0.12,1057.0,100.0,609.0,1.35,0.0,0.0,0.0,0.12
33,0.121,1055.0,100.0,608.0,1.19,0.0,0.0,0.0,0.121
34,0.122,1055.0,100.0,609.0,1.33,0.0,0.0,0.0,0.122
35,0.113,1025.0,100.0,608.0,1.19,0.0,0.0,0.0,0.113
36,0.103,1009.0,100.0,610.0,1.37,0.0,0.0,0.0,0.103
37,0.123,1059.0,100.0,611.0,1.18,0.0,0.0,0.0,0.123
38,0.121,1055.0,100.0,608.0,1.15,0.0,0.0,0.0,0.121
39,0.122,1062.0,100.0,610.0,1.38,0.0,0.0,0.0,0.122
40,0.121,1051.0,100.0,611.0,1.36,0.0,0.0,0.0,0.121
41,0.121,1051.0,100.0,611.0,1.08,0.0,0.0,0.0,0.121
42,0.121,1058.0,100.0,609.0,1.27,0.0,0.0,0.0,0.121
43,0.12,1050.0,100.0,609.0,1.36,0.0,0.0,0.0,0.12
44,0.189,1053.0,100.0,610.0,1.22,0.0,0.0,0.0,0.189
45,0.199,1050.0,100.0,609.0,1.2,0.0,0.0,0.0,0.199
46,0.212,1074.0,100.0,608.0,1.11,0.0,0.0,0.0,0.212
47,0.297,1084.0,100.0,635.0,2.0,0.0,708.0,0.54,0.297
48,0.337,1227.0,100.0,609.0,1.26,0.0,0.0,0.0,0.337
49,0.147,1056.0,100.0,608.0,1.18,0.0,710.0,0.32,0.147
50,0.126,1058.0,100.0,609.0,1.23,0.0,713.0,0.52,0.126
51,0.124,1059.0,100.0,608.0,1.18,0.0,0.0,0.0,0.124
52,0.123,1043.0,100.0,609.0,1.38,0.0,0.0,0.0,0.123
53,0.115,1028.0,100.0,608.0,1.07,0.0,0.0,0.0,0.115
54,0.104,1005.0,100.0,609.0,1.16,0.0,0.0,0.0,0.104
55,0.2,1141.0,100.0,611.0,1.1,0.0,712.0,0.41,0.2
56,0.127,1056.0,100.0,608.0,1.16,0.0,0.0,0.0,0.127
57,0.122,1054.0,100.0,608.0,1.1,0.0,709.0,0.32,0.122
58,0.12,1057.0,100.0,608.0,0.99,0.0,0.0,0.0,0.12
59,0.127,1059.0,100.0,607.0,1.21,0.0,0.0,0.0,0.127
60,0.164,1043.0,100.0,607.0,0.99,0.0,0.0,0.0,0.164
61,0.141,1050.0,100.0,607.0,1.05,0.0,0.0,0.0,0.141
62,0.123,1051.0,100.0,610.0,1.47,0.0,704.0,0.22,0.123
63,0.118,1049.0,100.0,609.0,1.37,0.0,0.0,0.0,0.118
