Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
79,0.03,1058.0,13.3,617.0,1.79,0.0,0.0,0.0,0.03
80,0.031,1055.0,14.08,617.0,1.59,0.0,0.0,0.0,0.031
81,0.052,1116.0,23.15,611.0,1.07,0.0,707.0,0.66,0.052
82,0.03,1056.0,15.88,608.0,1.35,0.0,0.0,0.0,0.03
83,0.048,1065.0,24.15,609.0,1.03,0.0,0.0,0.0,0.048
84,0.035,1077.0,17.01,622.0,1.1,0.0,0.0,0.0,0.035
85,0.029,1057.0,14.37,609.0,1.16,0.0,0.0,0.0,0.029
86,0.028,1047.0,12.83,609.0,1.16,0.0,0.0,0.0,0.028
87,0.029,1052.0,13.98,610.0,1.18,0.0,0.0,0.0,0.029
88,0.045,1078.0,20.68,609.0,1.3,0.0,711.0,0.73,0.045
89,0.042,1077.0,15.03,612.0,1.6,0.0,0.0,0.0,0.042
90,0.034,1048.0,15.58,614.0,1.43,0.0,0.0,0.0,0.034
91,0.022,996.0,10.52,611.0,0.98,0.001,711.0,0.41,0.023
92,0.044,1015.0,34.67,611.0,1.15,0.0,0.0,0.0,0.044
93,0.031,1045.0,12.83,613.0,1.34,0.0,0.0,0.0,0.031
94,0.03,1048.0,15.24,612.0,1.08,0.001,712.0,0.42,0.031
95,0.032,1058.0,15.49,616.0,1.03,0.0,0.0,0.0,0.032
96,0.029,1056.0,14.0,616.0,1.2,0.0,0.0,0.0,0.029
97,0.03,1048.0,14.48,616.0,1.04,0.0,0.0,0.0,0.03
98,0.029,1056.0,14.64,616.0,1.02,0.0,0.0,0.0,0.029
99,0.028,1056.0,14.29,612.0,0.55,0.0,0.0,0.0,0.028
100,0.036,1067.0,17.49,615.0,1.06,0.0,0.0,0.0,0.036
101,0.034,1063.0,19.23,613.0,0.77,0.0,704.0,0.44,0.034
102,0.038,1055.0,21.49,610.0,1.07,0.0,0.0,0.0,0.038
103,0.033,1051.0,17.43,612.0,1.2,0.0,0.0,0.0,0.033
104,0.032,1058.0,17.31,613.0,0.93,0.0,0.0,0.0,0.032
105,0.032,1061.0,16.21,610.0,1.37,0.0,0.0,0.0,0.032
