Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.053,1104.0,28.12,627.0,0.81,0.0,0.0,0.0,0.053
1,0.026,1029.0,10.55,618.0,1.48,0.0,0.0,0.0,0.026
2,0.022,1007.0,10.47,614.0,2.04,0.0,0.0,0.0,0.022
3,0.031,1057.0,13.04,616.0,1.58,0.0,0.0,0.0,0.031
4,0.029,1053.0,14.89,619.0,1.07,0.0,0.0,0.0,0.029
5,0.029,1048.0,13.0,618.0,1.54,0.0,0.0,0.0,0.029
6,0.029,1047.0,14.21,619.0,0.95,0.0,0.0,0.0,0.029
7,0.029,1055.0,14.75,615.0,0.66,0.0,0.0,0.0,0.029
8,0.029,1055.0,13.08,619.0,1.7,0.0,0.0,0.0,0.029
9,0.033,1090.0,16.76,638.0,1.45,0.001,712.0,0.41,0.034
10,0.028,1055.0,13.45,613.0,1.11,0.0,0.0,0.0,0.028
11,0.03,1057.0,13.29,621.0,1.45,0.0,0.0,0.0,0.03
12,0.03,1047.0,15.53,617.0,1.12,0.0,0.0,0.0,0.03
13,0.03,1053.0,13.61,615.0,1.58,0.0,0.0,0.0,0.03
14,0.031,1055.0,14.22,620.0,1.82,0.0,0.0,0.0,0.031
15,0.03,1035.0,10.47,613.0,1.14,0.0,0.0,0.0,0.03
16,0.03,1049.0,15.66,619.0,0.96,0.002,709.0,0.32,0.032
17,0.049,1117.0,23.74,619.0,0.96,0.0,0.0,0.0,0.049
18,0.02,1004.0,9.72,615.0,0.93,0.0,0.0,0.0,0.02
19,0.022,1027.0,9.87,611.0,1.37,0.0,0.0,0.0,0.022
20,0.032,1054.0,14.99,616.0,1.7,0.0,0.0,0.0,0.032
21,0.029,1050.0,14.13,611.0,1.33,0.0,0.0,0.0,0.029
22,0.046,1047.0,31.41,611.0,1.52,0.0,0.0,0.0,0.046
23,0.034,1059.0,16.43,615.0,1.71,0.0,0.0,0.0,0.034
24,0.046,1092.0,23.76,609.0,0.98,0.0,0.0,0.0,0.046
25,0.035,1052.0,18.33,614.0,1.65,0.0,709.0,0.32,0.035
26,0.031,1057.0,12.44,620.0,1.89,0.0,0.0,0.0,0.031
27,0.031,1048.0,15.79,613.0,1.79,0.0,0.0,0.0,0.031
28,0.031,1060.0,14.41,619.0,0.97,0.0,0.0,0.0,0.031
29,0.032,1052.0,16.8,619.0,1.31,0.0,0.0,0.0,0.032
30,0.03,1057.0,13.66,616.0,0.97,0.0,0.0,0.0,0.03
31,0.031,1056.0,13.66,619.0,1.85,0.0,0.0,0.0,0.031
32,0.028,1050.0,14.52,609.0,1.06,0.0,0.0,0.0,0.028
33,0.027,1051.0,12.21,608.0,1.05,0.0,0.0,0.0,0.027
34,0.029,1046.0,13.02,608.0,1.03,0.0,0.0,0.0,0.029
35,0.019,997.0,6.6,613.0,1.05,0.0,0.0,0.0,0.019
36,0.022,1018.0,7.66,612.0,1.17,0.0,0.0,0.0,0.022
37,0.031,1052.0,12.75,618.0,0.93,0.0,0.0,0.0,0.031
38,0.027,1050.0,12.98,615.0,1.39,0.0,0.0,0.0,0.027
39,0.037,1050.0,13.94,612.0,1.17,0.0,0.0,0.0,0.037
40,0.06,1089.0,25.06,621.0,1.73,0.0,0.0,0.0,0.06
41,0.039,1056.0,22.04,673.0,1.49,0.0,711.0,0.42,0.039
42,0.03,1048.0,14.85,619.0,1.06,0.0,0.0,0.0,0.03
43,0.027,1043.0,15.93,615.0,0.68,0.0,0.0,0.0,0.027
44,0.031,1057.0,14.11,617.0,1.0,0.0,0.0,0.0,0.031
45,0.03,1055.0,13.44,618.0,1.07,0.0,0.0,0.0,0.03
46,0.031,1056.0,16.51,615.0,1.0,0.0,713.0,0.73,0.031
47,0.029,1058.0,12.83,617.0,1.26,0.0,0.0,0.0,0.029
48,0.028,1053.0,13.51,612.0,1.16,0.0,0.0,0.0,0.028
49,0.027,1052.0,14.91,616.0,0.68,0.0,0.0,0.0,0.027
50,0.03,1059.0,16.34,612.0,0.77,0.0,0.0,0.0,0.03
51,0.043,1052.0,41.62,608.0,0.84,0.0,0.0,0.0,0.043
52,0.018,1010.0,9.02,615.0,1.11,0.0,0.0,0.0,0.018
53,0.022,1033.0,9.96,610.0,1.46,0.0,0.0,0.0,0.022
54,0.027,1040.0,13.52,611.0,0.77,0.0,0.0,0.0,0.027
55,0.033,1038.0,14.82,617.0,0.99,0.0,711.0,0.42,0.033
56,0.03,1055.0,13.28,618.0,1.26,0.0,0.0,0.0,0.03
57,0.029,1061.0,13.43,612.0,1.43,0.0,0.0,0.0,0.029
58,0.028,1052.0,13.85,614.0,1.45,0.0,0.0,0.0,0.028
59,0.029,1052.0,13.31,616.0,1.2,0.0,0.0,0.0,0.029
60,0.03,1056.0,13.55,617.0,1.19,0.0,0.0,0.0,0.03
61,0.032,1057.0,14.97,617.0,0.96,0.0,0.0,0.0,0.032
62,0.029,1050.0,13.85,620.0,0.99,0.0,0.0,0.0,0.029
63,0.029,1056.0,14.34,618.0,0.96,0.0,0.0,0.0,0.029
64,0.039,1063.0,14.99,615.0,0.83,0.0,0.0,0.0,0.039
65,0.03,1055.0,14.79,613.0,1.17,0.0,0.0,0.0,0.03
66,0.028,1051.0,13.85,615.0,1.06,0.0,0.0,0.0,0.028
67,0.03,1053.0,14.49,619.0,0.97,0.0,0.0,0.0,0.03
68,0.028,1053.0,13.11,618.0,1.33,0.0,0.0,0.0,0.028
69,0.017,997.0,8.38,610.0,1.16,0.0,0.0,0.0,0.017
70,0.025,1040.0,11.88,611.0,1.16,0.0,0.0,0.0,0.025
71,0.031,1054.0,14.21,618.0,1.0,0.0,0.0,0.0,0.031
72,0.028,1053.0,14.21,618.0,1.01,0.0,0.0,0.0,0.028
73,0.03,1058.0,12.66,617.0,1.37,0.0,0.0,0.0,0.03
74,0.028,1036.0,11.32,610.0,1.54,0.0,0.0,0.0,0.028
75,0.052,1107.0,25.49,667.0,1.19,0.0,709.0,0.32,0.052
76,0.03,1053.0,13.34,619.0,0.99,0.0,0.0,0.0,0.03
77,0.03,1055.0,14.06,618.0,1.23,0.0,0.0,0.0,0.03
78,0.029,1055.0,14.21,615.0,1.07,0.0,0.0,0.0,0.029
79,0.031,1058.0,14.64,619.0,0.95,0.0,0.0,0.0,0.031
80,0.046,1055.0,31.4,617.0,1.1,0.0,0.0,0.0,0.046
81,0.029,1049.0,13.36,612.0,1.32,0.0,0.0,0.0,0.029
82,0.029,1048.0,14.24,615.0,1.04,0.0,0.0,0.0,0.029
83,0.028,1047.0,14.25,618.0,0.94,0.0,0.0,0.0,0.028
84,0.031,1053.0,12.83,619.0,1.23,0.0,0.0,0.0,0.031
85,0.028,1043.0,12.83,611.0,1.09,0.0,0.0,0.0,0.028
86,0.016,999.0,6.47,611.0,1.54,0.0,0.0,0.0,0.016
87,0.024,1045.0,10.67,611.0,1.45,0.0,0.0,0.0,0.024
88,0.031,1051.0,12.97,617.0,1.83,0.0,0.0,0.0,0.031
89,0.031,1056.0,13.1,623.0,1.6,0.0,0.0,0.0,0.031
90,0.031,1053.0,15.39,617.0,0.99,0.0,0.0,0.0,0.031
91,0.036,1060.0,17.45,617.0,1.31,0.0,0.0,0.0,0.036
92,0.034,1053.0,14.77,614.0,1.65,0.0,0.0,0.0,0.034
93,0.03,1036.0,10.56,616.0,1.01,0.0,0.0,0.0,0.03
94,0.029,1054.0,13.54,618.0,1.19,0.0,0.0,0.0,0.029
95,0.031,1050.0,16.02,617.0,1.19,0.0,0.0,0.0,0.031
96,0.033,1066.0,17.99,612.0,0.67,0.0,0.0,0.0,0.033
97,0.033,1055.0,15.35,621.0,1.52,0.0,0.0,0.0,0.033
98,0.029,1050.0,13.96,618.0,0.97,0.0,0.0,0.0,0.029
99,0.029,1061.0,14.3,616.0,1.09,0.0,0.0,0.0,0.029
100,0.031,1049.0,14.26,614.0,1.99,0.0,0.0,0.0,0.031
101,0.031,1056.0,14.38,615.0,1.09,0.0,0.0,0.0,0.031
102,0.07,1036.0,47.63,615.0,1.01,0.0,0.0,0.0,0.07
103,0.099,1003.0,99.85,610.0,1.34,0.0,0.0,0.0,0.099
104,0.117,1065.0,82.93,692.0,1.38,0.0,713.0,0.52,0.117
105,0.03,1051.0,13.92,618.0,1.59,0.0,0.0,0.0,0.03
106,0.03,1052.0,13.61,621.0,1.48,0.0,0.0,0.0,0.03
107,0.029,1056.0,13.81,619.0,0.98,0.0,0.0,0.0,0.029
108,0.029,1056.0,13.22,619.0,0.97,0.0,0.0,0.0,0.029
109,0.031,1055.0,15.26,618.0,1.22,0.0,0.0,0.0,0.031
110,0.046,1049.0,39.84,618.0,1.65,0.0,0.0,0.0,0.046
111,0.03,1052.0,12.92,621.0,1.54,0.0,0.0,0.0,0.03
112,0.031,1035.0,11.78,617.0,0.96,0.0,0.0,0.0,0.031
113,0.027,1052.0,12.78,614.0,0.58,0.0,0.0,0.0,0.027
114,0.03,1056.0,13.41,618.0,1.57,0.0,0.0,0.0,0.03
115,0.03,1063.0,13.72,617.0,1.37,0.0,0.0,0.0,0.03
116,0.03,1058.0,14.72,611.0,1.43,0.0,0.0,0.0,0.03
117,0.029,1062.0,13.95,614.0,1.06,0.0,0.0,0.0,0.029
118,0.031,1058.0,13.64,621.0,1.35,0.0,0.0,0.0,0.031
119,0.02,999.0,9.23,617.0,1.25,0.0,0.0,0.0,0.02
120,0.025,1035.0,9.85,616.0,1.68,0.0,0.0,0.0,0.025
121,0.033,1059.0,13.21,620.0,1.8,0.0,0.0,0.0,0.033
122,0.038,1058.0,18.45,613.0,1.33,0.0,0.0,0.0,0.038
123,0.03,1059.0,13.17,616.0,1.95,0.0,0.0,0.0,0.03
124,0.031,1051.0,13.66,615.0,1.64,0.0,0.0,0.0,0.031
125,0.029,1053.0,13.57,619.0,0.96,0.0,0.0,0.0,0.029
126,0.029,1052.0,13.29,622.0,1.49,0.0,0.0,0.0,0.029
127,0.03,1059.0,13.31,617.0,1.31,0.0,0.0,0.0,0.03
128,0.037,1063.0,18.05,612.0,1.47,0.0,0.0,0.0,0.037
129,0.032,1052.0,14.76,617.0,1.59,0.0,0.0,0.0,0.032
130,0.031,1052.0,13.5,621.0,1.49,0.0,0.0,0.0,0.031
131,0.031,1042.0,12.37,619.0,0.96,0.0,0.0,0.0,0.031
132,0.027,1042.0,10.89,615.0,0.91,0.0,0.0,0.0,0.027
133,0.028,1050.0,14.65,612.0,1.36,0.0,0.0,0.0,0.028
134,0.057,1158.0,26.07,776.0,1.43,0.0,711.0,0.42,0.057
135,0.03,1052.0,13.45,616.0,1.8,0.0,0.0,0.0,0.03
136,0.019,1003.0,10.24,610.0,0.89,0.0,0.0,0.0,0.019
137,0.025,1029.0,12.62,612.0,1.38,0.0,0.0,0.0,0.025
138,0.03,1050.0,14.62,615.0,1.08,0.0,0.0,0.0,0.03
139,0.051,1068.0,42.79,622.0,1.53,0.0,0.0,0.0,0.051
140,0.03,1052.0,14.35,618.0,1.02,0.0,0.0,0.0,0.03
141,0.029,1059.0,13.97,615.0,1.61,0.0,0.0,0.0,0.029
142,0.028,1052.0,13.32,611.0,1.38,0.0,0.0,0.0,0.028
143,0.028,1054.0,13.93,614.0,1.02,0.0,0.0,0.0,0.028
144,0.031,1048.0,14.37,619.0,0.94,0.0,0.0,0.0,0.031
145,0.029,1048.0,12.55,620.0,1.83,0.0,0.0,0.0,0.029
146,0.03,1052.0,12.9,617.0,1.57,0.0,0.0,0.0,0.03
147,0.029,1057.0,12.6,620.0,1.87,0.0,0.0,0.0,0.029
148,0.031,1052.0,13.99,612.0,2.17,0.0,0.0,0.0,0.031
149,0.031,1050.0,14.39,615.0,1.21,0.0,0.0,0.0,0.031
150,0.028,1053.0,13.61,617.0,0.97,0.0,0.0,0.0,0.028
151,0.031,1040.0,11.47,619.0,0.98,0.0,0.0,0.0,0.031
152,0.027,1042.0,9.29,615.0,1.04,0.0,0.0,0.0,0.027
153,0.017,997.0,7.83,608.0,1.22,0.0,0.0,0.0,0.017
154,0.025,1051.0,10.87,612.0,1.26,0.0,0.0,0.0,0.025
155,0.03,1051.0,14.26,615.0,1.01,0.0,0.0,0.0,0.03
156,0.028,1053.0,13.54,616.0,1.09,0.0,0.0,0.0,0.028
157,0.028,1052.0,12.55,608.0,1.4,0.0,0.0,0.0,0.028
158,0.027,1041.0,15.0,605.0,0.64,0.0,0.0,0.0,0.027
159,0.029,1056.0,13.15,608.0,1.07,0.0,0.0,0.0,0.029
160,0.028,1055.0,12.18,610.0,1.57,0.0,0.0,0.0,0.028
161,0.028,1043.0,12.83,612.0,1.12,0.0,0.0,0.0,0.028
162,0.029,1043.0,14.9,617.0,1.12,0.0,0.0,0.0,0.029
163,0.039,1066.0,14.82,779.0,1.46,0.0,710.0,0.32,0.039
164,0.03,1057.0,13.66,618.0,1.04,0.0,0.0,0.0,0.03
165,0.029,1047.0,13.97,618.0,1.18,0.0,0.0,0.0,0.029
166,0.026,1051.0,13.91,612.0,0.92,0.0,0.0,0.0,0.026
167,0.03,1053.0,13.82,613.0,1.14,0.0,0.0,0.0,0.03
168,0.05,1054.0,38.79,618.0,0.99,0.0,0.0,0.0,0.05
169,0.028,1034.0,11.61,618.0,1.2,0.0,0.0,0.0,0.028
170,0.016,1008.0,7.85,608.0,0.99,0.0,0.0,0.0,0.016
171,0.025,1045.0,11.25,611.0,1.14,0.0,0.0,0.0,0.025
172,0.029,1033.0,11.83,615.0,0.76,0.0,0.0,0.0,0.029
173,0.04,1070.0,17.0,617.0,1.23,0.0,0.0,0.0,0.04
174,0.028,1050.0,14.4,612.0,1.2,0.0,0.0,0.0,0.028
175,0.04,1061.0,19.49,620.0,2.26,0.0,710.0,0.32,0.04
176,0.04,1068.0,16.12,735.0,2.04,0.0,710.0,0.73,0.04
177,0.029,1062.0,13.97,614.0,1.56,0.0,0.0,0.0,0.029
178,0.03,1057.0,16.57,608.0,1.08,0.0,0.0,0.0,0.03
179,0.029,1058.0,13.56,611.0,1.76,0.0,0.0,0.0,0.029
180,0.03,1056.0,13.84,614.0,1.15,0.0,0.0,0.0,0.03
181,0.033,1054.0,17.46,618.0,1.0,0.0,0.0,0.0,0.033
182,0.03,1057.0,14.96,618.0,0.98,0.0,0.0,0.0,0.03
183,0.032,1060.0,16.74,618.0,1.27,0.0,0.0,0.0,0.032
184,0.029,1048.0,13.81,614.0,1.06,0.0,0.0,0.0,0.029
185,0.029,1051.0,13.24,621.0,1.54,0.0,0.0,0.0,0.029
186,0.029,1048.0,13.15,617.0,1.41,0.0,0.0,0.0,0.029
187,0.02,1005.0,8.93,611.0,1.69,0.0,0.0,0.0,0.02
188,0.028,1048.0,10.68,613.0,2.03,0.0,0.0,0.0,0.028
189,0.028,1057.0,13.6,610.0,1.49,0.0,0.0,0.0,0.028
190,0.029,1053.0,14.0,612.0,1.19,0.0,0.0,0.0,0.029
191,0.031,1038.0,11.01,619.0,1.01,0.0,0.0,0.0,0.031
192,0.029,1055.0,12.52,618.0,1.0,0.0,0.0,0.0,0.029
193,0.051,1092.0,19.54,618.0,1.01,0.0,0.0,0.0,0.051
194,0.026,1054.0,14.58,614.0,0.6,0.0,0.0,0.0,0.026
195,0.028,1053.0,13.75,613.0,1.07,0.0,0.0,0.0,0.028
196,0.031,1065.0,15.04,619.0,0.98,0.0,0.0,0.0,0.031
197,0.035,1060.0,22.63,616.0,1.09,0.0,0.0,0.0,0.035
198,0.038,1051.0,32.63,607.0,1.03,0.0,0.0,0.0,0.038
199,0.029,1055.0,13.65,615.0,1.72,0.0,0.0,0.0,0.029
200,0.032,1056.0,13.94,619.0,1.6,0.0,0.0,0.0,0.032
201,0.029,1056.0,13.86,617.0,1.02,0.0,0.0,0.0,0.029
202,0.031,1053.0,13.11,622.0,1.53,0.0,0.0,0.0,0.031
203,0.028,1040.0,13.55,612.0,1.01,0.0,0.0,0.0,0.028
204,0.014,993.0,6.44,610.0,1.05,0.0,0.0,0.0,0.014
205,0.026,1055.0,12.31,614.0,0.94,0.0,0.0,0.0,0.026
206,0.028,1053.0,13.94,611.0,1.14,0.0,0.0,0.0,0.028
207,0.029,1057.0,14.96,619.0,0.98,0.0,0.0,0.0,0.029
208,0.029,1052.0,14.16,615.0,0.87,0.0,0.0,0.0,0.029
209,0.03,1053.0,14.06,615.0,1.21,0.0,0.0,0.0,0.03
210,0.03,1039.0,11.26,616.0,1.36,0.0,0.0,0.0,0.03
211,0.029,1040.0,10.54,613.0,1.18,0.0,0.0,0.0,0.029
212,0.029,1057.0,13.71,616.0,1.21,0.0,0.0,0.0,0.029
213,0.028,1054.0,13.24,612.0,1.17,0.0,0.0,0.0,0.028
214,0.041,1063.0,14.94,618.0,1.11,0.0,0.0,0.0,0.041
215,0.027,1055.0,13.12,612.0,1.23,0.0,0.0,0.0,0.027
216,0.028,1051.0,15.41,608.0,0.87,0.0,0.0,0.0,0.028
217,0.029,1058.0,15.35,613.0,0.9,0.0,0.0,0.0,0.029
218,0.028,1058.0,15.08,607.0,1.06,0.0,0.0,0.0,0.028
219,0.027,1053.0,14.96,609.0,0.82,0.0,0.0,0.0,0.027
220,0.031,1059.0,13.56,620.0,1.83,0.0,0.0,0.0,0.031
221,0.027,1014.0,10.29,781.0,1.58,0.001,712.0,0.41,0.028
222,0.023,1031.0,10.58,610.0,1.55,0.0,0.0,0.0,0.023
223,0.029,1051.0,13.68,617.0,1.61,0.0,0.0,0.0,0.029
224,0.031,1056.0,12.84,621.0,1.52,0.0,0.0,0.0,0.031
225,0.03,1056.0,12.98,618.0,1.86,0.0,0.0,0.0,0.03
