Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.054,1096.0,27.54,631.0,0.8,0.0,706.0,0.22,0.054
1,0.029,1041.0,12.54,618.0,0.94,0.0,0.0,0.0,0.029
2,0.032,1041.0,15.36,619.0,0.96,0.0,0.0,0.0,0.032
3,0.049,1046.0,30.19,618.0,1.12,0.0,0.0,0.0,0.049
4,0.03,1049.0,12.99,615.0,1.01,0.0,0.0,0.0,0.03
5,0.041,1057.0,19.13,615.0,0.65,0.0,0.0,0.0,0.041
6,0.031,1045.0,15.53,617.0,0.99,0.001,709.0,0.32,0.032
7,0.03,1050.0,14.62,618.0,1.17,0.0,0.0,0.0,0.03
8,0.032,1051.0,16.77,614.0,1.02,0.0,0.0,0.0,0.032
9,0.048,1059.0,14.73,623.0,1.39,0.0,704.0,0.44,0.048
10,0.027,1051.0,14.27,610.0,1.01,0.0,0.0,0.0,0.027
11,0.037,1060.0,17.96,617.0,1.99,0.0,0.0,0.0,0.037
12,0.032,1057.0,15.98,614.0,1.12,0.0,0.0,0.0,0.032
13,0.033,1056.0,14.81,619.0,0.98,0.0,0.0,0.0,0.033
14,0.023,1022.0,9.77,617.0,1.04,0.0,0.0,0.0,0.023
15,0.021,1016.0,8.24,614.0,1.66,0.0,0.0,0.0,0.021
16,0.03,1048.0,14.1,619.0,0.96,0.0,0.0,0.0,0.03
17,0.031,1042.0,10.93,617.0,1.4,0.0,0.0,0.0,0.031
18,0.029,1036.0,12.1,612.0,1.15,0.0,0.0,0.0,0.029
19,0.028,1051.0,13.86,618.0,1.3,0.0,0.0,0.0,0.028
20,0.029,1050.0,13.17,614.0,1.09,0.0,0.0,0.0,0.029
21,0.029,1051.0,13.57,619.0,0.98,0.0,0.0,0.0,0.029
22,0.027,1048.0,15.6,613.0,0.52,0.0,0.0,0.0,0.027
