Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,266.3,235.9,1.119,false
1,256.3,235.8,1.102,false
2,255.9,235.8,1.114,false
3,255.6,235.4,1.118,false
4,261.9,235.0,1.116,false
5,254.2,235.0,1.158,false
6,260.8,235.1,1.117,false
7,253.6,235.0,1.105,false
8,253.4,235.1,1.175,false
9,260.1,235.0,1.16,false
10,260.6,235.1,1.176,false
11,265.7,235.0,1.157,false
12,266.0,235.0,1.155,false
13,265.6,235.1,1.17,false
14,266.0,234.9,1.166,false
15,266.0,235.1,1.134,false
16,265.8,235.2,1.203,false
17,271.0,234.9,1.186,false
18,270.8,234.9,1.229,false
19,277.2,234.8,1.218,false
20,277.1,234.8,1.217,false
21,277.2,235.1,1.219,false
22,277.4,234.9,1.217,false
23,277.9,234.9,1.216,false
24,278.2,235.1,1.204,false
25,277.9,234.9,1.21,false
26,277.7,235.1,1.223,false
27,278.1,235.0,1.283,false
28,289.0,234.8,1.262,false
29,288.8,235.0,1.249,false
30,288.3,235.1,1.244,false
31,287.8,235.0,1.246,false
32,287.6,235.1,1.243,false
33,287.3,235.0,1.29,false
34,287.9,235.7,1.248,false
35,287.6,235.7,1.258,false
36,287.6,235.5,1.275,false
37,292.7,235.6,1.27,false
38,292.5,235.7,1.283,false
39,292.6,235.5,1.273,false
40,292.9,235.5,1.271,false
41,292.7,235.7,1.274,false
42,292.6,235.5,1.275,false
43,292.4,235.7,1.281,false
44,292.5,235.6,1.316,false
45,293.1,235.4,1.292,false
46,292.7,235.7,1.291,false
47,293.1,235.6,1.297,false
48,293.4,235.7,1.287,false
49,293.8,235.8,1.291,false
50,294.1,235.4,1.299,false
51,299.7,235.5,1.295,false
52,299.2,235.8,1.287,false
53,298.7,235.7,1.307,false
54,298.8,235.6,1.313,false
55,299.0,235.6,1.342,false
56,299.6,235.5,1.306,false
57,299.6,235.5,1.304,false
58,299.7,235.6,1.297,false
59,299.5,235.4,1.301,false
60,299.7,235.5,1.312,false
61,299.7,235.7,1.333,false
62,300.2,235.9,1.317,false
63,300.2,235.7,1.332,false
64,300.8,235.9,1.323,false
65,301.1,235.8,1.317,false
66,301.2,236.0,1.321,false
67,301.6,235.8,1.33,false
68,302.2,235.3,1.325,false
69,301.7,235.4,1.335,false
70,302.1,235.2,1.329,false
71,302.4,235.4,1.331,false
72,302.6,235.2,1.36,false
73,309.2,235.3,1.331,false
74,308.7,235.2,1.329,false
75,308.3,235.4,1.334,false
76,308.0,235.3,1.326,false
77,307.6,235.4,1.334,false
78,307.3,235.3,1.356,false
79,307.1,235.2,1.335,false
80,307.0,235.4,1.337,false
81,306.6,235.5,1.34,false
82,306.8,235.6,1.34,false
83,306.8,235.5,1.346,false
84,306.9,235.4,1.341,false
85,307.1,235.5,1.336,false
86,307.2,235.4,1.344,false
87,307.2,235.6,1.34,false
88,307.3,235.4,1.325,false
89,307.1,235.4,1.374,false
90,307.6,235.6,1.342,false
91,307.5,235.5,1.346,false
92,307.6,235.8,1.347,false
93,307.7,235.8,1.354,false
94,307.8,235.5,1.338,false
95,308.0,235.8,1.358,false
96,308.5,235.8,1.353,false
97,308.6,235.9,1.357,false
98,308.7,236.1,1.348,false
99,308.8,236.1,1.352,false
100,309.0,236.2,1.35,false
101,309.4,236.1,1.358,false
102,309.6,236.1,1.343,false
103,309.5,236.4,1.355,false
104,309.8,236.3,1.357,false
105,310.0,236.2,1.356,false
106,310.0,236.3,1.367,false
107,310.4,236.3,1.355,false
108,310.6,236.4,1.355,false
109,310.8,236.5,1.359,false
110,311.0,236.3,1.355,false
111,311.1,236.3,1.352,false
112,311.1,236.5,1.357,false
113,311.3,236.4,1.349,false
114,311.5,236.3,1.35,false
115,311.6,236.4,1.351,false
116,311.7,236.4,1.36,false
117,311.7,236.3,1.373,false
118,311.9,236.3,1.357,false
119,312.3,236.4,1.352,false
120,312.4,236.4,1.36,false
121,312.4,236.6,1.361,false
122,312.4,236.4,1.359,false
123,312.5,236.4,1.392,false
124,313.0,236.4,1.359,false
125,313.0,236.6,1.355,false
126,312.8,236.6,1.354,false
127,312.8,236.4,1.357,false
128,312.8,236.4,1.367,false
129,312.9,236.5,1.356,false
130,313.2,236.6,1.365,false
131,313.4,236.6,1.356,false
132,313.4,236.4,1.365,false
133,313.4,236.3,1.371,false
134,313.3,236.3,1.364,false
135,313.5,236.5,1.356,false
136,313.7,236.4,1.359,false
137,313.6,236.3,1.37,false
138,313.7,236.3,1.365,false
139,313.1,236.3,1.369,false
140,307.9,236.3,1.38,false
141,314.6,236.4,1.365,false
142,314.4,236.3,1.364,false
143,314.4,236.4,1.37,false
144,314.1,236.4,1.362,false
145,313.9,236.4,1.364,false
146,314.0,236.3,1.366,false
147,313.9,236.4,1.36,false
148,314.0,236.1,1.368,false
149,313.9,236.3,1.371,false
150,313.9,236.3,1.365,false
151,313.7,236.3,1.38,false
152,313.9,236.4,1.359,false
153,313.9,236.5,1.366,false
154,314.0,236.3,1.349,false
155,313.8,236.2,1.365,false
156,313.9,236.4,1.367,false
157,313.9,236.3,1.381,false
158,314.2,236.3,1.369,false
159,314.1,236.3,1.382,false
160,314.3,236.2,1.33,false
161,314.4,236.2,1.371,false
162,314.4,236.3,1.364,false
163,314.5,236.3,1.373,false
164,314.8,236.2,1.365,false
165,314.8,236.2,1.358,false
166,314.9,236.4,1.368,false
167,314.7,236.3,1.367,false
168,314.7,236.3,1.266,false
169,306.8,236.4,1.362,false
170,316.2,236.4,1.379,false
171,316.2,236.4,1.369,false
172,316.0,236.3,1.367,false
173,315.9,236.3,1.358,false
174,315.7,236.3,1.382,false
175,315.9,236.2,1.378,false
176,315.8,236.1,1.37,false
177,315.8,236.4,1.353,false
178,315.6,236.3,1.364,false
179,315.4,236.3,1.373,false
180,315.4,236.4,1.375,false
181,315.6,236.2,1.369,false
182,315.6,236.2,1.378,false
183,315.6,236.3,1.367,false
184,315.5,236.0,1.38,false
185,315.6,236.2,1.378,false
186,315.7,236.0,1.365,false
187,315.8,236.0,1.374,false
188,315.5,235.9,1.385,false
189,315.6,235.9,1.38,false
190,315.4,236.0,1.391,false
191,315.5,236.1,1.394,false
192,315.8,235.7,1.372,false
193,315.9,235.8,1.362,false
194,315.9,236.2,1.378,false
195,315.9,236.2,1.369,false
196,315.8,236.0,1.372,false
197,315.7,236.1,1.404,false
198,315.9,236.0,1.346,false
199,315.6,236.0,1.36,false
200,315.4,236.0,1.377,false
201,315.5,236.2,1.364,false
202,315.5,236.2,1.391,false
203,315.9,236.3,1.368,false
204,316.0,236.1,1.384,false
205,316.1,236.3,1.382,false
206,316.1,236.2,1.373,false
207,316.1,236.3,1.383,false
208,316.2,236.2,1.389,false
209,316.3,236.2,1.379,false
210,316.3,236.2,1.37,false
211,316.3,236.3,1.384,false
212,316.4,236.2,1.375,false
213,316.3,236.3,1.385,false
214,316.4,236.3,1.378,false
215,316.4,236.4,1.373,false
216,316.3,236.3,1.374,false
217,316.3,236.3,1.38,false
218,316.5,236.3,1.375,false
219,316.3,236.3,1.379,false
220,316.5,236.4,1.373,false
221,316.6,236.4,1.383,false
222,316.7,236.3,1.393,false
223,310.6,236.1,1.377,false
224,316.7,236.2,1.384,false
225,316.6,236.2,1.391,false
226,316.9,236.2,1.386,false
227,316.5,236.3,1.376,false
228,316.6,236.1,1.367,false
229,316.4,236.3,1.384,false
230,316.4,236.3,1.353,false
231,316.3,236.3,1.393,false
