Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,262.2,239.2,1.081,false
1,250.7,239.2,1.092,false
2,250.8,239.2,1.1,false
3,262.8,239.4,1.078,false
4,250.2,239.3,1.08,false
5,250.3,239.3,1.1,false
6,250.7,239.3,1.093,false
7,251.0,239.2,1.147,false
8,257.1,239.3,1.133,false
9,257.6,239.3,1.147,false
10,264.3,239.3,1.14,false
11,264.3,239.3,1.135,false
12,264.1,239.3,1.146,false
13,264.8,239.1,1.187,false
14,265.4,239.1,1.139,false
15,265.2,239.1,1.141,false
16,265.0,239.2,1.147,false
17,265.0,239.0,1.193,false
18,270.7,239.0,1.187,false
19,278.3,239.2,1.219,false
20,278.5,239.1,1.189,false
21,278.1,239.2,1.189,false
22,277.9,239.1,1.195,false
23,278.4,239.2,1.186,false
24,278.0,239.0,1.224,false
25,278.5,239.1,1.188,false
26,278.1,238.9,1.211,false
27,278.3,239.1,1.244,false
28,284.6,239.1,1.233,false
29,284.6,239.0,1.224,false
30,284.7,239.1,1.211,false
31,285.0,239.0,1.226,false
32,284.9,239.2,1.226,false
33,285.3,239.2,1.225,false
34,285.1,239.1,1.224,false
35,285.0,239.1,1.286,false
36,292.6,239.2,1.266,false
37,292.7,239.1,1.254,false
38,292.5,239.0,1.248,false
39,292.2,239.0,1.259,false
40,292.0,239.1,1.256,false
41,291.9,239.1,1.273,false
42,292.3,239.1,1.257,false
43,292.5,239.1,1.252,false
44,292.3,239.2,1.274,false
45,292.6,239.2,1.276,false
46,292.9,239.2,1.269,false
47,293.2,239.3,1.273,false
48,293.8,239.0,1.272,false
49,294.0,239.1,1.278,false
50,294.2,239.1,1.278,false
51,294.5,239.3,1.284,false
52,294.8,239.3,1.313,false
53,302.9,239.3,1.294,false
54,296.7,239.1,1.304,false
55,297.3,239.1,1.294,false
56,297.5,239.1,1.294,false
57,297.6,239.2,1.301,false
58,298.1,239.3,1.294,false
59,304.2,239.2,1.29,false
60,299.1,239.0,1.294,false
61,299.1,239.0,1.292,false
62,299.3,239.0,1.314,false
63,299.9,239.1,1.294,false
64,300.4,239.1,1.31,false
65,300.9,239.1,1.299,false
66,301.3,239.0,1.309,false
67,301.6,239.1,1.285,false
68,292.7,239.0,1.315,false
69,303.9,238.9,1.328,false
70,304.1,239.1,1.297,false
71,304.1,239.2,1.327,false
72,304.1,239.2,1.325,false
73,304.5,239.2,1.317,false
74,304.7,239.0,1.316,false
75,305.0,239.1,1.32,false
