Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,266.4,236.6,1.093,false
1,255.3,236.6,1.093,false
2,254.7,236.6,1.095,false
3,254.9,236.6,1.118,false
4,254.9,236.6,1.098,false
5,254.5,236.6,1.105,false
6,254.1,236.4,1.095,false
7,253.7,236.4,1.117,false
8,253.8,236.4,1.103,false
9,253.5,236.4,1.169,false
10,262.8,236.3,1.151,false
11,262.9,236.4,1.149,false
12,263.0,236.2,1.147,false
13,269.4,236.2,1.158,false
14,268.8,236.3,1.152,false
15,268.4,236.4,1.146,false
16,267.8,236.2,1.148,false
17,267.4,236.3,1.149,false
18,267.1,236.3,1.205,false
19,275.5,236.3,1.2,false
20,275.6,236.2,1.203,false
21,275.6,236.5,1.197,false
22,275.6,236.4,1.201,false
23,276.2,236.4,1.213,false
24,276.2,236.2,1.202,false
25,276.1,236.4,1.201,false
26,276.0,236.3,1.203,false
27,276.2,236.5,1.238,false
28,283.8,236.4,1.241,false
29,283.9,236.4,1.24,false
30,284.0,236.2,1.239,false
31,284.1,236.1,1.241,false
32,284.1,236.2,1.252,false
33,284.6,236.2,1.249,false
34,284.7,236.1,1.243,false
35,284.7,236.4,1.24,false
36,284.7,236.3,1.269,false
37,290.6,236.1,1.271,false
38,290.8,236.2,1.25,false
39,290.8,236.1,1.267,false
40,290.9,236.1,1.266,false
41,290.9,236.3,1.27,false
42,291.0,236.2,1.278,false
43,291.4,236.3,1.266,false
44,291.3,236.2,1.274,false
45,291.4,236.1,1.289,false
46,292.0,236.1,1.304,false
47,297.3,236.0,1.296,false
48,297.2,236.2,1.293,false
49,297.1,236.2,1.296,false
50,297.1,235.9,1.288,false
51,297.0,235.8,1.298,false
52,296.9,236.0,1.287,false
53,297.2,235.8,1.295,false
54,297.3,236.1,1.314,false
55,297.6,236.0,1.309,false
56,298.1,236.0,1.306,false
57,298.4,236.0,1.307,false
58,298.7,235.9,1.31,false
59,298.9,235.8,1.31,false
60,299.2,235.8,1.337,false
61,299.8,235.9,1.31,false
62,300.0,235.7,1.312,false
63,300.3,235.9,1.326,false
64,300.6,235.9,1.315,false
65,301.0,236.0,1.328,false
66,301.2,236.1,1.32,false
67,301.6,235.9,1.326,false
68,301.9,235.9,1.319,false
69,302.1,236.0,1.331,false
70,302.4,236.1,1.32,false
71,302.5,236.2,1.327,false
72,302.9,236.2,1.337,false
73,303.4,236.1,1.317,false
74,303.6,235.9,1.324,false
75,304.0,235.9,1.32,false
76,304.2,236.0,1.335,false
77,304.5,235.9,1.338,false
78,304.8,236.2,1.333,false
79,305.0,236.2,1.335,false
80,305.2,235.7,1.356,false
81,305.6,235.9,1.336,false
82,305.9,235.9,1.34,false
83,306.2,235.9,1.335,false
84,306.3,236.0,1.347,false
85,306.5,236.2,1.336,false
86,306.5,236.0,1.34,false
87,306.8,236.0,1.343,false
88,306.7,236.1,1.345,false
89,306.9,235.9,1.354,false
90,307.2,236.0,1.341,false
91,307.4,236.2,1.362,false
92,307.7,236.2,1.348,false
93,308.0,236.4,1.35,false
94,308.3,236.2,1.346,false
95,308.4,236.4,1.351,false
96,308.5,236.1,1.345,false
97,308.6,236.2,1.349,false
98,308.7,236.1,1.346,false
99,308.7,236.0,1.356,false
100,309.1,236.1,1.356,false
101,309.4,236.2,1.359,false
102,314.8,236.2,1.356,false
103,314.3,236.3,1.353,false
104,313.9,236.1,1.342,false
105,313.6,236.3,1.35,false
106,313.3,236.3,1.357,false
107,312.8,236.3,1.35,false
108,312.5,236.1,1.351,false
109,312.3,236.2,1.36,false
110,312.3,236.2,1.366,false
111,312.4,236.2,1.361,false
112,312.4,236.0,1.353,false
113,312.2,236.0,1.352,false
114,312.2,236.2,1.356,false
115,312.0,235.9,1.355,false
116,311.9,236.0,1.363,false
117,311.9,236.1,1.365,false
118,311.9,235.8,1.343,false
119,311.4,235.9,1.364,false
120,311.7,236.1,1.352,false
121,311.9,236.0,1.364,false
122,312.1,236.1,1.366,false
123,312.2,235.8,1.355,false
124,312.3,235.8,1.358,false
125,312.3,236.0,1.348,false
126,312.4,236.0,1.344,false
127,312.2,236.1,1.351,false
128,312.0,235.8,1.365,false
129,311.9,236.2,1.366,false
130,312.2,235.9,1.373,false
131,312.4,235.8,1.362,false
132,312.6,235.8,1.364,false
133,312.6,235.5,1.365,false
134,312.7,235.6,1.371,false
135,313.0,235.7,1.371,false
136,313.0,235.7,1.362,false
137,313.1,235.5,1.366,false
138,312.6,235.5,1.367,false
139,312.7,235.5,1.36,false
140,312.8,235.6,1.366,false
141,313.0,235.7,1.367,false
142,313.1,235.7,1.374,false
143,313.4,235.5,1.363,false
144,313.4,235.7,1.368,false
145,313.4,235.7,1.371,false
146,313.6,235.7,1.369,false
147,313.7,235.5,1.359,false
148,313.6,235.7,1.362,false
149,313.6,235.6,1.37,false
150,313.8,235.8,1.372,false
151,314.0,235.5,1.372,false
152,314.1,235.7,1.379,false
153,314.4,235.7,1.373,false
154,314.4,235.8,1.366,false
155,314.4,235.5,1.376,false
156,314.6,235.5,1.376,false
157,314.7,236.0,1.226,false
158,306.0,235.7,1.361,false
159,315.4,235.8,1.378,false
160,315.4,235.6,1.375,false
161,315.4,235.8,1.376,false
162,315.5,235.8,1.38,false
163,315.5,235.6,1.38,false
164,315.2,235.8,1.368,false
165,315.3,235.7,1.374,false
166,315.4,235.6,1.38,false
167,315.5,235.9,1.378,false
168,315.4,235.6,1.379,false
169,315.4,235.8,1.388,false
170,315.7,235.7,1.372,false
171,315.6,235.8,1.372,false
172,315.8,235.7,1.379,false
173,315.8,235.8,1.384,false
174,315.9,235.9,1.376,false
175,315.8,235.7,1.364,false
176,315.7,235.8,1.38,false
177,315.7,236.0,1.377,false
178,315.6,235.7,1.385,false
179,315.7,235.7,1.377,false
180,315.8,236.0,1.382,false
181,315.9,236.1,1.365,false
182,315.9,236.0,1.366,false
183,315.6,236.2,1.376,false
184,315.6,236.1,1.371,false
185,315.5,236.1,1.38,false
186,315.5,236.2,1.375,false
187,315.7,236.0,1.366,false
188,315.6,236.1,1.366,false
189,315.5,236.1,1.375,false
190,315.6,236.1,1.365,false
191,315.7,236.2,1.376,false
192,315.8,236.1,1.372,false
193,315.8,236.3,1.356,false
194,315.8,236.3,1.378,false
195,315.8,236.1,1.368,false
196,315.9,236.3,1.39,false
197,315.9,236.2,1.361,false
198,316.0,235.8,1.377,false
199,315.9,236.0,1.379,false
200,316.1,235.8,1.375,false
201,316.2,236.1,1.381,false
202,316.2,235.9,1.382,false
203,316.4,236.2,1.371,false
204,316.3,236.2,1.382,false
205,316.4,236.0,1.375,false
206,316.4,236.0,1.38,false
207,316.4,236.1,1.379,false
208,316.3,235.9,1.386,false
209,316.4,236.2,1.132,false
210,285.1,236.0,1.376,false
211,317.3,235.9,1.382,false
212,317.2,236.0,1.375,false
213,317.2,236.2,1.375,false
214,317.1,235.9,1.367,false
215,317.0,236.0,1.382,false
216,316.9,236.1,1.377,false
217,316.8,236.0,1.375,false
218,316.7,236.1,1.373,false
219,316.5,236.0,1.385,false
220,316.6,236.0,1.38,false
221,316.7,236.0,1.379,false
222,316.6,236.2,1.375,false
223,316.6,236.1,1.325,false
224,309.3,236.2,1.338,false
225,308.7,235.9,1.354,false
226,308.1,236.1,1.371,false
227,308.4,235.9,1.328,false
228,308.5,236.2,1.341,false
229,308.6,235.9,1.364,false
230,308.9,236.0,1.377,false
231,308.5,236.0,1.341,false
232,308.1,236.0,1.351,false
233,308.3,235.9,1.356,false
234,308.1,236.1,1.37,false
