Time (s),Power (W),Voltage (V),Amps (A)
0,251.2,236.6,1.095
1,251.1,236.7,1.099
2,251.0,236.6,1.089
3,251.1,236.9,1.088
4,251.1,237.1,1.1
5,251.2,236.9,1.089
6,251.3,236.8,1.095
7,251.7,236.8,1.103
8,252.1,236.7,1.107
9,252.3,236.8,1.087
10,252.0,236.8,1.088
11,251.8,236.9,1.088
12,251.6,236.9,1.088
13,251.5,236.9,1.089
14,251.4,236.5,1.099
15,251.4,236.7,1.093
16,251.5,236.5,1.091
17,251.7,236.7,1.103
18,251.7,236.6,1.098
19,251.8,236.6,1.093
20,251.7,236.3,1.087
21,251.5,236.3,1.097
22,251.5,236.7,1.088
23,251.4,236.7,1.093
24,251.3,236.8,1.09
25,251.2,236.6,1.093
26,251.3,236.8,1.092
27,251.6,236.8,1.094
28,251.6,236.9,1.094
29,251.7,237.0,1.093
30,251.7,236.8,1.091
31,251.5,236.9,1.096
32,251.4,236.9,1.093
33,251.5,237.1,1.092
34,251.4,237.2,1.092
35,251.4,237.2,1.1
36,251.6,236.9,1.086
37,251.8,236.9,1.103
38,251.7,237.1,1.094
39,251.8,236.9,1.102
40,251.6,236.7,1.088
41,251.2,236.7,1.111
42,251.1,236.3,1.089
43,251.0,236.3,1.121
44,251.0,236.4,1.089
45,250.8,236.2,1.101
46,250.9,236.0,1.114
47,251.3,236.2,1.1
48,251.3,236.1,1.102
49,251.4,236.0,1.098
50,251.4,236.3,1.091
51,251.1,236.0,1.099
52,250.9,236.2,1.091
53,250.9,236.0,1.095
54,250.9,236.0,1.093
55,250.8,236.2,1.1
56,251.0,236.3,1.094
57,251.1,236.2,1.088
58,251.1,236.2,1.116
59,251.4,236.6,1.088
60,251.2,236.4,1.089
61,251.0,236.4,1.088
62,250.9,236.7,1.089
63,250.9,236.5,1.087
64,250.8,236.7,1.091
65,250.8,236.6,1.095
66,251.0,236.7,1.093
67,251.5,236.8,1.089
68,251.3,236.8,1.094
69,251.6,236.5,1.091
70,251.3,236.7,1.091
71,251.2,236.8,1.089
72,251.0,236.5,1.094
73,251.1,236.7,1.089
74,250.8,236.7,1.088
