Time (s),Power (W),Voltage (V),Amps (A)
0,251.3,239.8,1.129
1,251.6,239.8,1.074
2,251.3,239.9,1.093
3,251.2,239.7,1.081
4,251.2,239.9,1.101
5,251.2,239.7,1.075
6,251.0,239.8,1.093
7,251.1,239.9,1.095
8,251.6,239.7,1.079
9,251.4,239.7,1.079
10,251.2,239.8,1.111
11,251.5,240.0,1.077
12,251.5,239.7,1.08
13,251.2,240.0,1.083
14,251.3,239.8,1.077
15,251.1,239.9,1.077
16,251.1,239.7,1.074
17,251.0,239.8,1.083
18,251.3,239.8,1.079
19,251.1,240.0,1.082
20,251.0,239.8,1.101
21,251.2,239.6,1.083
22,251.1,239.7,1.074
23,250.9,239.9,1.085
24,251.0,239.8,1.17
25,251.5,239.8,1.092
26,251.5,239.9,1.075
27,251.4,239.7,1.088
28,251.7,239.6,1.078
29,251.6,239.9,1.08
30,251.5,239.6,1.104
31,251.6,239.7,1.087
32,251.4,239.7,1.079
33,251.2,239.6,1.092
34,251.2,239.7,1.077
35,251.0,239.8,1.083
36,251.0,239.6,1.085
37,251.0,239.6,1.076
38,251.3,239.6,1.078
39,251.2,239.7,1.075
40,251.0,239.8,1.104
41,251.3,239.7,1.076
42,251.1,239.6,1.076
43,251.0,239.5,1.08
44,251.0,239.5,1.079
45,250.9,239.8,1.078
46,250.8,239.8,1.083
47,250.9,239.7,1.081
48,251.2,239.8,1.078
49,251.1,239.7,1.078
50,250.9,239.8,1.104
51,251.2,239.7,1.072
52,250.9,239.7,1.088
53,250.9,239.6,1.085
54,250.9,239.5,1.093
55,250.9,239.4,1.078
56,250.8,239.3,1.079
57,251.0,239.4,1.08
58,251.3,239.5,1.082
59,251.3,239.5,1.084
60,251.1,239.4,1.109
61,251.5,239.4,1.077
62,251.4,239.5,1.085
63,251.3,239.4,1.084
64,251.2,239.4,1.093
65,251.2,239.3,1.084
66,251.0,239.3,1.1
67,251.2,239.4,1.083
68,251.5,239.2,1.098
69,251.5,239.1,1.081
70,251.3,239.2,1.117
71,251.7,239.0,1.08
72,251.5,239.1,1.09
73,251.3,239.0,1.087
74,251.3,239.2,1.099
75,251.2,239.2,1.081
76,251.1,239.1,1.088
77,251.2,239.1,1.084
78,251.5,239.0,1.093
79,251.4,239.2,1.081
80,251.3,239.1,1.113
81,251.6,239.3,1.08
82,251.3,239.4,1.078
83,251.3,239.2,1.081
84,251.3,239.2,1.08
85,251.3,239.1,1.078
86,251.1,239.2,1.077
87,251.2,239.3,1.082
88,251.4,239.3,1.08
89,251.4,239.2,1.082
90,251.3,239.0,1.11
91,251.4,238.9,1.076
92,251.2,239.0,1.086
93,251.0,239.1,1.085
94,251.0,239.2,1.077
95,250.9,239.2,1.078
96,250.9,239.2,1.089
97,250.9,239.2,1.081
98,251.2,239.3,1.076
99,251.0,239.3,1.082
100,250.9,239.2,1.143
101,251.1,239.2,1.078
102,251.1,239.2,1.087
103,251.1,239.0,1.097
104,251.4,239.0,1.091
