Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,2.004,1341.0,24.12,1803.0,49.96,0.001,704.0,0.23,2.005,71.98,459.68,459.99,false
1,4.545,1658.0,18.12,3074.0,99.98,0.0,0.0,0.0,4.545,127.28,1075.94,1076.23,false
2,4.772,1782.0,20.18,3060.0,100.0,0.0,708.0,0.22,4.772,172.11,1144.74,1151.06,false
3,4.787,1787.0,19.59,3058.0,100.0,0.0,0.0,0.0,4.787,177.19,1154.23,1145.4,false
4,4.792,1791.0,21.17,3061.0,100.0,0.0,709.0,0.22,4.792,172.96,1161.76,1160.09,false
5,4.798,1797.0,21.12,3058.0,100.0,0.0,0.0,0.0,4.798,177.82,1154.03,1154.6,false
6,4.83,1930.0,27.33,3056.0,100.0,0.0,709.0,0.22,4.83,186.55,1150.1,1151.25,false
7,4.78,1827.0,19.95,3059.0,100.0,0.0,0.0,0.0,4.78,188.07,1146.65,1147.96,false
8,4.772,1873.0,21.46,3059.0,100.0,0.0,0.0,0.0,4.772,187.44,1139.91,1145.2,false
9,4.771,1909.0,24.96,3061.0,100.0,0.0,710.0,0.53,4.771,188.71,1152.41,1143.63,false
10,4.799,1923.0,18.72,3056.0,100.0,0.0,0.0,0.0,4.799,184.49,1144.15,1151.97,false
11,4.796,1849.0,22.98,3060.0,100.0,0.0,0.0,0.0,4.796,191.62,1148.87,1148.9,false
12,4.807,1989.0,20.09,3056.0,100.0,0.0,0.0,0.0,4.807,188.13,1143.31,1145.39,false
13,4.784,2001.0,21.11,3058.0,100.0,0.0,0.0,0.0,4.784,184.42,1145.44,1145.21,false
14,4.754,1845.0,21.75,3062.0,100.0,0.0,0.0,0.0,4.754,188.32,1138.22,1143.66,false
