Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.746,1189.0,17.41,1706.0,44.87,0.0,0.0,0.0,1.746,64.42,380.24,380.36,false
1,4.524,1611.0,17.43,3074.0,99.96,0.003,714.0,0.41,4.527,130.87,1074.73,1072.28,false
2,4.758,1761.0,18.69,3063.0,100.0,0.0,0.0,0.0,4.758,166.15,1148.87,1150.63,false
3,4.772,1784.0,20.45,3061.0,100.0,0.0,0.0,0.0,4.772,170.25,1151.5,1149.42,false
4,4.798,1858.0,23.28,3055.0,100.0,0.0,710.0,0.22,4.798,181.71,1150.72,1145.04,false
5,4.819,1853.0,20.15,3053.0,100.0,0.0,0.0,0.0,4.819,183.98,1155.64,1156.34,false
6,4.753,1864.0,25.97,3061.0,100.0,0.0,0.0,0.0,4.753,183.07,1150.17,1143.89,false
7,4.814,1821.0,20.14,3053.0,100.0,0.0,0.0,0.0,4.814,186.42,1149.06,1147.13,false
8,4.818,1935.0,19.97,3054.0,100.0,0.0,0.0,0.0,4.818,186.14,1147.47,1152.04,false
9,4.794,1798.0,22.65,3061.0,100.0,0.001,712.0,0.32,4.795,188.46,1143.4,1150.92,false
10,4.804,1831.0,21.07,3058.0,100.0,0.0,0.0,0.0,4.804,186.3,1146.28,1141.53,false
11,4.818,1982.0,21.26,3055.0,100.0,0.002,714.0,0.63,4.82,186.8,1135.67,1152.44,false
12,4.823,1898.0,24.16,3058.0,100.0,0.0,0.0,0.0,4.823,186.69,1152.23,1136.47,false
13,4.812,1939.0,18.96,3055.0,100.0,0.0,0.0,0.0,4.812,184.72,1143.67,1151.19,false
14,4.839,1987.0,21.86,3055.0,100.0,0.0,711.0,0.53,4.839,185.33,1134.78,1150.23,false
15,4.805,1871.0,20.43,3058.0,100.0,0.0,0.0,0.0,4.805,186.81,1150.97,1144.91,false
16,4.806,1906.0,25.55,3063.0,100.0,0.0,708.0,0.22,4.806,181.31,1147.05,1142.68,false
17,4.833,1898.0,20.18,3055.0,100.0,0.0,0.0,0.0,4.833,187.64,1143.51,1146.51,false
18,4.843,1906.0,23.82,3057.0,100.0,0.0,710.0,0.22,4.843,187.09,1136.65,1151.8,false
19,4.833,1911.0,21.31,3057.0,100.0,0.0,0.0,0.0,4.833,186.54,1141.08,1145.41,false
20,4.838,1928.0,28.25,3058.0,100.0,0.0,708.0,0.22,4.838,188.75,1150.96,1148.19,false
