Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.983,1264.0,23.43,1808.0,49.22,0.0,0.0,0.0,1.983,69.7,453.56,455.48,false
1,4.538,1648.0,18.79,3073.0,99.98,0.0,0.0,0.0,4.538,132.25,1075.62,1072.42,false
2,4.792,1853.0,19.3,3052.0,100.0,0.0,711.0,0.32,4.792,179.6,1140.66,1149.04,false
3,4.779,1834.0,17.75,3052.0,100.0,0.0,0.0,0.0,4.779,179.37,1158.17,1144.02,false
4,4.789,1862.0,17.09,3052.0,100.0,0.0,709.0,0.22,4.789,181.23,1145.49,1151.72,false
5,4.79,1853.0,15.95,3053.0,100.0,0.0,0.0,0.0,4.79,182.14,1153.92,1148.13,false
6,5.069,1921.0,50.75,3055.0,100.0,0.0,709.0,0.22,5.069,190.79,1151.34,1150.46,false
7,5.228,1878.0,77.55,3059.0,100.0,0.0,0.0,0.0,5.228,198.95,1154.2,1154.92,false
8,4.832,1858.0,28.4,3056.0,100.0,0.0,709.0,0.22,4.832,188.18,1153.92,1143.8,false
9,4.804,1864.0,20.89,3055.0,100.0,0.0,708.0,0.22,4.804,184.66,1149.47,1148.44,false
10,4.809,1898.0,18.93,3054.0,100.0,0.0,0.0,0.0,4.809,185.75,1141.72,1144.24,false
11,4.797,1916.0,20.78,3058.0,100.0,0.0,0.0,0.0,4.797,187.26,1151.05,1140.73,false
12,4.785,1875.0,22.03,3061.0,100.0,0.0,0.0,0.0,4.785,189.95,1141.44,1150.9,false
13,4.815,1908.0,19.3,3057.0,100.0,0.0,0.0,0.0,4.815,190.44,1155.43,1145.85,false
14,4.802,1927.0,21.37,3058.0,100.0,0.0,0.0,0.0,4.802,186.83,1143.1,1136.18,false
15,4.827,1961.0,19.17,3055.0,100.0,0.0,0.0,0.0,4.827,188.22,1146.72,1152.72,false
16,4.82,1920.0,18.89,3055.0,100.0,0.0,0.0,0.0,4.82,186.73,1145.15,1140.84,false
17,4.81,1888.0,20.52,3059.0,100.0,0.0,0.0,0.0,4.81,188.41,1141.43,1147.81,false
18,4.817,1814.0,21.17,3059.0,100.0,0.0,0.0,0.0,4.817,188.88,1145.82,1143.88,false
19,4.797,1904.0,22.6,3060.0,100.0,0.0,0.0,0.0,4.797,187.92,1148.73,1146.2,false
20,4.826,1891.0,21.1,3057.0,100.0,0.0,0.0,0.0,4.826,190.21,1143.98,1148.25,false
