Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
54,4.864,1968.0,19.71,3056.0,100.0,0.0,0.0,0.0,4.864,188.63,1139.65,1141.82,false
55,4.857,1923.0,15.68,3055.0,100.0,0.0,0.0,0.0,4.857,186.05,1151.55,1141.87,false
56,4.8,1915.0,22.8,3063.0,100.0,0.0,0.0,0.0,4.8,184.62,1145.69,1142.16,false
57,4.838,1923.0,23.33,3060.0,100.0,0.0,0.0,0.0,4.838,189.54,1145.43,1141.15,false
58,4.863,1875.0,20.65,3058.0,100.0,0.0,0.0,0.0,4.863,188.43,1148.33,1144.2,false
59,4.853,1822.0,20.75,3061.0,100.0,0.0,0.0,0.0,4.853,183.81,1146.85,1141.17,false
60,4.872,1938.0,17.84,3055.0,100.0,0.0,0.0,0.0,4.872,187.44,1144.12,1142.63,false
61,4.833,1838.0,20.61,3059.0,100.0,0.0,0.0,0.0,4.833,154.47,1146.51,1138.36,false
62,4.859,1934.0,22.8,3060.0,100.0,0.0,0.0,0.0,4.859,191.14,1141.07,1151.09,false
63,4.846,1856.0,25.32,3062.0,100.0,0.003,713.0,0.63,4.849,187.47,1148.21,1145.3,false
64,4.841,1935.0,22.53,3062.0,100.0,0.0,0.0,0.0,4.841,185.32,1143.79,1142.76,false
65,4.869,1940.0,18.71,3055.0,100.0,0.0,708.0,0.22,4.869,184.95,1147.41,1134.42,false
66,4.892,1907.0,33.66,3060.0,100.0,0.0,0.0,0.0,4.892,188.29,1140.83,1149.74,false
67,4.886,1868.0,19.05,3056.0,100.0,0.0,0.0,0.0,4.886,188.62,1151.81,1140.87,false
68,4.864,1792.0,21.73,3061.0,100.0,0.0,0.0,0.0,4.864,193.72,1147.99,1143.51,false
69,4.874,1807.0,22.64,3061.0,100.0,0.0,0.0,0.0,4.874,186.76,1145.82,1145.43,false
70,4.901,1891.0,20.76,3055.0,100.0,0.001,713.0,0.32,4.902,189.4,1149.91,1138.77,false
71,4.848,1841.0,21.71,3060.0,100.0,0.0,0.0,0.0,4.848,191.6,1145.23,1145.43,false
72,4.861,1947.0,21.81,3059.0,100.0,0.0,0.0,0.0,4.861,191.38,1145.48,1136.98,false
73,4.891,1864.0,21.28,3057.0,100.0,0.0,708.0,0.22,4.891,189.5,1149.47,1146.99,false
74,4.896,1921.0,19.07,3055.0,100.0,0.0,0.0,0.0,4.896,187.54,1145.18,1132.57,false
75,4.877,1952.0,16.67,3055.0,100.0,0.0,0.0,0.0,4.877,186.64,1133.96,1146.61,false
76,4.829,1842.0,18.02,3064.0,100.0,0.0,0.0,0.0,4.829,181.77,1155.53,1141.44,false
77,4.866,1915.0,22.33,3059.0,100.0,0.0,0.0,0.0,4.866,189.84,1143.57,1150.24,false
78,4.872,1852.0,22.65,3059.0,100.0,0.0,0.0,0.0,4.872,188.98,1147.95,1142.13,false
79,4.913,1965.0,22.54,3055.0,100.0,0.0,0.0,0.0,4.913,190.89,1145.7,1138.0,false
80,4.901,1931.0,19.24,3055.0,100.0,0.0,0.0,0.0,4.901,188.11,1140.17,1144.41,false
81,4.895,1854.0,20.27,3056.0,100.0,0.0,0.0,0.0,4.895,190.74,1150.57,1142.62,false
82,4.89,1805.0,20.21,3058.0,100.0,0.0,0.0,0.0,4.89,191.04,1147.45,1135.96,false
83,4.902,1826.0,21.4,3060.0,100.0,0.0,0.0,0.0,4.902,193.52,1150.49,1146.32,false
84,4.866,1891.0,21.11,3058.0,100.0,0.0,0.0,0.0,4.866,189.29,1142.39,1138.26,false
85,4.899,1783.0,18.9,3060.0,100.0,0.0,0.0,0.0,4.899,190.05,1151.08,1152.68,false
86,4.894,1838.0,21.77,3059.0,100.0,0.0,708.0,0.22,4.894,193.04,1148.91,1143.71,false
87,4.898,1751.0,21.84,3062.0,100.0,0.0,0.0,0.0,4.898,193.69,1146.84,1142.65,false
88,4.875,1881.0,21.98,3060.0,100.0,0.0,0.0,0.0,4.875,188.74,1154.54,1143.28,false
89,4.872,1881.0,22.52,3059.0,100.0,0.0,0.0,0.0,4.872,191.35,1141.6,1145.31,false
90,4.86,1853.0,23.31,3063.0,100.0,0.0,0.0,0.0,4.86,184.1,1148.26,1136.64,false
91,4.902,1902.0,19.08,3055.0,100.0,0.0,0.0,0.0,4.902,180.01,1148.43,1144.53,false
92,4.866,1826.0,24.8,3060.0,100.0,0.0,0.0,0.0,4.866,160.97,1138.36,1146.68,false
93,4.88,1851.0,23.6,3060.0,100.0,0.0,0.0,0.0,4.88,189.37,1151.66,1141.01,false
94,4.844,1813.0,29.44,3065.0,100.0,0.001,713.0,0.31,4.845,193.93,1147.53,1137.73,false
95,4.943,1955.0,34.88,3058.0,100.0,0.0,709.0,0.22,4.943,194.58,1143.6,1151.12,false
96,4.894,1826.0,17.81,3057.0,100.0,0.0,0.0,0.0,4.894,192.83,1150.88,1143.04,false
97,4.832,1820.0,22.52,3067.0,100.0,0.0,0.0,0.0,4.832,183.99,1139.48,1145.49,false
98,4.896,1936.0,18.23,3055.0,100.0,0.0,0.0,0.0,4.896,187.73,1152.61,1130.46,false
99,4.899,1922.0,18.96,3055.0,100.0,0.0,0.0,0.0,4.899,186.0,1145.54,1148.85,false
100,4.891,1895.0,20.62,3056.0,100.0,0.0,0.0,0.0,4.891,188.91,1144.12,1138.61,false
101,4.882,1948.0,22.7,3058.0,100.0,0.002,713.0,0.63,4.884,187.69,1150.18,1136.61,false
