Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.941,1255.0,23.06,1815.0,48.38,0.0,0.0,0.0,1.941,73.6,441.88,441.81,false
1,4.572,1601.0,21.45,3073.0,99.68,0.001,711.0,0.53,4.573,131.96,1071.4,1072.57,false
2,4.785,1780.0,20.37,3059.0,100.0,0.0,0.0,0.0,4.785,175.65,1150.82,1149.15,false
3,4.809,1862.0,19.72,3054.0,100.0,0.0,0.0,0.0,4.809,178.42,1152.64,1153.68,false
4,4.804,1766.0,20.23,3058.0,100.0,0.0,0.0,0.0,4.804,174.86,1149.81,1149.35,false
5,4.829,1851.0,19.34,3052.0,100.0,0.0,0.0,0.0,4.829,181.22,1150.06,1157.48,false
6,4.811,1871.0,18.66,3054.0,100.0,0.0,0.0,0.0,4.811,182.98,1145.4,1147.81,false
7,4.798,1950.0,20.09,3056.0,100.0,0.0,0.0,0.0,4.798,187.84,1142.68,1145.35,false
8,4.804,1863.0,23.0,3061.0,100.0,0.0,0.0,0.0,4.804,190.48,1149.63,1147.74,false
9,4.74,1931.0,20.81,3062.0,100.0,0.001,714.0,0.41,4.741,185.53,1143.4,1143.39,false
10,4.816,1911.0,17.47,3055.0,100.0,0.0,0.0,0.0,4.816,187.33,1142.46,1142.61,false
11,4.801,1872.0,21.45,3058.0,100.0,0.0,0.0,0.0,4.801,185.53,1142.24,1154.07,false
12,4.81,1823.0,21.21,3059.0,100.0,0.0,0.0,0.0,4.81,189.24,1147.39,1146.26,false
13,4.788,1869.0,23.8,3063.0,100.0,0.0,0.0,0.0,4.788,186.65,1145.43,1140.63,false
14,4.815,1875.0,19.51,3057.0,100.0,0.0,0.0,0.0,4.815,186.81,1138.35,1148.36,false
15,4.831,1837.0,19.14,3056.0,100.0,0.0,0.0,0.0,4.831,184.61,1152.52,1143.4,false
16,4.867,1843.0,37.23,3061.0,100.0,0.002,714.0,0.41,4.869,196.76,1140.33,1157.24,false
17,4.802,1952.0,22.3,3059.0,100.0,0.0,0.0,0.0,4.802,187.32,1147.36,1139.79,false
18,4.797,1940.0,20.99,3059.0,100.0,0.0,0.0,0.0,4.797,184.24,1143.71,1148.13,false
19,4.832,1786.0,22.14,3061.0,100.0,0.0,0.0,0.0,4.832,191.77,1150.1,1144.04,false
20,4.8,1841.0,24.63,3063.0,100.0,0.0,0.0,0.0,4.8,191.29,1144.31,1145.59,false
21,4.841,1864.0,20.89,3059.0,100.0,0.0,0.0,0.0,4.841,187.25,1149.77,1155.23,false
22,4.819,1858.0,22.43,3060.0,100.0,0.0,0.0,0.0,4.819,191.17,1139.3,1152.36,false
23,4.834,1922.0,17.32,3055.0,100.0,0.0,0.0,0.0,4.834,186.79,1146.33,1141.3,false
24,4.848,1973.0,19.23,3055.0,100.0,0.0,0.0,0.0,4.848,190.03,1143.97,1139.73,false
25,4.854,1875.0,20.18,3057.0,100.0,0.0,0.0,0.0,4.854,186.93,1136.83,1147.55,false
26,4.823,1854.0,22.2,3060.0,100.0,0.0,0.0,0.0,4.823,187.54,1150.04,1146.42,false
27,4.865,1832.0,19.4,3055.0,100.0,0.0,0.0,0.0,4.865,188.87,1145.1,1155.36,false
28,4.861,1928.0,19.11,3055.0,100.0,0.0,0.0,0.0,4.861,188.2,1140.9,1147.52,false
29,4.877,1962.0,27.91,3059.0,100.0,0.0,0.0,0.0,4.877,189.08,1146.81,1138.98,false
30,4.778,1940.0,16.57,3058.0,100.0,0.0,0.0,0.0,4.778,161.98,1135.64,1152.73,false
31,4.849,1917.0,18.04,3055.0,100.0,0.0,0.0,0.0,4.849,175.44,1142.96,1145.88,false
32,4.868,1774.0,21.69,3060.0,100.0,0.0,0.0,0.0,4.868,193.88,1149.66,1144.76,false
33,4.851,1839.0,22.55,3063.0,100.0,0.0,0.0,0.0,4.851,188.53,1146.34,1160.09,false
34,4.829,1903.0,21.98,3061.0,100.0,0.0,0.0,0.0,4.829,188.66,1149.22,1145.47,false
35,4.814,1864.0,24.8,3063.0,100.0,0.0,0.0,0.0,4.814,189.18,1149.85,1151.49,false
36,4.82,1865.0,23.49,3061.0,100.0,0.0,0.0,0.0,4.82,189.67,1138.97,1137.31,false
