Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,2.015,1256.0,23.27,1837.0,50.03,0.0,0.0,0.0,2.015,70.88,456.83,455.89,false
1,4.557,1629.0,18.67,3071.0,99.98,0.001,712.0,0.32,4.558,134.38,1078.87,1077.38,false
2,4.82,1846.0,31.74,3055.0,100.0,0.0,0.0,0.0,4.82,181.98,1141.85,1153.55,false
3,4.788,1790.0,19.54,3058.0,100.0,0.0,708.0,0.22,4.788,174.62,1161.91,1146.38,false
4,4.802,1800.0,21.91,3057.0,100.0,0.0,0.0,0.0,4.802,177.25,1153.43,1157.73,false
5,4.82,1828.0,21.68,3057.0,100.0,0.0,709.0,0.22,4.82,186.55,1142.22,1158.95,false
6,4.786,1804.0,19.64,3057.0,100.0,0.0,0.0,0.0,4.786,187.77,1152.71,1147.09,false
7,4.743,1961.0,22.71,3062.0,100.0,0.0,708.0,0.22,4.743,186.05,1151.42,1156.1,false
8,4.762,1874.0,22.93,3063.0,100.0,0.0,0.0,0.0,4.762,182.61,1142.09,1150.25,false
9,4.826,1919.0,29.31,3060.0,100.0,0.0,707.0,0.22,4.826,191.93,1152.15,1146.86,false
10,4.795,1939.0,20.81,3057.0,100.0,0.0,0.0,0.0,4.795,186.13,1150.33,1148.56,false
11,4.731,1792.0,23.36,3043.0,98.48,0.0,0.0,0.0,4.731,184.41,1145.07,1151.85,false
12,4.816,1956.0,19.04,3055.0,100.0,0.0,0.0,0.0,4.816,186.51,1153.25,1143.01,false
13,4.819,1843.0,21.35,3056.0,100.0,0.001,713.0,0.63,4.82,188.55,1149.01,1146.46,false
14,4.729,1856.0,25.67,3068.0,100.0,0.0,0.0,0.0,4.729,180.84,1147.63,1148.77,false
15,4.797,1842.0,20.54,3058.0,100.0,0.0,0.0,0.0,4.797,186.68,1149.47,1145.9,false
