Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.943,1271.0,25.06,1777.0,48.76,0.0,0.0,0.0,1.943,70.06,441.29,441.85,false
1,4.549,1615.0,19.45,3073.0,99.97,0.001,711.0,0.32,4.55,129.65,1071.27,1068.2,false
2,4.815,1788.0,19.97,3056.0,100.0,0.0,0.0,0.0,4.815,183.87,1148.24,1151.38,false
3,4.79,1827.0,21.47,3058.0,100.0,0.0,0.0,0.0,4.79,177.65,1151.51,1153.74,false
4,4.797,1832.0,21.04,3055.0,100.0,0.0,0.0,0.0,4.797,183.55,1148.65,1147.79,false
5,4.805,1820.0,19.6,3055.0,100.0,0.0,0.0,0.0,4.805,184.54,1147.21,1155.44,false
6,4.804,1821.0,22.8,3057.0,100.0,0.0,0.0,0.0,4.804,186.25,1148.5,1148.7,false
7,4.798,1909.0,18.66,3054.0,100.0,0.0,711.0,0.53,4.798,186.97,1147.57,1139.02,false
8,4.773,1880.0,17.21,3057.0,100.0,0.0,0.0,0.0,4.773,185.68,1142.31,1149.62,false
9,4.803,1926.0,22.72,3057.0,100.0,0.001,714.0,0.41,4.804,189.62,1141.7,1149.43,false
10,4.811,1952.0,21.56,3057.0,100.0,0.0,0.0,0.0,4.811,187.66,1149.84,1137.91,false
11,4.794,1816.0,23.22,3060.0,100.0,0.0,0.0,0.0,4.794,190.89,1135.78,1151.88,false
12,4.819,1984.0,19.2,3055.0,100.0,0.0,0.0,0.0,4.819,185.63,1145.33,1150.82,false
13,4.813,1847.0,21.75,3058.0,100.0,0.0,0.0,0.0,4.813,188.54,1151.17,1144.9,false
14,4.878,1878.0,35.94,3058.0,100.0,0.002,708.0,0.43,4.88,195.31,1137.16,1149.69,false
15,4.816,1872.0,20.87,3057.0,100.0,0.0,0.0,0.0,4.816,188.94,1146.13,1141.66,false
16,4.835,1919.0,21.34,3055.0,100.0,0.002,711.0,0.54,4.837,187.89,1133.93,1150.49,false
17,4.823,1870.0,22.46,3057.0,100.0,0.0,0.0,0.0,4.823,188.63,1154.34,1138.95,false
18,4.83,1930.0,19.95,3055.0,100.0,0.0,0.0,0.0,4.83,187.52,1142.64,1151.97,false
19,4.826,1882.0,20.24,3057.0,100.0,0.0,0.0,0.0,4.826,187.78,1142.64,1144.93,false
20,4.776,1887.0,23.2,3064.0,100.0,0.0,0.0,0.0,4.776,180.28,1148.35,1149.37,false
21,4.826,1867.0,21.8,3060.0,100.0,0.0,0.0,0.0,4.826,190.26,1139.28,1146.5,false
22,4.834,1922.0,20.69,3055.0,100.0,0.0,713.0,0.32,4.834,190.48,1145.32,1143.05,false
23,4.852,1866.0,23.64,3059.0,100.0,0.0,0.0,0.0,4.852,190.54,1145.85,1149.03,false
24,4.844,1858.0,22.87,3059.0,100.0,0.001,709.0,0.22,4.845,192.19,1137.89,1152.15,false
25,4.855,1910.0,19.99,3056.0,100.0,0.0,0.0,0.0,4.855,187.88,1151.47,1149.91,false
26,4.833,1837.0,21.82,3058.0,100.0,0.0,0.0,0.0,4.833,189.45,1141.38,1145.42,false
27,4.81,1853.0,21.97,3060.0,100.0,0.0,0.0,0.0,4.81,190.82,1146.54,1140.53,false
28,4.834,1945.0,17.4,3055.0,100.0,0.0,0.0,0.0,4.834,185.14,1141.41,1151.97,false
29,4.823,1903.0,19.39,3059.0,100.0,0.0,0.0,0.0,4.823,191.64,1143.02,1138.69,false
30,4.824,1817.0,21.25,3057.0,100.0,0.0,0.0,0.0,4.824,166.51,1143.85,1151.69,false
31,4.824,1894.0,23.34,3060.0,100.0,0.0,0.0,0.0,4.824,174.41,1138.8,1153.98,false
32,4.838,1833.0,20.22,3059.0,100.0,0.0,0.0,0.0,4.838,190.96,1151.54,1143.75,false
33,4.856,1894.0,25.08,3060.0,100.0,0.0,0.0,0.0,4.856,193.05,1145.67,1151.13,false
34,4.846,1883.0,22.9,3059.0,100.0,0.0,0.0,0.0,4.846,188.16,1143.01,1143.67,false
35,4.871,1926.0,20.12,3055.0,100.0,0.0,0.0,0.0,4.871,186.96,1141.85,1150.99,false
36,4.846,1852.0,24.23,3061.0,100.0,0.0,0.0,0.0,4.846,195.09,1140.03,1147.98,false
37,4.815,1856.0,24.64,3061.0,100.0,0.0,0.0,0.0,4.815,188.35,1149.85,1139.49,false
38,4.869,1950.0,21.82,3055.0,100.0,0.0,712.0,0.53,4.869,189.22,1135.58,1156.73,false
39,4.877,1901.0,20.43,3055.0,100.0,0.0,0.0,0.0,4.877,189.83,1141.81,1145.23,false
40,4.846,1833.0,23.47,3059.0,100.0,0.0,0.0,0.0,4.846,190.89,1147.98,1137.85,false
41,4.87,1915.0,23.06,3057.0,100.0,0.0,716.0,0.61,4.87,190.67,1144.53,1155.44,false
42,4.828,1853.0,22.84,3060.0,100.0,0.0,0.0,0.0,4.828,189.81,1145.87,1137.61,false
43,4.865,1850.0,23.65,3057.0,100.0,0.0,0.0,0.0,4.865,191.55,1140.8,1154.17,false
44,4.895,1832.0,34.97,3060.0,100.0,0.0,0.0,0.0,4.895,192.45,1150.79,1142.23,false
45,4.873,1957.0,19.1,3055.0,100.0,0.001,713.0,0.63,4.874,190.3,1140.93,1152.74,false
46,4.867,1860.0,19.73,3058.0,100.0,0.0,0.0,0.0,4.867,191.87,1144.0,1150.16,false
47,4.859,1807.0,21.84,3060.0,100.0,0.0,0.0,0.0,4.859,193.46,1142.0,1146.22,false
48,4.847,1855.0,23.86,3062.0,100.0,0.0,0.0,0.0,4.847,186.53,1142.92,1156.4,false
49,4.851,1901.0,22.33,3059.0,100.0,0.0,0.0,0.0,4.851,189.36,1148.55,1138.69,false
50,4.837,1807.0,19.22,3061.0,100.0,0.0,0.0,0.0,4.837,192.19,1146.89,1148.91,false
51,4.886,1936.0,27.89,3060.0,100.0,0.0,0.0,0.0,4.886,193.03,1136.93,1153.71,false
52,4.87,1879.0,20.75,3058.0,100.0,0.0,0.0,0.0,4.87,189.53,1152.99,1144.42,false
53,4.904,1943.0,29.26,3058.0,100.0,0.001,713.0,0.32,4.905,189.43,1138.79,1148.27,false
54,4.862,1861.0,23.0,3060.0,100.0,0.0,0.0,0.0,4.862,191.56,1150.07,1143.11,false
55,4.865,1908.0,20.85,3058.0,100.0,0.0,0.0,0.0,4.865,189.98,1137.81,1152.82,false
56,4.834,1837.0,24.55,3064.0,100.0,0.0,0.0,0.0,4.834,181.63,1153.74,1147.17,false
57,4.828,1806.0,25.63,3062.0,100.0,0.0,0.0,0.0,4.828,192.53,1138.69,1145.97,false
58,4.875,1866.0,26.64,3060.0,100.0,0.001,708.0,0.22,4.876,190.05,1148.25,1140.68,false
59,4.893,1769.0,21.83,3060.0,100.0,0.0,0.0,0.0,4.893,195.52,1138.02,1154.27,false
60,4.845,1850.0,24.68,3061.0,100.0,0.0,0.0,0.0,4.845,191.66,1147.32,1145.17,false
61,4.86,1849.0,19.54,3055.0,100.0,0.0,0.0,0.0,4.86,156.78,1142.66,1145.95,false
62,4.884,1851.0,19.59,3056.0,100.0,0.0,0.0,0.0,4.884,185.07,1141.02,1144.8,false
63,4.875,1846.0,20.24,3056.0,100.0,0.0,0.0,0.0,4.875,191.37,1142.7,1142.75,false
64,4.897,1903.0,19.17,3055.0,100.0,0.0,0.0,0.0,4.897,188.94,1142.05,1150.79,false
65,4.856,1966.0,20.81,3058.0,100.0,0.0,0.0,0.0,4.856,186.11,1150.65,1140.57,false
66,4.88,1818.0,22.24,3060.0,100.0,0.0,0.0,0.0,4.88,194.09,1145.98,1147.05,false
67,4.889,1923.0,21.0,3057.0,100.0,0.0,0.0,0.0,4.889,190.7,1141.46,1149.38,false
68,4.871,1865.0,23.23,3060.0,100.0,0.0,0.0,0.0,4.871,190.11,1148.95,1144.53,false
69,4.881,1934.0,22.63,3058.0,100.0,0.0,0.0,0.0,4.881,190.98,1134.57,1150.69,false
70,4.904,1898.0,19.02,3056.0,100.0,0.0,0.0,0.0,4.904,192.0,1150.83,1144.46,false
71,4.864,1925.0,17.52,3058.0,100.0,0.0,0.0,0.0,4.864,190.45,1142.04,1146.74,false
72,4.877,1842.0,20.8,3057.0,100.0,0.0,0.0,0.0,4.877,190.3,1138.13,1143.91,false
73,4.891,1903.0,17.14,3055.0,100.0,0.0,0.0,0.0,4.891,187.76,1146.38,1147.07,false
