Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.934,1275.0,27.04,1759.0,48.07,0.0,0.0,0.0,1.934,70.44,442.14,441.54,false
1,4.556,1580.0,18.81,3075.0,99.98,0.0,714.0,0.41,4.556,128.78,1073.61,1071.37,false
2,4.755,1803.0,20.71,3062.0,100.0,0.0,0.0,0.0,4.755,173.18,1153.85,1147.17,false
3,4.766,1818.0,24.06,3062.0,100.0,0.0,0.0,0.0,4.766,178.15,1151.08,1154.74,false
4,4.776,1875.0,20.76,3059.0,100.0,0.001,709.0,0.22,4.777,176.24,1152.1,1153.0,false
5,4.76,1793.0,15.14,3059.0,100.0,0.0,0.0,0.0,4.76,174.72,1154.05,1151.24,false
6,4.777,1847.0,21.95,3057.0,100.0,0.0,708.0,0.22,4.777,186.72,1148.15,1152.77,false
7,4.775,1757.0,22.79,3063.0,100.0,0.0,0.0,0.0,4.775,183.87,1143.39,1148.38,false
8,4.792,1988.0,18.45,3054.0,100.0,0.0,0.0,0.0,4.792,182.34,1150.16,1138.46,false
9,4.81,1925.0,19.65,3055.0,100.0,0.0,712.0,0.31,4.81,186.65,1144.49,1147.07,false
10,4.745,1836.0,22.75,3064.0,100.0,0.0,0.0,0.0,4.745,181.59,1143.92,1142.51,false
11,4.859,1976.0,32.33,3055.0,100.0,0.0,712.0,0.31,4.859,188.4,1152.8,1143.58,false
12,4.801,1962.0,18.68,3055.0,100.0,0.0,0.0,0.0,4.801,184.86,1146.16,1137.16,false
13,4.766,1890.0,27.03,3065.0,100.0,0.0,0.0,0.0,4.766,188.59,1147.95,1148.19,false
14,4.756,1937.0,24.9,3062.0,100.0,0.0,0.0,0.0,4.756,183.54,1144.3,1136.05,false
15,4.781,1840.0,19.72,3061.0,100.0,0.0,0.0,0.0,4.781,187.99,1148.79,1140.8,false
16,4.824,1964.0,18.32,3055.0,100.0,0.0,0.0,0.0,4.824,183.92,1146.72,1147.27,false
17,4.805,1972.0,18.95,3055.0,100.0,0.0,0.0,0.0,4.805,187.32,1140.87,1142.74,false
18,4.822,1955.0,18.82,3055.0,100.0,0.0,0.0,0.0,4.822,186.97,1151.31,1135.56,false
19,4.791,1945.0,23.91,3060.0,100.0,0.0,0.0,0.0,4.791,186.53,1140.0,1151.42,false
20,4.81,1867.0,19.46,3058.0,100.0,0.0,0.0,0.0,4.81,187.26,1152.2,1140.56,false
21,4.786,1891.0,23.28,3063.0,100.0,0.0,0.0,0.0,4.786,183.24,1148.0,1151.13,false
22,4.789,1899.0,22.53,3060.0,100.0,0.0,0.0,0.0,4.789,187.8,1147.23,1135.37,false
23,4.834,1911.0,19.25,3055.0,100.0,0.0,0.0,0.0,4.834,186.8,1146.21,1146.04,false
24,4.83,1860.0,21.57,3059.0,100.0,0.0,0.0,0.0,4.83,190.08,1145.41,1147.14,false
25,4.777,1844.0,18.95,3061.0,100.0,0.0,0.0,0.0,4.777,187.81,1149.91,1142.18,false
26,4.806,1897.0,21.28,3060.0,100.0,0.0,0.0,0.0,4.806,185.61,1145.49,1146.24,false
27,4.852,1965.0,19.84,3055.0,100.0,0.0,0.0,0.0,4.852,187.22,1150.29,1141.98,false
28,4.81,1912.0,21.86,3060.0,100.0,0.0,0.0,0.0,4.81,185.56,1148.17,1143.22,false
29,4.846,1931.0,18.51,3055.0,100.0,0.0,0.0,0.0,4.846,185.52,1140.96,1142.02,false
30,4.791,1834.0,22.97,3064.0,100.0,0.0,0.0,0.0,4.791,164.46,1151.0,1147.49,false
