Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.976,1234.0,23.87,1836.0,48.92,0.0,0.0,0.0,1.976,71.73,451.63,452.74,false
1,4.533,1607.0,16.83,3073.0,99.97,0.001,711.0,0.32,4.534,132.02,1062.92,1073.6,false
2,4.769,1848.0,18.74,3055.0,100.0,0.0,0.0,0.0,4.769,180.73,1151.87,1146.6,false
3,4.801,1827.0,21.24,3055.0,100.0,0.001,711.0,0.53,4.802,183.43,1150.31,1145.77,false
4,4.799,1872.0,18.84,3053.0,100.0,0.0,0.0,0.0,4.799,183.65,1151.21,1156.74,false
5,4.796,1832.0,19.96,3055.0,100.0,0.0,0.0,0.0,4.796,182.85,1148.96,1151.31,false
6,4.797,1848.0,18.91,3052.0,100.0,0.0,0.0,0.0,4.797,184.21,1146.24,1142.35,false
7,4.767,1908.0,16.97,3056.0,100.0,0.0,0.0,0.0,4.767,185.98,1149.02,1146.92,false
8,5.043,1906.0,50.37,3051.0,100.0,0.0,0.0,0.0,5.043,192.68,1140.11,1151.08,false
9,4.817,1830.0,22.42,3057.0,100.0,0.003,712.0,0.94,4.819,187.25,1155.48,1147.09,false
10,4.775,1825.0,23.97,3062.0,100.0,0.0,0.0,0.0,4.775,188.87,1143.65,1148.18,false
11,4.77,1826.0,25.39,3061.0,100.0,0.003,712.0,0.63,4.773,188.76,1140.52,1141.37,false
12,4.801,1936.0,18.12,3054.0,100.0,0.0,0.0,0.0,4.801,184.89,1148.61,1144.15,false
13,4.78,1920.0,22.69,3059.0,100.0,0.0,0.0,0.0,4.78,186.93,1143.07,1147.62,false
14,4.798,1868.0,20.2,3058.0,100.0,0.0,0.0,0.0,4.798,184.97,1144.15,1140.71,false
15,4.802,1957.0,18.31,3055.0,100.0,0.0,0.0,0.0,4.802,183.8,1139.55,1143.35,false
16,4.799,1823.0,22.44,3063.0,100.0,0.0,0.0,0.0,4.799,184.2,1138.92,1150.47,false
17,4.81,1919.0,20.61,3057.0,100.0,0.0,0.0,0.0,4.81,187.72,1148.74,1140.22,false
18,4.801,1989.0,18.6,3056.0,100.0,0.0,0.0,0.0,4.801,183.19,1132.91,1151.33,false
19,4.781,1889.0,21.82,3059.0,100.0,0.0,0.0,0.0,4.781,187.4,1149.35,1142.65,false
20,4.8,1891.0,20.36,3058.0,100.0,0.0,0.0,0.0,4.8,186.28,1142.42,1136.32,false
21,4.805,1897.0,20.45,3057.0,100.0,0.0,0.0,0.0,4.805,184.96,1138.16,1152.44,false
22,4.786,1844.0,22.63,3059.0,100.0,0.0,0.0,0.0,4.786,185.86,1137.35,1140.72,false
23,4.83,1911.0,19.08,3055.0,100.0,0.0,0.0,0.0,4.83,184.87,1143.79,1147.21,false
24,4.803,1916.0,20.17,3058.0,100.0,0.0,0.0,0.0,4.803,185.7,1139.5,1138.46,false
25,4.776,1818.0,25.42,3067.0,100.0,0.0,0.0,0.0,4.776,187.38,1153.83,1156.93,false
26,4.82,1947.0,18.3,3055.0,100.0,0.001,716.0,0.71,4.821,186.94,1139.75,1142.58,false
27,4.991,1860.0,21.57,3058.0,100.0,0.0,0.0,0.0,4.991,186.18,1136.92,1147.09,false
28,4.81,1802.0,18.93,3059.0,100.0,0.0,0.0,0.0,4.81,190.28,1150.45,1141.64,false
29,4.876,1911.0,25.96,3055.0,100.0,0.0,0.0,0.0,4.876,189.99,1139.47,1149.07,false
30,4.81,1847.0,17.72,3057.0,100.0,0.0,0.0,0.0,4.81,162.87,1142.37,1148.15,false
31,4.808,1884.0,20.01,3059.0,100.0,0.0,0.0,0.0,4.808,177.28,1139.41,1144.84,false
