Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,2.334,1453.0,45.86,1889.0,52.81,0.0,0.0,0.0,2.334,74.13,489.05,488.88,false
1,4.594,1665.0,20.01,3072.0,99.98,0.0,714.0,0.41,4.594,134.34,1076.2,1078.04,false
2,4.777,1796.0,21.69,3061.0,100.0,0.0,0.0,0.0,4.777,172.78,1157.62,1149.48,false
3,4.809,1857.0,18.63,3052.0,100.0,0.0,0.0,0.0,4.809,180.9,1140.51,1153.39,false
4,4.806,1833.0,17.3,3052.0,100.0,0.002,709.0,0.22,4.808,183.57,1157.46,1155.23,false
5,4.784,1873.0,16.32,3053.0,100.0,0.0,0.0,0.0,4.784,181.32,1149.2,1144.69,false
6,4.803,1868.0,19.51,3055.0,100.0,0.0,0.0,0.0,4.803,186.51,1148.49,1148.46,false
7,5.0,1833.0,53.7,3061.0,100.0,0.0,0.0,0.0,5.0,198.74,1149.27,1152.71,false
8,4.926,1928.0,38.12,3057.0,100.0,0.001,709.0,0.22,4.927,190.31,1149.59,1151.12,false
9,5.267,1913.0,70.72,3060.0,100.0,0.0,708.0,0.22,5.267,188.83,1144.41,1151.93,false
10,5.043,1824.0,50.34,3060.0,100.0,0.0,709.0,0.22,5.043,195.3,1142.24,1141.53,false
11,5.057,1936.0,60.36,3060.0,100.0,0.0,0.0,0.0,5.057,195.35,1145.45,1160.34,false
12,4.832,1817.0,26.25,3060.0,100.0,0.0,0.0,0.0,4.832,193.28,1156.1,1146.59,false
13,4.797,1877.0,29.8,3063.0,100.0,0.0,0.0,0.0,4.797,189.1,1137.79,1141.48,false
14,4.866,1791.0,30.81,3064.0,100.0,0.0,0.0,0.0,4.866,186.6,1155.78,1158.79,false
15,5.079,1973.0,40.87,3054.0,100.0,0.0,711.0,0.32,5.079,193.38,1138.51,1148.6,false
16,4.818,1910.0,20.66,3057.0,100.0,0.0,0.0,0.0,4.818,187.99,1146.84,1138.02,false
17,4.841,1873.0,19.31,3055.0,100.0,0.0,0.0,0.0,4.841,186.96,1147.25,1151.06,false
18,4.808,1868.0,23.32,3060.0,100.0,0.0,0.0,0.0,4.808,190.39,1139.7,1147.9,false
19,4.85,1891.0,20.11,3055.0,100.0,0.0,0.0,0.0,4.85,188.14,1138.31,1143.57,false
20,4.85,1879.0,19.89,3055.0,100.0,0.0,0.0,0.0,4.85,187.25,1150.78,1143.37,false
21,4.838,1932.0,19.5,3056.0,100.0,0.001,709.0,0.22,4.839,187.95,1142.54,1149.1,false
22,4.83,1844.0,21.77,3058.0,100.0,0.0,0.0,0.0,4.83,190.7,1140.42,1148.3,false
23,4.821,1856.0,22.44,3059.0,100.0,0.0,0.0,0.0,4.821,187.9,1150.53,1145.64,false
24,4.782,1893.0,22.08,3062.0,100.0,0.0,0.0,0.0,4.782,188.49,1144.15,1139.22,false
25,4.851,1861.0,36.45,3061.0,100.0,0.0,0.0,0.0,4.851,191.36,1140.19,1144.84,false
26,4.87,1818.0,23.76,3060.0,100.0,0.0,709.0,0.22,4.87,195.9,1149.65,1157.13,false
27,4.836,1873.0,24.83,3061.0,100.0,0.0,0.0,0.0,4.836,190.19,1146.32,1146.59,false
28,4.864,1868.0,24.59,3058.0,100.0,0.0,709.0,0.22,4.864,189.8,1144.4,1151.15,false
29,4.916,1935.0,27.87,3056.0,100.0,0.0,0.0,0.0,4.916,188.56,1143.71,1145.81,false
