Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.984,1269.0,22.88,1802.0,48.95,0.0,0.0,0.0,1.984,70.21,454.09,453.66,false
1,4.548,1632.0,18.81,3072.0,99.98,0.0,712.0,0.32,4.548,132.62,1072.29,1072.04,false
2,4.77,1799.0,19.5,3058.0,100.0,0.0,0.0,0.0,4.77,176.12,1146.76,1143.22,false
3,4.752,1821.0,17.57,3058.0,100.0,0.0,0.0,0.0,4.752,173.44,1158.78,1152.19,false
4,4.777,1848.0,15.67,3052.0,100.0,0.0,0.0,0.0,4.777,177.65,1142.09,1154.9,false
5,4.798,1783.0,21.75,3059.0,100.0,0.0,0.0,0.0,4.798,177.46,1162.18,1154.51,false
6,4.786,1901.0,19.65,3055.0,100.0,0.0,0.0,0.0,4.786,184.12,1143.09,1144.63,false
7,4.771,1846.0,25.24,3061.0,100.0,0.0,709.0,0.22,4.771,189.27,1148.11,1146.57,false
8,4.787,1921.0,21.45,3058.0,100.0,0.0,0.0,0.0,4.787,187.39,1150.7,1146.17,false
9,4.786,1904.0,21.65,3058.0,100.0,0.0,712.0,0.31,4.786,187.55,1153.56,1140.05,false
10,4.797,1869.0,20.66,3057.0,100.0,0.0,0.0,0.0,4.797,189.01,1144.09,1139.82,false
11,4.785,1861.0,21.19,3059.0,100.0,0.0,0.0,0.0,4.785,188.54,1142.78,1148.69,false
12,4.807,1971.0,18.75,3055.0,100.0,0.0,0.0,0.0,4.807,186.19,1151.37,1143.69,false
13,4.783,1925.0,20.57,3059.0,100.0,0.0,0.0,0.0,4.783,182.67,1152.26,1147.75,false
14,4.779,1948.0,24.19,3062.0,100.0,0.0,0.0,0.0,4.779,190.0,1140.36,1143.41,false
15,4.8,1993.0,20.67,3058.0,100.0,0.0,0.0,0.0,4.8,188.16,1154.86,1143.29,false
16,4.805,1929.0,21.06,3057.0,100.0,0.0,0.0,0.0,4.805,184.83,1146.61,1143.01,false
17,4.797,1967.0,22.51,3059.0,100.0,0.0,0.0,0.0,4.797,186.98,1146.49,1135.23,false
18,4.831,1957.0,19.66,3056.0,100.0,0.0,0.0,0.0,4.831,184.68,1147.48,1143.68,false
19,4.828,1820.0,22.64,3058.0,100.0,0.0,0.0,0.0,4.828,193.0,1148.62,1153.98,false
20,4.836,1890.0,24.31,3059.0,100.0,0.0,0.0,0.0,4.836,191.2,1151.07,1138.69,false
21,4.793,1964.0,18.88,3059.0,100.0,0.0,0.0,0.0,4.793,183.09,1142.64,1149.55,false
22,4.813,1867.0,29.3,3061.0,100.0,0.0,712.0,0.32,4.813,188.17,1153.38,1144.13,false
23,4.857,1729.0,24.67,3063.0,100.0,0.0,0.0,0.0,4.857,196.96,1155.78,1144.33,false
24,4.788,1929.0,15.56,3057.0,100.0,0.0,0.0,0.0,4.788,187.37,1139.81,1142.9,false
25,4.823,1963.0,18.33,3055.0,100.0,0.0,0.0,0.0,4.823,185.21,1151.74,1135.47,false
26,4.833,1921.0,18.86,3055.0,100.0,0.0,0.0,0.0,4.833,184.47,1146.16,1146.82,false
27,4.831,1896.0,19.26,3055.0,100.0,0.0,0.0,0.0,4.831,185.95,1137.22,1145.75,false
28,4.836,1929.0,18.92,3055.0,100.0,0.0,0.0,0.0,4.836,186.9,1150.78,1140.61,false
29,4.841,1962.0,20.67,3055.0,100.0,0.002,713.0,0.63,4.843,187.28,1151.82,1136.8,false
30,4.772,1832.0,23.62,3063.0,100.0,0.0,0.0,0.0,4.772,163.64,1143.81,1150.75,false
31,4.802,1792.0,21.1,3062.0,100.0,0.0,0.0,0.0,4.802,175.1,1149.15,1144.58,false
32,4.832,1841.0,19.32,3056.0,100.0,0.0,0.0,0.0,4.832,184.85,1147.47,1136.5,false
33,4.813,1804.0,24.03,3063.0,100.0,0.0,0.0,0.0,4.813,189.7,1149.12,1150.84,false
34,4.823,1788.0,24.98,3063.0,100.0,0.0,712.0,0.31,4.823,187.57,1148.79,1152.81,false
35,4.828,1986.0,20.1,3057.0,100.0,0.001,708.0,0.22,4.829,187.01,1143.45,1141.01,false
36,4.847,1959.0,17.53,3055.0,100.0,0.0,0.0,0.0,4.847,186.76,1151.87,1139.19,false
37,4.837,1976.0,18.5,3055.0,100.0,0.0,0.0,0.0,4.837,184.9,1143.12,1147.01,false
38,4.859,1984.0,19.56,3055.0,100.0,0.0,0.0,0.0,4.859,186.2,1142.69,1142.07,false
39,4.858,1953.0,19.31,3055.0,100.0,0.0,0.0,0.0,4.858,185.35,1151.87,1138.31,false
40,4.848,1853.0,21.13,3059.0,100.0,0.0,713.0,0.31,4.848,188.91,1145.72,1145.94,false
41,4.849,1775.0,22.73,3061.0,100.0,0.0,0.0,0.0,4.849,195.64,1150.99,1143.24,false
42,4.808,1811.0,24.41,3063.0,100.0,0.0,0.0,0.0,4.808,190.26,1143.5,1145.3,false
43,4.836,1785.0,21.58,3060.0,100.0,0.0,0.0,0.0,4.836,193.25,1148.16,1143.6,false
44,4.821,1764.0,18.37,3065.0,100.0,0.0,0.0,0.0,4.821,179.33,1153.93,1147.19,false
45,4.834,1873.0,17.85,3058.0,100.0,0.0,0.0,0.0,4.834,188.35,1137.8,1142.75,false
46,4.858,1847.0,18.76,3056.0,100.0,0.0,0.0,0.0,4.858,187.17,1145.88,1133.04,false
47,4.838,1853.0,21.49,3060.0,100.0,0.0,0.0,0.0,4.838,188.39,1153.53,1154.03,false
48,4.832,1886.0,24.61,3063.0,99.99,0.0,0.0,0.0,4.832,189.67,1148.57,1140.76,false
49,4.868,1987.0,19.63,3055.0,100.0,0.0,0.0,0.0,4.868,187.09,1144.46,1145.89,false
50,4.864,1913.0,19.77,3056.0,100.0,0.0,0.0,0.0,4.864,187.66,1144.72,1145.07,false
51,4.842,1919.0,21.29,3058.0,100.0,0.0,0.0,0.0,4.842,186.29,1147.78,1141.54,false
52,4.858,1925.0,35.81,3063.0,100.0,0.0,0.0,0.0,4.858,185.07,1142.01,1146.75,false
53,4.849,1929.0,23.32,3059.0,100.0,0.0,713.0,0.31,4.849,186.58,1158.39,1139.1,false
54,4.874,1980.0,18.81,3055.0,100.0,0.0,0.0,0.0,4.874,186.52,1143.08,1145.35,false
55,4.866,1851.0,20.24,3057.0,100.0,0.0,0.0,0.0,4.866,188.91,1142.06,1143.11,false
56,4.866,1813.0,21.85,3060.0,100.0,0.0,0.0,0.0,4.866,191.77,1151.39,1143.15,false
57,4.887,1880.0,20.12,3056.0,100.0,0.0,0.0,0.0,4.887,190.31,1147.8,1146.67,false
58,4.862,1889.0,20.83,3057.0,100.0,0.0,0.0,0.0,4.862,187.06,1152.93,1144.23,false
59,4.854,1889.0,22.41,3060.0,100.0,0.0,0.0,0.0,4.854,192.15,1139.37,1147.26,false
60,4.855,1897.0,21.81,3059.0,100.0,0.0,0.0,0.0,4.855,188.69,1154.05,1135.8,false
61,4.836,1833.0,19.01,3057.0,100.0,0.0,0.0,0.0,4.836,154.93,1151.44,1149.01,false
62,4.865,1925.0,19.47,3056.0,100.0,0.0,0.0,0.0,4.865,186.74,1139.21,1144.47,false
63,4.864,1824.0,22.35,3062.0,100.0,0.0,0.0,0.0,4.864,187.86,1153.48,1144.65,false
64,4.875,1941.0,17.42,3055.0,100.0,0.0,0.0,0.0,4.875,187.78,1142.91,1149.56,false
65,4.808,1921.0,20.72,3062.0,100.0,0.0,0.0,0.0,4.808,185.54,1149.64,1137.76,false
66,4.878,1813.0,20.08,3058.0,100.0,0.0,0.0,0.0,4.878,193.54,1145.17,1146.66,false
