Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.956,1260.0,26.46,1771.0,48.74,0.0,0.0,0.0,1.956,68.89,441.55,441.84,false
1,4.543,1641.0,18.87,3074.0,99.98,0.0,712.0,0.32,4.543,127.83,1075.52,1074.79,false
2,4.834,1858.0,32.84,3055.0,100.0,0.0,0.0,0.0,4.834,179.26,1147.83,1156.73,false
3,4.953,1806.0,18.43,3054.0,100.0,0.0,0.0,0.0,4.953,179.73,1149.34,1143.64,false
4,4.784,1829.0,18.28,3053.0,100.0,0.0,0.0,0.0,4.784,177.43,1144.47,1156.95,false
5,4.797,1887.0,18.52,3052.0,100.0,0.0,0.0,0.0,4.797,179.43,1154.95,1139.73,false
6,4.777,1836.0,20.86,3057.0,100.0,0.0,0.0,0.0,4.777,183.66,1141.19,1155.46,false
7,4.767,1878.0,20.8,3059.0,100.0,0.0,0.0,0.0,4.767,185.95,1152.12,1137.27,false
8,4.792,1903.0,20.79,3058.0,100.0,0.0,709.0,0.22,4.792,187.53,1135.91,1152.16,false
9,4.801,1936.0,19.55,3055.0,100.0,0.0,712.0,0.31,4.801,185.61,1150.82,1139.03,false
10,4.795,1878.0,20.99,3057.0,100.0,0.0,0.0,0.0,4.795,185.95,1144.97,1143.28,false
11,4.763,1809.0,21.9,3060.0,100.0,0.0,0.0,0.0,4.763,188.03,1141.07,1141.32,false
12,4.775,1930.0,22.19,3060.0,100.0,0.0,0.0,0.0,4.775,184.69,1149.96,1145.09,false
13,4.775,1842.0,23.88,3062.0,100.0,0.0,0.0,0.0,4.775,186.03,1148.59,1144.91,false
14,4.793,1826.0,21.32,3059.0,100.0,0.0,0.0,0.0,4.793,186.83,1145.64,1141.01,false
15,4.808,1814.0,21.49,3059.0,100.0,0.0,0.0,0.0,4.808,189.0,1139.91,1134.59,false
16,4.809,1824.0,21.79,3062.0,100.0,0.0,0.0,0.0,4.809,186.19,1156.06,1154.23,false
17,4.779,1850.0,24.69,3062.0,100.0,0.0,0.0,0.0,4.779,192.4,1145.2,1146.0,false
18,4.801,1927.0,19.91,3057.0,100.0,0.0,0.0,0.0,4.801,183.26,1138.14,1138.29,false
19,4.813,1858.0,20.51,3058.0,100.0,0.0,0.0,0.0,4.813,187.26,1152.34,1138.84,false
20,4.825,1804.0,20.54,3056.0,100.0,0.0,0.0,0.0,4.825,187.8,1148.42,1143.95,false
21,4.819,1941.0,19.41,3056.0,100.0,0.0,0.0,0.0,4.819,184.97,1137.33,1144.75,false
22,4.811,1851.0,20.83,3058.0,100.0,0.0,0.0,0.0,4.811,187.18,1152.44,1138.91,false
23,4.818,1961.0,17.59,3055.0,100.0,0.0,0.0,0.0,4.818,186.65,1135.74,1146.51,false
24,4.781,1853.0,17.42,3062.0,100.0,0.0,0.0,0.0,4.781,178.34,1145.88,1137.07,false
25,4.817,1861.0,21.76,3058.0,100.0,0.0,0.0,0.0,4.817,186.46,1150.37,1144.41,false
26,4.829,1903.0,21.74,3059.0,100.0,0.0,0.0,0.0,4.829,190.12,1138.69,1146.78,false
27,4.85,1920.0,18.53,3055.0,100.0,0.0,0.0,0.0,4.85,186.08,1150.12,1141.92,false
28,4.83,1803.0,22.07,3061.0,100.0,0.0,0.0,0.0,4.83,191.21,1148.06,1139.13,false
29,4.835,1856.0,22.95,3060.0,100.0,0.0,0.0,0.0,4.835,189.86,1150.09,1143.84,false
30,4.76,1843.0,25.63,3065.0,100.0,0.0,0.0,0.0,4.76,158.18,1142.95,1148.07,false
31,4.842,1848.0,20.22,3055.0,100.0,0.0,713.0,0.31,4.842,176.18,1138.32,1139.57,false
32,4.904,1943.0,31.17,3055.0,100.0,0.0,0.0,0.0,4.904,188.69,1145.52,1145.74,false
