Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.979,1284.0,27.69,1772.0,48.78,0.001,704.0,0.22,1.979,70.19,451.76,454.09,false
1,4.559,1635.0,18.37,3071.0,99.98,0.0,0.0,0.0,4.559,139.05,1070.55,1073.59,false
2,4.792,1767.0,20.99,3058.0,100.0,0.0,712.0,0.31,4.792,178.12,1152.19,1149.78,false
3,4.785,1797.0,19.9,3056.0,100.0,0.0,0.0,0.0,4.785,179.3,1148.88,1147.88,false
4,4.805,1808.0,18.28,3054.0,100.0,0.0,0.0,0.0,4.805,178.98,1150.86,1150.54,false
5,4.81,1842.0,20.88,3055.0,100.0,0.0,709.0,0.22,4.81,182.58,1152.8,1149.07,false
6,4.788,1776.0,18.79,3058.0,100.0,0.0,0.0,0.0,4.788,182.57,1149.6,1141.98,false
7,4.808,1779.0,21.34,3061.0,100.0,0.0,0.0,0.0,4.808,193.75,1143.8,1156.75,false
8,4.774,1868.0,22.08,3060.0,100.0,0.0,0.0,0.0,4.774,187.01,1151.18,1148.36,false
9,4.983,1856.0,25.89,3058.0,100.0,0.0,712.0,0.32,4.983,187.79,1141.98,1132.16,false
10,4.792,1835.0,20.3,3058.0,100.0,0.0,0.0,0.0,4.792,186.76,1145.1,1150.91,false
11,4.783,1861.0,23.41,3061.0,100.0,0.0,0.0,0.0,4.783,188.15,1148.42,1146.56,false
12,4.788,1888.0,21.58,3059.0,100.0,0.0,0.0,0.0,4.788,186.04,1136.33,1145.41,false
13,4.799,1945.0,23.33,3059.0,100.0,0.001,713.0,0.63,4.8,187.55,1150.88,1143.01,false
14,4.808,1908.0,18.5,3055.0,100.0,0.0,0.0,0.0,4.808,184.19,1146.41,1132.52,false
15,4.812,1868.0,20.92,3057.0,100.0,0.0,0.0,0.0,4.812,184.5,1145.84,1152.46,false
16,4.817,1949.0,29.82,3058.0,100.0,0.0,0.0,0.0,4.817,185.92,1146.51,1145.64,false
17,4.817,1895.0,18.66,3056.0,100.0,0.0,0.0,0.0,4.817,187.32,1145.28,1143.45,false
18,4.833,1829.0,20.5,3059.0,100.0,0.0,0.0,0.0,4.833,190.48,1153.08,1135.32,false
19,4.798,1829.0,18.26,3059.0,100.0,0.0,0.0,0.0,4.798,187.25,1146.38,1152.36,false
20,4.826,1866.0,20.54,3057.0,100.0,0.0,0.0,0.0,4.826,185.63,1136.01,1140.05,false
21,4.815,1796.0,22.24,3063.0,100.0,0.001,713.0,0.31,4.816,190.0,1157.31,1150.14,false
22,4.813,1912.0,20.39,3058.0,100.0,0.0,0.0,0.0,4.813,183.98,1142.5,1144.11,false
23,4.786,1855.0,24.51,3064.0,100.0,0.0,0.0,0.0,4.786,187.02,1144.77,1146.4,false
24,4.825,1909.0,18.73,3055.0,100.0,0.0,0.0,0.0,4.825,184.27,1147.28,1141.8,false
25,4.825,1839.0,19.84,3057.0,100.0,0.0,0.0,0.0,4.825,188.3,1144.05,1141.6,false
26,4.815,1819.0,23.39,3063.0,100.0,0.0,0.0,0.0,4.815,185.63,1152.17,1151.79,false
27,4.771,1899.0,25.39,3065.0,100.0,0.0,709.0,0.22,4.771,185.51,1142.03,1145.19,false
28,4.847,1844.0,25.82,3061.0,100.0,0.0,0.0,0.0,4.847,192.58,1145.44,1147.22,false
29,4.834,1834.0,24.87,3060.0,100.0,0.0,709.0,0.22,4.834,191.55,1148.28,1149.48,false
30,4.812,1830.0,22.03,3059.0,100.0,0.0,0.0,0.0,4.812,162.16,1146.47,1141.31,false
31,4.829,1896.0,18.69,3055.0,100.0,0.0,0.0,0.0,4.829,172.25,1145.61,1142.52,false
32,4.815,1845.0,23.38,3062.0,100.0,0.0,0.0,0.0,4.815,183.05,1154.31,1144.05,false
33,4.836,1937.0,20.0,3056.0,100.0,0.0,0.0,0.0,4.836,186.05,1141.1,1138.08,false
34,4.834,1843.0,20.94,3060.0,100.0,0.0,0.0,0.0,4.834,188.22,1148.77,1148.02,false
35,4.853,1793.0,19.99,3059.0,100.0,0.0,0.0,0.0,4.853,190.61,1137.87,1142.79,false
36,4.837,1790.0,17.6,3061.0,100.0,0.0,0.0,0.0,4.837,190.16,1155.67,1146.85,false
37,4.826,1940.0,21.26,3058.0,100.0,0.0,709.0,0.22,4.826,186.53,1141.95,1142.66,false
38,4.855,1836.0,20.06,3057.0,100.0,0.0,0.0,0.0,4.855,186.84,1145.94,1142.09,false
39,4.859,1921.0,18.67,3055.0,100.0,0.0,0.0,0.0,4.859,187.45,1147.45,1139.19,false
40,4.836,1941.0,22.13,3058.0,100.0,0.0,0.0,0.0,4.836,184.42,1149.41,1142.88,false
41,4.834,1845.0,22.4,3063.0,100.0,0.0,0.0,0.0,4.834,188.64,1148.86,1149.74,false
42,4.861,1808.0,20.27,3058.0,100.0,0.0,0.0,0.0,4.861,193.62,1142.82,1145.72,false
43,4.849,1826.0,24.06,3063.0,100.0,0.0,0.0,0.0,4.849,191.37,1153.36,1146.98,false
44,4.829,1979.0,19.71,3057.0,100.0,0.0,0.0,0.0,4.829,187.51,1139.54,1140.65,false
45,4.841,1927.0,34.06,3063.0,100.0,0.0,0.0,0.0,4.841,186.29,1142.51,1148.59,false
46,4.854,1959.0,20.06,3057.0,100.0,0.0,0.0,0.0,4.854,185.21,1148.55,1137.12,false
47,4.854,1938.0,19.49,3057.0,100.0,0.0,0.0,0.0,4.854,184.01,1142.45,1144.93,false
48,4.829,1853.0,22.99,3060.0,100.0,0.0,0.0,0.0,4.829,186.77,1147.2,1145.23,false
